version,link_count,mean_mfr,mean_voxel_iou,mean_chamfer,mean_hd95
R0,6,0.5277777777777778,0.29380827370895696,0.05493749550896039,0.14230367044787487
R1,6,0.7777777777777778,0.1982217026416947,0.04440598266165802,0.10718133371874271
R2,6,0.75,0.2036943028111047,0.04257260770034552,0.10396348865813347
