candidate,anchor_mm,housing_width_mm,objective,final_volume_mm3,connected_solids,cad_seconds
0,63.0,16.15,0.00018203577727387272,17010.906030345508,1,1.1581618000054732
1,63.0,17.0,0.0,17276.75126156184,1,1.1550104999914765
2,63.0,17.85,0.0001820357772738742,17542.876137067622,1,1.2047959999763407
3,64.0,17.26984126984127,0.0,17361.202190438744,1,1.1892766999662854
