robot_id,condition,voxel_iou,normalized_chamfer,normalized_hd95,silhouette_iou_mean,mfr_trace,critical_feature_recall_trace
R01,T0,0.2757744859772446,0.07118261520610394,0.22538473554604588,0.4250989421932837,0.7833333333333333,0.95
R01,T1,0.2393896942921602,0.07120416857146482,0.2349971590396125,0.42757673389626616,1.0,1.0
R02,T1,0.2125701801966886,0.08571739190417013,0.28718373945675413,0.42415975747432055,1.0,1.0
