part_id,gt_extent_x_mm,generated_extent_x_mm,delta_generated_minus_gt_x_mm,ratio_gt_over_generated_x,gt_extent_y_mm,generated_extent_y_mm,delta_generated_minus_gt_y_mm,ratio_gt_over_generated_y,gt_extent_z_mm,generated_extent_z_mm,delta_generated_minus_gt_z_mm,ratio_gt_over_generated_z
R01_P00,120.0,135.7130010256743,15.713001025674288,0.8842188964438146,189.8488883972168,108.18001252189922,-81.66887587531758,1.7549349826409486,52.599998474121094,92.85820461120042,40.25820613707933,0.5664550450265389
R01_P01,42.400001525878906,69.82709558055174,27.427094054672835,0.6072141648361523,42.347110748291016,54.80583458125381,12.458723832962797,0.7726752283191347,55.700002670288086,94.90525932168532,39.205256651397235,0.5869011166334903
R01_P02,44.0,79.87658482181223,35.87658482181223,0.5508497903128269,60.099998474121094,90.13321858381633,30.033220109695236,0.6667907727963042,117.24966740608215,174.67966539628938,57.42999799020723,0.6712267689549446
R01_P03,44.0,68.90427816748374,24.90427816748374,0.6385670261728946,114.24906921386719,168.3817927477787,54.1327235339115,0.6785120133802256,28.5,60.04762961441655,31.54762961441655,0.47462323130832745
R01_P04,103.48858642578125,112.8950362762962,9.406449850514946,0.9166796861866109,132.59979248046875,159.3438806548021,26.744088174333342,0.8321611845749448,53.499755859375,98.01838575072676,44.518629891351765,0.5458134762128372
R02_P00,204.0,149.78454092512476,-54.21545907487524,1.3619563056375545,299.4629821777344,188.95926886458614,-110.50371331314824,1.584801761655516,78.6999969487821,123.38319199991282,44.683195051130724,0.6378502263812214
R02_P01,123.0,120.14467458458273,-2.855325415417269,1.0237657259906856,122.9617691040039,120.0895374092746,-2.872231694729308,1.0239174182588489,64.5,106.93789278650088,42.43789278650088,0.6031538336815072
R02_P02,103.79999923706055,118.70654749354534,14.906548256484797,0.8744252227763988,89.50000095367432,74.46610459997275,-15.033896353701564,1.201889120351638,324.8238067626953,298.7665963865461,-26.057210376149214,1.087215942783765
R02_P03,101.19999694824219,138.90689436415283,37.706897415910646,0.7285455298060316,200.25477600097656,309.2690771144812,109.01430111350464,0.6475098573364606,39.0,73.21762554555835,34.21762554555835,0.5326586284300213
R02_P04,74.45000267028809,166.75366099723774,92.30365832694966,0.44646697544782143,117.36898803710938,279.15463278322534,161.78564474611596,0.42044434966712896,46.0,78.1272086772176,32.127208677217595,0.5887833544655219
R02_P05,55.0,141.64014621142954,86.64014621142954,0.3883079866205463,75.27969360351562,207.64298124282436,132.36328763930874,0.3625438873634796,55.2452392578125,114.93741425619191,59.692174998379414,0.480654968752582
R02_P06,149.99999237060547,234.0478699596274,84.04787758902194,0.6408944990461996,136.70001220703125,137.43766115849735,0.7376489514660989,0.9946328470286218,70.30001831054688,87.55557665463039,17.25555834408351,0.8029187973697053
