part_id,robot_id,condition,alignment,gt_bbox_diagonal_mm,voxel_pitch_mm,voxel_iou,chamfer_mm,normalized_chamfer,hd95_mm,normalized_hd95,bbox_error_x_mm,bbox_error_y_mm,bbox_error_z_mm,centroid_error_mm,silhouette_iou_front,silhouette_iou_side,silhouette_iou_top,silhouette_iou_mean,mfr_trace,mechanical_feature_precision_trace,critical_feature_recall_trace,feature_requirements,features_realized_trace,cad_valid,editability_pass,gate_status,failed_criteria,round,accepted_round,final_state
R01_P00,R01,T2_ACCEPTED,rigid_shape_only_no_scale,230.6715419490155,3.6042428429533673,0.3382752376641014,9.247526469207425,0.04008958535184792,28.882604274478833,0.12521095593518272,6.384068959813931,10.066954886545176,27.676037999987727,9.795481619578991,0.7522799496060624,0.5998789598898118,0.6318364997121474,0.6613318030693405,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,iou,2.0,2,UNRESOLVED
R01_P01,R01,T2_ACCEPTED,rigid_shape_only_no_scale,81.8139854523214,1.278343522692522,0.52209644906187,3.8806930201034566,0.047433125261511694,15.524783587643464,0.18975708739541622,7.421663540919965,9.613995263600017,29.196353500508962,0.31970023881159093,0.7603039670273055,0.5289168868116236,0.5632397348235049,0.617486862887478,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,normalized_hd95,3.0,3,UNRESOLVED
R01_P02,R01,T2_ACCEPTED,rigid_shape_only_no_scale,138.90822266311753,2.1704409791112114,0.3387250937431071,5.306940302714608,0.038204651970712246,14.758159166128582,0.10624395650011526,14.18757298079614,12.252176918154234,9.96691219095257,8.436632160795918,0.5187163920208152,0.4123301551011925,0.35261255946015707,0.42788636886072157,1.0,1.0,1.0,4,4,True,True,LOCAL_REPAIR,iou,3.0,3,UNRESOLVED
R01_P03,R01,T2_ACCEPTED,rigid_shape_only_no_scale,125.70242565772156,1.9641004009018994,0.27672713238131996,6.029329284038045,0.047965098942923064,22.61175679080159,0.17988321762677625,6.350109920643774,5.667049286763486,10.757409131880607,7.164796158184236,0.6396905899952566,0.39561614541566426,0.7316408418714985,0.5889825257608065,1.0,1.0,1.0,4,4,True,True,LOCAL_REPAIR,iou,3.0,3,UNRESOLVED
R01_P04,R01,T2_ACCEPTED,rigid_shape_only_no_scale,176.50727000121694,2.7579260937690147,0.2524008350730689,10.438977865726836,0.0591419144698961,35.237677213560744,0.1996386733153699,7.918582930924202,26.52872646163479,45.41648784658956,13.869955316144544,0.3849035399887619,0.3752717260035747,0.4063247204010798,0.3888333287978054,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,iou;normalized_hd95,,0,UNRESOLVED
R02_P00,R02,T2_ACCEPTED,rigid_shape_only_no_scale,370.79342930332564,5.793647332864463,0.3211741016109046,14.328702386213738,0.038643355717321026,53.176905644218714,0.1434138294848737,51.83274756231651,79.97443964385764,42.77656700169426,10.411430868175229,0.6311263443067072,0.5360200802270755,0.6206540269669887,0.5959334838335905,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,iou,3.0,3,UNRESOLVED
R02_P01,R02,T2_ACCEPTED,rigid_shape_only_no_scale,185.49621737703,2.898378396516094,0.357168578630588,6.351621857846405,0.03424124732924568,16.251594283881598,0.08761145921832707,2.8418952281606096,13.553787520575668,44.831102933995226,6.124059310917325,0.809040047114252,0.4213354097722406,0.5596835289507567,0.5966863286124164,1.0,1.0,1.0,3,3,True,True,PASS,,1.0,1,UNRESOLVED
R02_P02,R02,T2_ACCEPTED,rigid_shape_only_no_scale,352.5552374481626,5.50867558512754,0.4758494337108594,7.729909030873104,0.021925384194610525,27.412116555229225,0.07775268566038457,9.362148644301783,14.442699267410603,26.10116715533883,10.904162661288806,0.7055514481339805,0.5804129503476367,0.7855377619612495,0.6905007201476222,1.0,1.0,1.0,3,3,True,True,PASS,,2.0,2,UNRESOLVED
R02_P03,R02,T2_ACCEPTED,rigid_shape_only_no_scale,227.73760052640745,3.558400008225116,0.1348549265309166,19.83345543435319,0.0870890682456865,54.52087986905962,0.2394021880578197,34.68086189547546,109.27714303656336,33.83736493412744,22.46061953034896,0.3427220333973695,0.3010120427432577,0.3720191052161363,0.3385843937855879,1.0,1.0,1.0,3,3,True,True,REPLAN,iou;normalized_chamfer;normalized_hd95,,0,UNRESOLVED
R02_P04,R02,T2_ACCEPTED,rigid_shape_only_no_scale,146.40451581307534,2.287570559579302,0.5257428077346329,4.665244436805349,0.03186544083627711,13.536725436494285,0.09246111953115947,9.995548161336643,29.25808969664459,9.687951851013281,3.3688246468940806,0.724494825036964,0.6591138874846537,0.8001774485977703,0.7279287203731294,1.0,1.0,1.0,4,4,True,True,PASS,,1.0,1,UNRESOLVED
R02_P05,R02,T2_ACCEPTED,rigid_shape_only_no_scale,108.37005458009209,1.6932821028139389,0.3356858778362721,7.430995525149752,0.068570561802733,22.188340900007773,0.20474605264325335,25.45348036024403,31.561424786781345,15.690257321071613,9.138324635707592,0.37578733852887797,0.47205132712251713,0.5878637578951448,0.4785674745155133,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,iou;normalized_hd95,3.0,3,UNRESOLVED
R02_P06,R02,T2_ACCEPTED,rigid_shape_only_no_scale,214.77659002565298,3.355884219150828,0.20341924288193328,11.160792307188046,0.05196465921102015,36.28225436663552,0.168930209583372,33.40463617843582,0.317779437272236,19.22664748155205,9.253091379259004,0.3550610918058514,0.579064740015929,0.447994071756448,0.4607066345260762,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,iou,3.0,3,UNRESOLVED
