flow,cases,executable,repair_success,median_collision_rate_proxy,mean_collision_rate_proxy,median_minimum_clearance,mean_minimum_clearance,median_workspace_iou,mean_workspace_iou,median_graph_f1,mean_graph_f1,median_motion_translation,mean_motion_translation,median_chamfer,mean_chamfer
one_shot_all,15,14,,0.0,0.09709821428571429,0.012288509122019797,0.041739295489260884,0.0,0.0011569086651053865,0.5,0.45108297499601846,0.16348276443624046,0.17404063813215517,0.004535546004547449,0.004449315227311715
one_shot_paired_subset,12,12,,0.0,0.11328125,0.02656179501431541,0.047562466412144004,0.0,0.0006666666666666666,0.4807692307692307,0.4131682327334501,0.16504334317732366,0.182096544866647,0.004535546004547449,0.004434022322881167
verification_guided_repair_paired,12,12,0.8571428571428571,0.0,0.1015625,0.010998799483324582,0.04451564484354334,0.0,0.0006666666666666666,0.4807692307692307,0.4131682327334501,0.16441492726960832,0.17439417967493495,0.004535546004547449,0.004447648487184646
