subset,status,raw_worker_status,source_volume_mm3,witness_A_mm3,witness_B_mm3,raw_removed_A_mm3,raw_removed_B_mm3,normalized_removed_A_mm3,normalized_removed_B_mm3,raw_relief_A,raw_relief_B,normalized_relief_A,normalized_relief_B,epsilon_zero_mm3,normalization_count_of_12,relief_R_min,relief_R_max,relief_category,category_status,state_A,state_B,solid_count_A,solid_count_B,topology_class,source_exterior_max_mm3,keepout_residual_max_mm3,repeatability_pass,reopen_parity_pass,topology_stable,interface_invariant,accounting_delta_A_mm3,accounting_delta_B_mm3,accounting_source_fraction_A,accounting_relief_fraction_A,W1_raw_geometry_consistent,spatial_hard_gates_pass
FULL,PASS,PASS,13154.148181032444,11852.112265718826,11852.112083964104,1302.0359153136178,1302.0360970683396,1302.0359153136178,1302.0360970683396,0.09898291378464794,0.09898292760194109,0.09898291378464794,0.09898292760194109,0.013154148181032443,0,0.0989829137846478,0.09898292760194331,MODERATE_RELIEF,ROBUST,VALID_MULTI_SOLID,VALID_MULTI_SOLID,3,3,DISCONNECTED_MULTI_SOLID,0.0,0.0,True,True,True,True,0.00772199615403224,0.007540241432252515,5.870388601191929e-07,5.9307090251594665e-06,True,True
L03,PASS,PASS,13154.148181032444,13025.315072459227,13025.315072459227,128.83310857321703,128.83310857321703,128.83310857321703,128.83310857321703,0.009794105007801817,0.009794105007801817,0.009794105007801817,0.009794105007801817,0.013154148181032443,0,0.009794105007801817,0.009794105007802095,SMALL_RELIEF,ROBUST,VALID_SINGLE_SOLID,VALID_SINGLE_SOLID,1,1,CONNECTED_SINGLE_SOLID,0.0,0.0,True,True,True,True,0.0025542326289951234,0.0025542326289951234,1.9417696941244633e-07,1.982590234204843e-05,True,True
L05,PASS,PASS,13154.148181032444,12693.93730792636,12693.93730792636,460.21087310608345,460.21087310608345,460.21087310608345,460.21087310608345,0.03498598820482212,0.03498598820482212,0.03498598820482212,0.03498598820482212,0.013154148181032443,0,0.03498598820482212,0.03498598820482364,SMALL_RELIEF,ROBUST,VALID_SINGLE_SOLID,VALID_SINGLE_SOLID,1,1,CONNECTED_SINGLE_SOLID,0.0,0.0,True,True,True,True,0.004411683844409708,0.004411683844409708,3.353834686742478e-07,9.586222538885492e-06,True,True
L06,PASS,PASS,13154.148181032444,12426.182074823531,12426.182074823537,727.9661062089126,727.9661062089071,727.9661062089126,727.9661062089071,0.055341181822673974,0.05534118182267356,0.055341181822673974,0.05534118182267356,0.013154148181032443,0,0.05534118182267342,0.05534118182267563,MODERATE_RELIEF,ROBUST,VALID_SINGLE_SOLID,VALID_SINGLE_SOLID,1,1,CONNECTED_SINGLE_SOLID,0.0,0.0,True,True,True,True,0.0046376677565831415,0.00463766776204011,3.525631377081796e-07,6.370719346722192e-06,True,True
L07,PASS,WITNESS_CONSTRUCTION_BLOCKED,13154.148181032444,13154.148554984415,13154.148554984415,-0.0003739519706869032,-0.0003739519706869032,0.0,0.0,-2.842844443748333e-08,-2.842844443748333e-08,0.0,0.0,0.013154148181032443,12,0.0,0.0,SMALL_RELIEF,ROBUST,VALID_SINGLE_SOLID,VALID_SINGLE_SOLID,1,1,CONNECTED_SINGLE_SOLID,0.0,0.0,True,True,True,True,0.0003739519706869032,0.0003739519706869032,2.842844443748333e-08,1.0,True,True
L03_L05,PASS,PASS,13154.148181032444,12565.10419777068,12565.104197770683,589.0439832617649,589.0439832617612,589.0439832617649,589.0439832617612,0.044780093332925486,0.04478009333292521,0.044780093332925486,0.04478009333292521,0.013154148181032443,0,0.04478009333292521,0.044780093332927144,SMALL_RELIEF,ROBUST,VALID_SINGLE_SOLID,VALID_SINGLE_SOLID,1,1,CONNECTED_SINGLE_SOLID,0.0,0.0,True,True,True,True,0.00537444383098773,0.005374443834625708,4.0857406781667406e-07,9.124011081867521e-06,True,True
L03_L06,PASS,PASS,13154.148181032444,12297.348936105456,12297.34893610546,856.7992449269877,856.7992449269841,856.7992449269877,856.7992449269841,0.06513528912213754,0.06513528912213726,0.06513528912213754,0.06513528912213726,0.013154148181032443,0,0.06513528912213698,0.06513528912213891,MODERATE_RELIEF,ROBUST,VALID_SINGLE_SOLID,VALID_SINGLE_SOLID,1,1,CONNECTED_SINGLE_SOLID,0.0,0.0,True,True,True,True,0.005646266325470606,0.005646266329108585,4.2923846134044697e-07,6.589952499259909e-06,True,True
L05_L06,PASS,PASS,13154.148181032444,11980.945095444984,11980.94491743857,1173.20308558746,1173.203263593874,1173.20308558746,1173.203263593874,0.08918882997525861,0.08918884350759926,0.08918882997525861,0.08918884350759926,0.013154148181032443,0,0.08918882997525861,0.08918884350760133,MODERATE_RELIEF,ROBUST,VALID_MULTI_SOLID,VALID_MULTI_SOLID,3,3,DISCONNECTED_MULTI_SOLID,0.0,0.0,True,True,True,True,0.006616383640903223,0.006438377226913872,5.029883767345485e-07,5.639589361964719e-06,True,True
L03_L05_L06,PASS,PASS,13154.148181032444,11852.112265718826,11852.112083964104,1302.0359153136178,1302.0360970683396,1302.0359153136178,1302.0360970683396,0.09898291378464794,0.09898292760194109,0.09898291378464794,0.09898292760194109,0.013154148181032443,0,0.0989829137846478,0.09898292760194331,MODERATE_RELIEF,ROBUST,VALID_MULTI_SOLID,VALID_MULTI_SOLID,3,3,DISCONNECTED_MULTI_SOLID,0.0,0.0,True,True,True,True,0.00772199615403224,0.007540241432252515,5.870388601191929e-07,5.9307090251594665e-06,True,True
