version,jobs,fusion_success,fusion_failed,median_chamfer,median_hd95,median_voxel_iou,component_correspondence_rate,median_interface_gap,median_interface_gap_p95,median_bbox_overlap_pairs
V1,5,4,1,0.007242827826714654,0.19947012762468508,0.23515193370165746,1.0,0.31851466328598316,0.7890564173614302,78.5
V2,5,4,1,0.00931898584188835,0.20020998167837264,0.17528582415691052,1.0,0.2875086864952311,0.7147220637595941,45.0
