case_id,chamfer,hausdorff_max,hd95,link_id,version,voxel_iou
dev_arm-ab15a75247,0.006965514421654794,0.2812407486352657,0.17325796650925068,L0,V1,0.14563106796116504
dev_arm-ab15a75247,0.0005325881997491743,0.07587779797807491,0.04348391437831783,L1,V1,0.5858585858585859
dev_arm-ab15a75247,0.0029082927963119997,0.09785446513166565,0.08230739374204689,L2,V1,0.1509433962264151
dev_arm-ab15a75247,0.0346570803655329,0.40431449740325254,0.34516110513556447,L3,V1,0.0875
dev_arm-ab15a75247,0.27949509083596447,0.648664271652131,0.6073474539982716,L4,V1,0.0
dev_arm-dcc2b0ce1e,0.012085169238775317,0.282740022435183,0.23992070103161803,L0,V1,0.20218579234972678
dev_arm-dcc2b0ce1e,0.006223574377787505,0.22952774099302603,0.18278348223984775,L1,V1,0.23076923076923078
dev_arm-dcc2b0ce1e,0.023544478962410104,0.30306579143916,0.2544125464371881,L2,V1,0.0
dev_arm-dcc2b0ce1e,0.013885064170316805,0.3537159094227234,0.28057423711597335,L3,V1,0.23076923076923078
dev_arm-dcc2b0ce1e,0.23939717087885035,0.6576354459831206,0.6245666998310065,L4,V1,0.0
dev_arm-dcc2b0ce1e,0.16422699317983344,0.7082325890884449,0.6763908244147027,L5,V1,0.0
dev_arm-dcc2b0ce1e,0.5170272574582456,0.8108777492463646,0.7885328631420403,L6,V1,0.0
dev_arm-43fa322555,0.13791598129589563,0.7853148303387707,0.69969196043668,L0,V1,0.0
dev_arm-43fa322555,0.052880712372985424,0.4364112968768912,0.3790296122830953,L2,V1,0.0
dev_arm-43fa322555,0.015280130543781297,0.24680886868120447,0.2070644896338713,L4,V1,0.030927835051546393
dev_arm-43fa322555,0.004028035107437179,0.20705599479049552,0.15337993614716797,L6,V1,0.128
dev_arm-43fa322555,0.0021910228167561136,0.13094410927723024,0.09918888915269727,L8,V1,0.26174496644295303
dev_arm-43fa322555,0.02815963204673587,0.2967109337003455,0.277598092067951,L10,V1,0.0
dev_arm-43fa322555,0.08012575339355668,0.36907484288630227,0.35586428360194394,L12,V1,0.0
dev_arm-43fa322555,0.05563188874198849,0.3044151088671998,0.29278246761897114,L14,V1,0.0
dev_arm-551a9c392e,0.031158429892011483,0.40616005970710306,0.3185525414534224,L2,V1,0.06149732620320856
dev_arm-551a9c392e,0.0008768336274075335,0.0677780202244698,0.05651864167421209,L5,V1,0.4074074074074074
dev_arm-551a9c392e,0.008631631309199184,0.3590765740011885,0.16222971674588493,L6,V1,0.2289156626506024
dev_arm-551a9c392e,0.02018941345461461,0.3261533143713812,0.2811449808107719,L7,V1,0.07352941176470588
dev_arm-551a9c392e,0.014910093212212448,0.2229257438532284,0.1922033981811233,L9,V1,0.0
dev_arm-551a9c392e,0.040015002913382856,0.3538094099592828,0.32293506225526114,L10,V1,0.0
dev_arm-551a9c392e,0.04660198289411935,0.2613546115015436,0.24973684205116364,L11,V1,0.0
dev_arm-551a9c392e,0.08340495657560063,0.37579530097925457,0.3611226781549739,L12,V1,0.0
dev_arm-551a9c392e,0.13819197335369143,0.41161122584814885,0.40014594352749333,L14,V1,0.0
dev_arm-551a9c392e,0.20554046858824296,0.4762649954203879,0.4698414210039196,L17,V1,0.0
dev_arm-ab15a75247,0.0049546301990341535,0.2655289444198345,0.16041351255141162,L0,V2,0.1870967741935484
dev_arm-ab15a75247,0.002740399814432819,0.18026017970260258,0.12269781183652889,L1,V2,0.3137254901960784
dev_arm-ab15a75247,0.00404524057688455,0.14205767063242525,0.10937642027287801,L2,V2,0.11594202898550725
dev_arm-ab15a75247,0.11077043467546491,0.48040600065246103,0.42978772336794696,L3,V2,0.0
dev_arm-ab15a75247,0.2402654235446831,0.588860332175967,0.5651303558686429,L4,V2,0.0
dev_arm-4c7b408826,0.10164757430776562,0.520897520124644,0.48751101925951923,L0,V2,0.0
dev_arm-4c7b408826,0.01533722752862445,0.25280187556654715,0.19382629143947133,L1,V2,0.08076923076923077
dev_arm-4c7b408826,0.006557079075000448,0.19465231224260995,0.15280131797440197,L2,V2,0.13829787234042554
dev_arm-4c7b408826,0.01050632532353091,0.2027455702676482,0.1681697985015431,L3,V2,0.0625
dev_arm-4c7b408826,0.01630656382336541,0.3127331878366314,0.25448258142060015,L4,V2,0.0931174089068826
dev_arm-4c7b408826,0.12270531398636314,0.45870493194988066,0.4365490859021562,L5,V2,0.0
dev_arm-4c7b408826,0.2266492283555701,0.5342243777091289,0.5282690568602085,L6,V2,0.0
dev_arm-dcc2b0ce1e,0.07627431276554031,0.5636453551954427,0.4625289766910194,L0,V2,0.0
dev_arm-dcc2b0ce1e,0.05255801799678367,0.4156768147567885,0.34710412000915886,L1,V2,0.0
dev_arm-dcc2b0ce1e,0.004157127412118724,0.2505896553534274,0.11836160842365905,L2,V2,0.18689788053949905
dev_arm-dcc2b0ce1e,0.0038474812948568866,0.1632374730397483,0.13724446202144627,L3,V2,0.13157894736842105
dev_arm-dcc2b0ce1e,0.01897233105080124,0.36550486946654437,0.23132748065981276,L4,V2,0.08035714285714286
dev_arm-dcc2b0ce1e,0.11629319314483258,0.4824294361965562,0.44805455438843267,L5,V2,0.0
