subset,path,repeat,BREP_state,BREP_volume_delta_mm3,BREP_pass,FCStd_state,FCStd_volume_delta_mm3,FCStd_pass
FULL,UNION_THEN_SINGLE_CUT,0,VALID_MULTI_SOLID,-3.2741809263825417e-11,True,VALID_MULTI_SOLID,1.8189894035458565e-12,True
FULL,UNION_THEN_SINGLE_CUT,1,VALID_MULTI_SOLID,-3.2741809263825417e-11,True,VALID_MULTI_SOLID,1.8189894035458565e-12,True
FULL,ORDERED_SEQUENTIAL_CUT,0,VALID_MULTI_SOLID,-2.9103830456733704e-11,True,VALID_MULTI_SOLID,1.8189894035458565e-12,True
FULL,ORDERED_SEQUENTIAL_CUT,1,VALID_MULTI_SOLID,-2.9103830456733704e-11,True,VALID_MULTI_SOLID,1.8189894035458565e-12,True
