link,condition,bicr,connected_solid_count,jr3,gcfr,collision_events,intersection_volume_mm3,final_voxel_iou,final_silhouette_iou,final_normalized_chamfer,final_normalized_hd95,final_bbox_error_mm,final_major_dimension_error_mm
L03,S1_SCAFFOLD_PRESERVED,1.0,1,1.0,0.9166666666666666,31,12006.439266016707,0.2587825560266505,0.6125223906279531,0.05441609284735502,0.2141696444642864,16.409633291785045,11.790931463241577
L03,S0_SCAFFOLD_REMOVED,0.0,3,1.0,0.9166666666666666,31,12006.439266016707,0.20717009916094584,0.553545100210627,0.05592767787037357,0.2311149337753425,16.407163823319063,11.787494421005249
L04,S1_SCAFFOLD_PRESERVED,1.0,1,1.0,0.9166666666666666,31,14953.638728307726,0.09487005265839986,0.32006296932503525,0.12596580592973639,0.2653265407492469,34.318313997351524,10.047220468521118
L04,S0_SCAFFOLD_REMOVED,0.0,3,1.0,0.9166666666666666,31,13207.814630559984,0.08310603477667917,0.2975991333341789,0.12536107408352617,0.2652094435916571,34.318313997351524,10.047220468521118
L07,S1_SCAFFOLD_PRESERVED,1.0,1,,0.9166666666666666,33,12744.66526919801,0.10238179879132599,0.2683546787526973,0.06029585546811669,0.2221337037542137,65.74572886854368,55.488182067871094
L07,S0_SCAFFOLD_REMOVED,0.0,3,,0.9166666666666666,31,12517.942486550517,0.09270571325907294,0.264356559005395,0.05954814878025526,0.22217486141773254,65.74572886854368,55.488182067871094
