candidate_id,component_id,link_id,joint_id,q_rad,forbidden_intersection_mm3
candidate_000,L03_J03_00,L03,J03,-2.1467549799530254,3.50546154879037
candidate_000,L03_J03_05,L03,J03,1.0966485466697709,162.07730799671816
candidate_000,L03_J03_06,L03,J03,1.7453292519943295,66.6038559337737
candidate_000,L05_FIXED_J04_00,L05,FIXED_J04,0.0,42.19070483980415
candidate_000,L06_J05_00,L06,J05,0.0,281.97125917524625
candidate_000,L06_J05_01,L06,J05,1.5707963267948966,281.97125917524625
candidate_000,L06_J05_02,L06,J05,3.141592653589793,281.97125917524625
candidate_000,L06_J05_03,L06,J05,4.71238898038469,281.97125917524625
candidate_001,L03_J03_05,L03,J03,1.0966485466697709,74.22060474859519
candidate_001,L03_J03_06,L03,J03,1.7453292519943295,66.6038559337737
candidate_001,L05_FIXED_J04_00,L05,FIXED_J04,0.0,682.9278013542514
candidate_001,L06_J05_00,L06,J05,0.0,748.7467457849656
candidate_001,L06_J05_01,L06,J05,1.5707963267948966,748.7467901607158
candidate_001,L06_J05_02,L06,J05,3.141592653589793,748.746751095297
candidate_001,L06_J05_03,L06,J05,4.71238898038469,748.7467901607162
candidate_002,L03_J03_00,L03,J03,-2.1467549799530254,199.6295031509543
candidate_002,L03_J03_01,L03,J03,-1.498074274628466,23.50830720267432
candidate_002,L03_J03_04,L03,J03,0.4479678413452115,36.20047279447918
candidate_002,L03_J03_05,L03,J03,1.0966485466697709,129.0448312437886
candidate_002,L03_J03_06,L03,J03,1.7453292519943295,102.56814834602449
candidate_002,L05_FIXED_J04_00,L05,FIXED_J04,0.0,42.19070483980415
candidate_002,L06_J05_00,L06,J05,0.0,184.5256339160899
candidate_002,L06_J05_01,L06,J05,1.5707963267948966,184.5256339160899
candidate_002,L06_J05_02,L06,J05,3.141592653589793,184.5256339160899
candidate_002,L06_J05_03,L06,J05,4.71238898038469,184.5256339160899
candidate_003,L03_J03_00,L03,J03,-2.1467549799530254,28.744242590480646
candidate_003,L03_J03_05,L03,J03,1.0966485466697709,170.9700516784007
candidate_003,L03_J03_06,L03,J03,1.7453292519943295,66.6038559337737
candidate_003,L05_FIXED_J04_00,L05,FIXED_J04,0.0,44.763828868640076
candidate_003,L06_J05_00,L06,J05,0.0,421.46667352775
candidate_003,L06_J05_01,L06,J05,1.5707963267948966,421.4666735277494
candidate_003,L06_J05_02,L06,J05,3.141592653589793,421.46667352774983
candidate_003,L06_J05_03,L06,J05,4.71238898038469,421.4666735277488
candidate_004,L03_J03_00,L03,J03,-2.1467549799530254,99.84008386207101
candidate_004,L03_J03_05,L03,J03,1.0966485466697709,170.9700516784007
candidate_004,L03_J03_06,L03,J03,1.7453292519943295,66.98107769323258
candidate_004,L05_FIXED_J04_00,L05,FIXED_J04,0.0,484.85043417574144
candidate_004,L06_J05_00,L06,J05,0.0,747.2485545940629
candidate_004,L06_J05_01,L06,J05,1.5707963267948966,747.2485369297143
candidate_004,L06_J05_02,L06,J05,3.141592653589793,747.2485545940639
candidate_004,L06_J05_03,L06,J05,4.71238898038469,747.2485387762773
candidate_005,L03_J03_00,L03,J03,-2.1467549799530254,1.9111345613200077
candidate_005,L03_J03_05,L03,J03,1.0966485466697709,157.43099645169585
candidate_005,L03_J03_06,L03,J03,1.7453292519943295,66.6038559337737
candidate_005,L05_FIXED_J04_00,L05,FIXED_J04,0.0,620.6815190038211
candidate_005,L06_J05_00,L06,J05,0.0,756.6014297702396
candidate_005,L06_J05_01,L06,J05,1.5707963267948966,756.6014297702396
candidate_005,L06_J05_02,L06,J05,3.141592653589793,756.6014297702396
candidate_005,L06_J05_03,L06,J05,4.71238898038469,756.6014297702396
candidate_006,L03_J03_00,L03,J03,-2.1467549799530254,201.25832530945425
candidate_006,L03_J03_01,L03,J03,-1.498074274628466,11.351080335642743
candidate_006,L03_J03_04,L03,J03,0.4479678413452115,16.815536752430887
candidate_006,L03_J03_05,L03,J03,1.0966485466697709,170.9700516784007
candidate_006,L03_J03_06,L03,J03,1.7453292519943295,115.20615778324262
candidate_006,L05_FIXED_J04_00,L05,FIXED_J04,0.0,42.19070483980415
candidate_006,L06_J05_00,L06,J05,0.0,165.35099575041784
candidate_006,L06_J05_01,L06,J05,1.5707963267948966,165.35099575320334
candidate_006,L06_J05_02,L06,J05,3.141592653589793,165.35099572768593
candidate_006,L06_J05_03,L06,J05,4.71238898038469,165.35099575321226
candidate_007,L03_J03_05,L03,J03,1.0966485466697709,59.9804407114861
candidate_007,L03_J03_06,L03,J03,1.7453292519943295,47.77058001169104
candidate_007,L05_FIXED_J04_00,L05,FIXED_J04,0.0,42.19070483980415
candidate_007,L06_J05_00,L06,J05,0.0,142.21303162491824
candidate_007,L06_J05_01,L06,J05,1.5707963267948966,142.21303162491824
candidate_007,L06_J05_02,L06,J05,3.141592653589793,142.21303162491824
candidate_007,L06_J05_03,L06,J05,4.71238898038469,142.21303162491824
candidate_008,L03_J03_00,L03,J03,-2.1467549799530254,369.59245894449475
candidate_008,L03_J03_01,L03,J03,-1.498074274628466,84.95412106550678
candidate_008,L03_J03_04,L03,J03,0.4479678413452115,157.69892318125957
candidate_008,L03_J03_05,L03,J03,1.0966485466697709,170.9700516784007
candidate_008,L03_J03_06,L03,J03,1.7453292519943295,266.21144679877204
candidate_008,L05_FIXED_J04_00,L05,FIXED_J04,0.0,106.37383248401264
candidate_008,L06_J05_00,L06,J05,0.0,568.8540596599083
candidate_008,L06_J05_01,L06,J05,1.5707963267948966,568.8540596599074
candidate_008,L06_J05_02,L06,J05,3.141592653589793,568.8540596599082
candidate_008,L06_J05_03,L06,J05,4.71238898038469,568.8540596599088
candidate_009,L03_J03_00,L03,J03,-2.1467549799530254,60.307539223329556
candidate_009,L03_J03_05,L03,J03,1.0966485466697709,170.9700516784007
candidate_009,L03_J03_06,L03,J03,1.7453292519943295,66.6038559337737
candidate_009,L05_FIXED_J04_00,L05,FIXED_J04,0.0,45.2210287688802
candidate_009,L06_J05_00,L06,J05,0.0,353.530550083327
candidate_009,L06_J05_01,L06,J05,1.5707963267948966,353.5305500833269
candidate_009,L06_J05_02,L06,J05,3.141592653589793,353.53055008332717
candidate_009,L06_J05_03,L06,J05,4.71238898038469,353.53055008332706
candidate_010,L03_J03_00,L03,J03,-2.1467549799530254,142.04022395311395
candidate_010,L03_J03_01,L03,J03,-1.498074274628466,0.20914183751677617
candidate_010,L03_J03_05,L03,J03,1.0966485466697709,163.67377706909954
candidate_010,L03_J03_06,L03,J03,1.7453292519943295,71.31789427729103
candidate_010,L05_FIXED_J04_00,L05,FIXED_J04,0.0,66.26984077709739
candidate_010,L06_J05_00,L06,J05,0.0,506.30962104382894
candidate_010,L06_J05_01,L06,J05,1.5707963267948966,506.30962104382917
candidate_010,L06_J05_02,L06,J05,3.141592653589793,506.30962104382905
candidate_010,L06_J05_03,L06,J05,4.71238898038469,506.3096210438293
candidate_011,L03_J03_05,L03,J03,1.0966485466697709,100.26259766309585
candidate_011,L03_J03_06,L03,J03,1.7453292519943295,66.6038559337737
candidate_011,L05_FIXED_J04_00,L05,FIXED_J04,0.0,177.12727021097325
candidate_011,L06_J05_00,L06,J05,0.0,402.3155160207929
candidate_011,L06_J05_01,L06,J05,1.5707963267948966,402.31550651053516
candidate_011,L06_J05_02,L06,J05,3.141592653589793,402.31551605265975
candidate_011,L06_J05_03,L06,J05,4.71238898038469,402.3155067549269
candidate_012,L03_J03_00,L03,J03,-2.1467549799530254,288.03542514188376
candidate_012,L03_J03_01,L03,J03,-1.498074274628466,39.89990017695651
candidate_012,L03_J03_04,L03,J03,0.4479678413452115,72.67067585896696
candidate_012,L03_J03_05,L03,J03,1.0966485466697709,170.9700516784007
candidate_012,L03_J03_06,L03,J03,1.7453292519943295,189.6260896501937
candidate_012,L05_FIXED_J04_00,L05,FIXED_J04,0.0,420.31292764664704
candidate_012,L06_J05_00,L06,J05,0.0,603.6764979100883
candidate_012,L06_J05_01,L06,J05,1.5707963267948966,603.6765131998412
candidate_012,L06_J05_02,L06,J05,3.141592653589793,603.6764997022427
candidate_012,L06_J05_03,L06,J05,4.71238898038469,603.6765131998416
candidate_013,L03_J03_05,L03,J03,1.0966485466697709,31.875109131695528
candidate_013,L03_J03_06,L03,J03,1.7453292519943295,66.6038559337737
candidate_013,L05_FIXED_J04_00,L05,FIXED_J04,0.0,56.31919730843605
candidate_013,L06_J05_00,L06,J05,0.0,440.50627443912845
candidate_013,L06_J05_01,L06,J05,1.5707963267948966,440.50627443912856
candidate_013,L06_J05_02,L06,J05,3.141592653589793,440.5062744391285
candidate_013,L06_J05_03,L06,J05,4.71238898038469,440.5062744391287
candidate_014,L03_J03_00,L03,J03,-2.1467549799530254,342.38076358172145
candidate_014,L03_J03_01,L03,J03,-1.498074274628466,67.09051491625257
candidate_014,L03_J03_04,L03,J03,0.4479678413452115,125.42991963528007
candidate_014,L03_J03_05,L03,J03,1.0966485466697709,170.9700516784007
candidate_014,L03_J03_06,L03,J03,1.7453292519943295,237.60282940808548
candidate_014,L05_FIXED_J04_00,L05,FIXED_J04,0.0,104.0978142305135
candidate_014,L06_J05_00,L06,J05,0.0,517.0761740479473
candidate_014,L06_J05_01,L06,J05,1.5707963267948966,517.0697467650617
candidate_014,L06_J05_02,L06,J05,3.141592653589793,517.0761740479501
candidate_014,L06_J05_03,L06,J05,4.71238898038469,517.069883626744
candidate_015,L03_J03_00,L03,J03,-2.1467549799530254,0.0007166261166367985
candidate_015,L03_J03_05,L03,J03,1.0966485466697709,111.61213295569627
candidate_015,L03_J03_06,L03,J03,1.7453292519943295,37.70852825196711
candidate_015,L05_FIXED_J04_00,L05,FIXED_J04,0.0,42.19070483980415
candidate_015,L06_J05_00,L06,J05,0.0,276.0039306386156
candidate_015,L06_J05_01,L06,J05,1.5707963267948966,276.00393063889334
candidate_015,L06_J05_02,L06,J05,3.141592653589793,276.0039306363083
candidate_015,L06_J05_03,L06,J05,4.71238898038469,276.0039306389015
candidate_016,L03_J03_00,L03,J03,-2.1467549799530254,158.12577231731535
candidate_016,L03_J03_01,L03,J03,-1.498074274628466,2.0306914526366433
candidate_016,L03_J03_04,L03,J03,0.4479678413452115,0.9736205681871232
candidate_016,L03_J03_05,L03,J03,1.0966485466697709,170.9700516784007
candidate_016,L03_J03_06,L03,J03,1.7453292519943295,85.43458492507426
candidate_016,L05_FIXED_J04_00,L05,FIXED_J04,0.0,133.18200630947902
candidate_016,L06_J05_00,L06,J05,0.0,366.65837969001984
candidate_016,L06_J05_01,L06,J05,1.5707963267948966,366.65838792557963
candidate_016,L06_J05_02,L06,J05,3.141592653589793,366.6583791755187
candidate_016,L06_J05_03,L06,J05,4.71238898038469,366.6583879255795
