view,condition,silhouette_iou
front,A0,0.014745751504331151
front,A1,0.014960544805966923
side,A0,0.13718457215651908
side,A1,0.14384344688376413
top,A0,0.07607752047112926
top,A1,0.06619438200924956
isometric,A0,0.3684659403543524
isometric,A1,0.37693056517588036
