link_id,status,returncode,elapsed_seconds,operations,fallbacks,error
L00,SUCCESS,0,10.459983825683594,2,0,
L01,SUCCESS,0,4.718001842498779,3,0,
L02,SUCCESS,0,4.768746614456177,4,0,
L03,SUCCESS,0,4.857411861419678,3,0,
L04,SUCCESS,0,4.939446687698364,3,0,
L05,SUCCESS,0,4.918330430984497,4,0,
L06,SUCCESS,0,4.930454254150391,2,0,
L07,SUCCESS,0,5.083667755126953,3,0,
L08,SUCCESS,0,4.929220199584961,6,0,
L09,SUCCESS,0,4.8096818923950195,2,0,
L10,SUCCESS,0,4.7989256381988525,2,0,
L11,SUCCESS,0,4.827578067779541,2,0,
