link_id,status,returncode,elapsed_seconds,operations,fallbacks,error
L00,SUCCESS,0,4.955808639526367,2,0,
L01,SUCCESS,0,4.698110342025757,3,0,
L02,SUCCESS,0,4.704785346984863,3,0,
L03,SUCCESS,0,4.6679606437683105,3,0,
L04,SUCCESS,0,4.644690275192261,3,0,
L05,SUCCESS,0,4.743786811828613,4,0,
L06,SUCCESS,0,4.633589744567871,2,0,
L07,SUCCESS,0,5.319978713989258,3,0,
L08,SUCCESS,0,5.00830602645874,5,0,
L09,SUCCESS,0,4.846550226211548,2,0,
L10,SUCCESS,0,5.062061548233032,2,0,
L11,SUCCESS,0,4.874730110168457,2,0,
