level,link_id,condition,voxel_iou,normalized_chamfer,normalized_hd95,silhouette_iou_mean,bbox_error_mm
link,L00,A0,0.5003464203233257,0.05314643811541631,0.28713736365560205,0.6635186286292255,70.21900843444112
link,L00,A1,0.4711355466271939,0.05357738009453875,0.2746952930787832,0.6246938470728792,65.80457440866874
link,L00,A2,0.4835069444444444,0.053923753213475145,0.27643342358933726,0.6329275075237681,65.87256149204761
link,L01,A0,0.22170422579727553,0.09570456034184328,0.25878942376102115,0.37598861657493804,46.542096857694396
link,L01,A1,0.18002283773496516,0.1290451770410512,0.4821380803005546,0.3307963737522403,59.6163299168452
link,L01,A2,0.15975995700722517,0.1285753877460564,0.4820578371427492,0.3143634989960542,56.47483924246167
link,L02,A0,0.19961832061068702,0.05830264126362582,0.18844223600312457,0.47746468058968056,30.496174528414066
link,L02,A1,0.11740100390407139,0.07534303809643773,0.22676492772440549,0.45616776794977976,24.440921517065654
link,L02,A2,0.10564679830226979,0.07428756395755129,0.22395327004220164,0.43505964414130055,25.46285593578658
link,L03,A0,0.3489482057627718,0.04908823690923659,0.14509475737646876,0.5165541806990501,29.084159299157335
link,L03,A1,0.3298774740810556,0.051548193415060714,0.1371259781807217,0.5071330412270328,24.08270719670079
link,L03,A2,0.3153153153153153,0.04910846299824419,0.13588566956322282,0.49229812258250544,25.529135566652684
link,L04,A0,0.2663115030158293,0.08238735439705182,0.2255249978306215,0.46426847046916153,28.575047073217682
link,L04,A1,0.2556032292666403,0.08746083466481637,0.22780910637972032,0.4578167016262866,26.355532515830898
link,L04,A2,0.267085508657051,0.09280054833894,0.229060427324125,0.4770519375465699,21.812157370696994
link,L06,A0,0.1839729621559123,0.08956249356663795,0.23554203350401556,0.3443636960656766,20.793463753819893
link,L06,A1,0.21314644755920734,0.08341724747198458,0.23732460119160342,0.36053406357893986,25.95941186253212
link,L06,A2,0.21314644755920734,0.08253806974081122,0.23732247229575887,0.36053406357893986,25.95941186253212
link,L07,A0,0.11647615293653922,0.10192515442974798,0.3254597923733359,0.2139492338271526,87.89275432776472
link,L07,A1,0.12123102516115616,0.10471878455036353,0.3321106398793473,0.22339383101152255,90.86723417473789
link,L07,A2,0.11046147421173523,0.1043548174162555,0.3274971313446661,0.2241100099197535,88.41357097693657
link,L09,A0,0.15023065540952216,0.0743958282013278,0.2531629350488808,0.36242469929450666,18.764427898061616
link,L09,A1,0.13333333333333333,0.06743131781622862,0.1899760099752277,0.36492110119979637,17.84943965601131
link,L09,A2,0.13333333333333333,0.06784067745902765,0.1907098141291846,0.36492110119979637,17.954739917144362
link,L10,A0,0.20260723296888142,0.05997394590286671,0.20985649688239436,0.43491032163083104,16.153743392947618
link,L10,A1,0.13333333333333333,0.0680429391456423,0.19110813807675475,0.36492110119979637,17.849439656011306
link,L10,A2,0.13333333333333333,0.06730226540911785,0.18754764549144176,0.36492110119979637,17.95473991714436
whole_robot,ALL,A0,0.45769911504424776,0.018915278004907762,0.10276701598773096,0.6509014159609916,55.298663669922796
whole_robot,ALL,A1,0.4479242534595776,0.019676232380525488,0.09667218855469199,0.6504325949716364,55.922291857402854
whole_robot,ALL,A2,0.4482632541133455,0.01955853433040927,0.09782832515415596,0.6486326510637522,55.922291857402854
