link,method,final_voxel_iou,final_silhouette_iou,final_normalized_chamfer,final_normalized_hd95,bicr,connected_solid_count,jr3,gcfr,collision_events,intersection_volume_mm3,failed_configuration_count,input_tokens,output_tokens,total_tokens,model_latency_seconds,end_to_end_runtime_seconds,cad_build_success,status
L03,STRUCTURED_QWEN,0.2528023598820059,0.579242954621055,0.05415199503020312,0.13539167585826214,0.0,2,0.0,0.28125,122,73635.29071178685,69,15725,2722,18447,50.17249389999779,208.21983700001147,True,EVALUATED
L03,DIRECT_QWEN,0.4273354062457753,0.6652994860279252,0.043175403720842276,0.12640810570555974,1.0,1,0.0,0.09375,152,72144.65968897635,87,15685,5947,21632,104.48382580000907,270.5838496001088,True,EVALUATED
L04,STRUCTURED_QWEN,,,,,,,,,,,,15715,4282,19997,75.32665969996015,75.32665969996015,False,EXECUTION_EXCEPTION
L04,DIRECT_QWEN,0.12496993987975952,0.3017446993510538,0.11657432624731785,0.2950432532379807,1.0,1,1.0,0.7291666666666666,50,26393.013813899426,26,15675,3867,19542,69.76637409999967,220.08856010000454,True,EVALUATED
L07,STRUCTURED_QWEN,,,,,,,,,,,,16526,3011,19537,54.98492989997612,54.98492989997612,False,EXECUTION_EXCEPTION
L07,DIRECT_QWEN,0.08970649028524183,0.23529811277858478,0.09553706827111291,0.352333280372344,1.0,1,,0.9166666666666666,32,12266.584809009602,8,16486,2389,18875,44.16570709994994,178.54726519994438,True,EVALUATED
