variant,failure_pattern,case_count
direct,invalid_cad,4
direct,missing_parts,11
direct,poor_curved_geometry,11
direct,poor_geometry,11
direct,transport_api_timeout,4
direct,wrong_joint_axis,8
direct,wrong_joint_origin,11
direct,wrong_joint_type,11
direct,wrong_motion,11
direct,wrong_topology,11
simplecad,missing_parts,15
simplecad,poor_curved_geometry,15
simplecad,poor_geometry,15
simplecad,wrong_joint_axis,11
simplecad,wrong_joint_origin,15
simplecad,wrong_joint_type,15
simplecad,wrong_motion,15
simplecad,wrong_topology,15
v1_joint_frame,missing_parts,15
v1_joint_frame,poor_curved_geometry,15
v1_joint_frame,poor_geometry,15
v1_joint_frame,wrong_joint_axis,6
v1_joint_frame,wrong_joint_origin,14
v1_joint_frame,wrong_joint_type,15
v1_joint_frame,wrong_motion,15
v1_joint_frame,wrong_topology,15
v2_consistency,invalid_cad,1
v2_consistency,missing_parts,14
v2_consistency,poor_curved_geometry,14
v2_consistency,poor_geometry,13
v2_consistency,wrong_joint_axis,6
v2_consistency,wrong_joint_origin,13
v2_consistency,wrong_joint_type,14
v2_consistency,wrong_motion,14
v2_consistency,wrong_topology,14
