variant,cases,executed,failed,not_run,api_calls_total,tokens_total,median_geometry_chamfer,median_geometry_hd95,median_geometry_voxel_iou,median_assembly_assembly_graph_f1,median_kinematic_joint_type_accuracy,median_kinematic_axis_error_degrees_median,median_kinematic_joint_origin_error_normalized_median,median_motion_link_translation_error_normalized_median,median_motion_link_rotation_error_degrees_median,median_cad_urdf_consistency_joint_axis_error_degrees_median,median_cad_urdf_consistency_joint_origin_error_median_meters
direct,15,11,4,0,11,80036,0.0034002789177019007,0.12236956760423102,0.18705035971223022,0.5333333333333333,0.375,45.0,0.21808095977767092,0.19379827079078132,80.48365081971875,,
simplecad,15,15,0,0,15,109668,0.00458167651966956,0.1427615233727127,0.24520255863539445,0.5,0.3333333333333333,45.0,0.24989452995225211,0.23047986171690443,63.46498975179274,,
v1_joint_frame,15,15,0,0,30,227398,0.004393849366329337,0.1417932631961591,0.1659919028340081,0.5,0.3333333333333333,0.0,0.2271452046765881,0.24786126809905568,67.46578037665442,0.0,0.15985
v2_consistency,15,14,1,0,30,238188,0.0032136869232028747,0.11841709540550649,0.3321889259389259,0.5,0.3333333333333333,0.0,0.1959887193387817,0.30054100639165116,68.73408651749156,0.0,0.0
