api_calls,assembly_assembly_graph_f1,assembly_assembly_graph_precision,assembly_assembly_graph_recall,assembly_gt_edge_count,assembly_gt_link_count,assembly_matched_edges,assembly_matched_parts,assembly_part_f1,assembly_part_precision,assembly_part_recall,assembly_pred_edge_count,assembly_pred_link_count,cad_urdf_consistency_joint_axis_error_degrees_median,cad_urdf_consistency_joint_origin_error_median_meters,cad_urdf_consistency_matched_joints,cad_urdf_consistency_status,case_id,error,failure_patterns,geometry_chamfer,geometry_hausdorff_max,geometry_hd95,geometry_note,geometry_per_link_count,geometry_sample_count_per_robot,geometry_voxel_iou,geometry_voxel_pitch_normalized,input_tokens,kinematic_axis_error_degrees_mean,kinematic_axis_error_degrees_median,kinematic_joint_origin_error_normalized_mean,kinematic_joint_origin_error_normalized_median,kinematic_joint_type_accuracy,kinematic_matched_joints,latency_seconds,motion_end_effector_gt_link,motion_end_effector_rotation_error_degrees_median,motion_end_effector_translation_error_normalized_median,motion_link_rotation_error_degrees_mean,motion_link_rotation_error_degrees_median,motion_link_translation_error_normalized_mean,motion_link_translation_error_normalized_median,motion_mapped_links,output_tokens,run_status,total_tokens,variant
1,0.888888888888889,1.0,0.8,5,6,4,5,0.9090909090909091,1.0,0.8333333333333334,4,5,,,0,NOT_APPLICABLE,dev_arm-10f5f05385,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0014344017098165103,0.14183057443381783,0.08672309862341958,hd95 is robust Hausdorff; hausdorff_max is also reported,5,3000,0.3684210526315789,0.05,1101,67.5,90.0,0.25127089476581765,0.22830198165570675,0.8,4,193.3462853000001,END-EFFECTOR,172.640508810197,0.19682660248089787,77.01410040569834,88.0456430867978,0.1064131212962184,0.04111421805907758,5,11310,SUCCESS,12411,direct
1,0.42857142857142855,0.5,0.375,8,9,3,6,0.75,0.8571428571428571,0.6666666666666666,6,7,,,0,NOT_APPLICABLE,dev_arm-d55f01b988,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0049229826209711966,0.20901535456387701,0.1366878079361316,hd95 is robust Hausdorff; hausdorff_max is also reported,6,3000,0.096,0.05,1101,90.0,90.0,0.3034629417511873,0.3295648604935417,0.25,3,145.38217799999984,gripper_link,128.3478175204982,10.910887029939877,109.01545642290807,121.30570653490534,3.806462591090203,0.32535815662921386,6,8482,SUCCESS,9583,direct
1,0.1739130434782609,0.6666666666666666,0.1,20,21,2,4,0.32,1.0,0.19047619047619047,3,4,,,0,NOT_APPLICABLE,dev_arm-551a9c392e,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.012400535465802926,0.503293963384455,0.23653210699159594,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.18705035971223022,0.05,1101,45.0,45.0,0.06340086430718628,0.06340086430718628,0.1,2,46.13853149999886,head,120.08622428146926,0.05071837279842001,52.61191273994335,34.445128604816205,0.09142449029068081,0.03180597419400715,4,2622,SUCCESS,3723,direct
1,0.5,0.6666666666666666,0.4,10,11,4,6,0.6666666666666665,0.8571428571428571,0.5454545454545454,6,7,,,0,NOT_APPLICABLE,dev_arm-21b8992ec4,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.00161183740858586,0.11361582639046514,0.08569239288400565,hd95 is robust Hausdorff; hausdorff_max is also reported,6,3000,0.18099547511312217,0.05,1101,45.0,45.0,0.14808295835297403,0.13454144888706787,0.4,4,58.21348550000039,arm_5_link,60.948999168839144,0.3824376795117217,65.61910883104646,63.46498975179274,0.19431631507819033,0.15702221180992576,6,3360,SUCCESS,4461,direct
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,,,0,NOT_APPLICABLE,dev_arm-0573e1e127,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0025330526231057845,0.17143397341033667,0.09349962818941863,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.38113207547169814,0.05,1101,60.0,90.0,0.17986946258493194,0.21976839161831024,0.3333333333333333,3,33.7165455000013,link_3,151.899512358865,0.18937709687589194,72.97397177228751,81.04724556919474,0.1304080003824506,0.12483205251326593,4,1519,SUCCESS,2620,direct
1,0.1818181818181818,0.5,0.1111111111111111,9,10,1,3,0.4615384615384615,1.0,0.3,2,3,,,0,NOT_APPLICABLE,dev_arm-fdadfa8bdd,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.006976838451514183,0.23987085306358286,0.1862294474780279,hd95 is robust Hausdorff; hausdorff_max is also reported,3,3000,0.25846153846153846,0.05,1101,0.0,0.0,0.18534176015954332,0.18534176015954332,0.1111111111111111,1,223.0558675000011,link_3,76.66444009811417,0.41332656358356057,55.52104895465516,32.21286771800539,0.29159735683000887,0.15747204817679222,3,13016,SUCCESS,14117,simplecad
1,0.6666666666666666,1.0,0.5,8,9,4,5,0.7142857142857143,1.0,0.5555555555555556,4,5,,,0,NOT_APPLICABLE,dev_arm-f7b0b901d3,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.011910940497398608,0.3514802977496941,0.22351080394613593,hd95 is robust Hausdorff; hausdorff_max is also reported,5,3000,0.08928571428571429,0.05,1101,22.5,0.0,0.1332517915967869,0.15457207825227282,0.5,4,40.70141100000001,link_4,85.71658490316369,0.258219811556509,32.90526884188189,18.000703522028843,0.16569560967233482,0.16915664788810225,5,2257,SUCCESS,3358,simplecad
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,,,0,NOT_APPLICABLE,dev_arm-4c7b408826,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.005686339729520387,0.2573317942255759,0.1727330983610373,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.24520255863539445,0.05,1101,0.0,0.0,0.22415672525550892,0.22474771676583072,0.3333333333333333,3,32.566129299999375,link_3,126.77694255305762,0.41541928813807943,56.179075406335855,58.97999752965904,0.2695668057901092,0.2516411311888428,4,1824,SUCCESS,2925,simplecad
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,,,0,NOT_APPLICABLE,dev_arm-cb42051aad,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.007367316298005698,0.2922032128925027,0.2007530264615258,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.2482758620689655,0.05,1101,60.0,90.0,0.21948507189771926,0.26485700838209186,0.3333333333333333,3,38.487949899999876,link_3,76.67770689286101,0.47820527478928204,54.435630558136054,40.00104846705841,0.3042839494614486,0.26542235017595217,4,2177,SUCCESS,3278,simplecad
1,0.4,1.0,0.25,16,17,4,5,0.45454545454545453,1.0,0.29411764705882354,4,5,,,0,NOT_APPLICABLE,dev_arm-43fa322555,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0022464135359759963,0.17629748334520945,0.0974971380678757,hd95 is robust Hausdorff; hausdorff_max is also reported,5,3000,0.36666666666666664,0.05,1101,45.0,45.0,0.2241437705738828,0.21817504634863505,0.25,4,107.50087739999981,fr3_link4,120.86889498234662,0.5231961163105936,69.12166280984562,58.7818443145057,0.3002856477319519,0.273170931392165,5,6225,SUCCESS,7326,simplecad
