replicate,condition,cases,components,successes,case_macro_iou,component_micro_iou,case_macro_recall,case_macro_contamination_proxy,recorded_tokens_lower_bound,recorded_seconds_lower_bound
replicate_01,A0_controlled,5,58,5,0.33606221228174904,0.30911115426958713,0.2654761904761905,0.5867467265075968,52781,179.26852941513062
replicate_01,A1_color_only,5,58,5,0.5313998514735655,0.4942412211168269,0.561984126984127,0.40795053535350767,57850,372.3084285259247
replicate_01,A2_color_legend,5,58,4,0.47845619454144944,0.4342649810110943,0.585,0.4907729824150711,46582,191.09542179107666
replicate_02,A0_controlled,5,58,5,0.4223587130024725,0.3710342500611822,0.443968253968254,0.5971812355871163,53274,217.18682646751404
replicate_02,A1_color_only,5,58,5,0.48008663017239533,0.43325589500198286,0.5197619047619048,0.4809908653153612,55422,243.94403052330017
replicate_02,A2_color_legend,5,58,5,0.4421383350071745,0.4367222801472044,0.40166666666666667,0.4041851512089166,60922,294.1180634498596
replicate_03,A0_controlled,5,58,5,0.38021310505024697,0.33106304211912213,0.36523809523809525,0.6074160924718299,52155,150.1105933189392
replicate_03,A1_color_only,5,58,5,0.48316538285041927,0.4476254762433984,0.5461111111111111,0.48373047245626555,54145,208.9678828716278
replicate_03,A2_color_legend,5,58,4,0.4911099893345292,0.4176115729658943,0.625,0.460427771289296,44608,168.54969692230225
