case_id,condition,status,gt_components,predicted_regions,mean_bbox_iou,recall_at_0_5,mean_target_purity,wrong_link_rate,blank_crop_rate,identity_accuracy,feature_candidates,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error
step_px100,A0_controlled,SUCCESS,7,7,0.2926950264854798,0.14285714285714285,0.4255275737090246,0.5744724262909754,0.0,0.5714285714285714,9,8261,1916,10177,29.8993399143219,,
step_px100,A1_color_only,SUCCESS,7,7,0.24358637078778295,0.0,0.21307984952224146,0.7869201504777585,0.0,0.0,7,8263,1759,10022,28.41352343559265,,
step_px100,A2_color_legend,SUCCESS,7,7,0.7501504876388391,1.0,0.8551954404348724,0.1448045595651276,0.0,0.7142857142857143,7,8408,1922,10330,38.91694092750549,,
step_rx150,A0_controlled,SUCCESS,9,9,0.435471435737861,0.3333333333333333,0.34209185185661306,0.6579081481433869,0.0,0.1111111111111111,9,8261,2283,10544,37.98749041557312,,
step_rx150,A1_color_only,SUCCESS,9,9,0.6574894846956053,0.8888888888888888,0.6914109151621926,0.30858908483780745,0.0,0.3333333333333333,9,8263,2141,10404,38.8291437625885,,
step_rx150,A2_color_legend,SUCCESS,9,9,0.7148217667742641,1.0,0.782543234964333,0.21745676503566702,0.0,1.0,18,8449,2722,11171,41.57070970535278,,
step_vx300s,A0_controlled,SUCCESS,24,10,0.17569346269733513,0.125,0.1818720887438711,0.8181279112561289,0.6,0.0,21,8265,2895,11160,16.995909690856934,,
step_vx300s,A1_color_only,SUCCESS,24,24,0.3185049396820163,0.16666666666666666,0.29515811283910676,0.7048418871608932,0.041666666666666664,0.0,24,8267,4884,13151,68.48077917098999,,
step_vx300s,A2_color_legend,SUCCESS,24,24,0.2882750237190798,0.125,0.28173122593022143,0.7182687740697786,0.0,0.041666666666666664,24,8755,3922,12677,57.53923416137695,,
step_wx200,A0_controlled,SUCCESS,8,8,0.4775753860858281,0.625,0.5233319440106923,0.4766680559893077,0.0,0.125,8,8263,1973,10236,34.4535608291626,,
step_wx200,A1_color_only,SUCCESS,8,8,0.6334060394465638,0.875,0.7032496430159201,0.2967503569840799,0.0,0.0,9,8265,2283,10548,41.381999492645264,,
step_wx200,A2_color_legend,SUCCESS,8,8,0.7023026685404632,1.0,0.7783912422240928,0.22160875777590716,0.0,1.0,8,8431,1999,10430,30.522812128067017,,
step_wx250s,A0_controlled,SUCCESS,10,10,0.5196302142447309,0.6,0.49009607932064947,0.5099039206793505,0.0,0.0,11,8265,1773,10038,30.774292469024658,,
step_wx250s,A1_color_only,SUCCESS,10,10,0.5628400796401277,0.8,0.6784491171792113,0.3215508828207887,0.0,0.0,10,8267,1753,10020,31.8624370098114,,
step_wx250s,A2_color_legend,FAILURE,10,0,0,0,0,1,1,0,0,0,0,0,0,RateLimitError,"Error code: 429 - {'error': {'code': '1113', 'message': '余额不足或无可用资源包,请充值。'}}"
