condition,case_id,joint_index,radius_m,local_chamfer_mm2
C,dev_arm-07307859e2,7,0.11897594799911629,0.00038827365489742553
C,dev_arm-07307859e2,8,0.11897594799911629,0.00042391883838385834
C,dev_arm-07307859e2,9,0.11897594799911629,0.0005153069434048385
C,dev_arm-07307859e2,10,0.11897594799911629,0.0005236538396120813
C,dev_arm-10f5f05385,0,0.07864880159975975,0.0011012663314522932
C,dev_arm-10f5f05385,1,0.07864880159975975,0.0011502045854453792
C,dev_arm-10f5f05385,2,0.07864880159975975,0.0011927505786923666
C,dev_arm-10f5f05385,3,0.07864880159975975,0.0009129529376776091
C,dev_arm-10f5f05385,4,0.07864880159975975,0.0010903559294531248
C,dev_arm-21b8992ec4,0,0.11446286722336801,0.00019630586695803132
C,dev_arm-21b8992ec4,1,0.11446286722336801,0.00016740023659773219
C,dev_arm-21b8992ec4,2,0.11446286722336801,0.00017305976812747098
C,dev_arm-21b8992ec4,3,0.11446286722336801,0.0005271488908071448
C,dev_arm-21b8992ec4,4,0.11446286722336801,0.0005193424982131708
C,dev_arm-21b8992ec4,5,0.11446286722336801,0.00040968279849415353
C,dev_arm-21b8992ec4,6,0.11446286722336801,0.00041123279158981267
C,dev_arm-21b8992ec4,7,0.11446286722336801,0.00027397758812477984
C,dev_arm-21b8992ec4,8,0.11446286722336801,0.0002505206641862217
C,dev_arm-21b8992ec4,9,0.11446286722336801,0.00045343725483199893
C,dev_arm-3ce41d3c31,0,0.1355428647672726,0.0006378259108760377
C,dev_arm-3ce41d3c31,1,0.1355428647672726,0.0006499842775179732
C,dev_arm-3ce41d3c31,2,0.1355428647672726,0.00077026884349059
C,dev_arm-3ce41d3c31,3,0.1355428647672726,0.0007233833011586334
C,dev_arm-3ce41d3c31,4,0.1355428647672726,0.00034779224456069004
C,dev_arm-3ce41d3c31,5,0.1355428647672726,0.0003979841178979403
C,dev_arm-3ce41d3c31,6,0.1355428647672726,0.0008107238622649758
C,dev_arm-3ce41d3c31,7,0.1355428647672726,0.0003860211464618722
C,dev_arm-3ce41d3c31,8,0.1355428647672726,0.0003452588234397804
C,dev_arm-42e898b1a2,0,0.04427362768800189,4.781461408595483e-05
C,dev_arm-42e898b1a2,1,0.04427362768800189,0.00010651027883746167
C,dev_arm-42e898b1a2,2,0.04427362768800189,0.00011130811386286164
C,dev_arm-42e898b1a2,3,0.04427362768800189,0.00010959086657064181
C,dev_arm-42e898b1a2,4,0.04427362768800189,6.722089498811672e-05
C,dev_arm-42e898b1a2,5,0.04427362768800189,0.00011929778649173748
C,dev_arm-43fa322555,0,0.11892464039468678,0.0002460511210157807
C,dev_arm-43fa322555,1,0.11892464039468678,0.0003118628495043331
C,dev_arm-43fa322555,2,0.11892464039468678,0.0003109701805994446
C,dev_arm-43fa322555,3,0.11892464039468678,0.0003117052644387706
C,dev_arm-43fa322555,4,0.11892464039468678,0.00030567726015546853
C,dev_arm-43fa322555,5,0.11892464039468678,0.0004357196158717091
C,dev_arm-43fa322555,6,0.11892464039468678,0.0004743282219603772
C,dev_arm-43fa322555,7,0.11892464039468678,0.0006503979419844142
C,dev_arm-43fa322555,8,0.11892464039468678,0.0006847578543130162
C,dev_arm-43fa322555,9,0.11892464039468678,0.0005652318117463616
C,dev_arm-43fa322555,10,0.11892464039468678,0.0005636236281023213
C,dev_arm-43fa322555,11,0.11892464039468678,0.0004981099259590553
C,dev_arm-43fa322555,12,0.11892464039468678,0.0005326933035675474
C,dev_arm-43fa322555,13,0.11892464039468678,0.00034622749771783727
C,dev_arm-43fa322555,14,0.11892464039468678,0.00034543531777095495
C,dev_arm-43fa322555,15,0.11892464039468678,0.0004334683780561002
C,dev_arm-4c7b408826,0,0.1182243846279309,0.0022187411356706
C,dev_arm-4c7b408826,1,0.1182243846279309,0.0009446085404438008
C,dev_arm-4c7b408826,2,0.1182243846279309,0.001663240399196413
C,dev_arm-4c7b408826,3,0.1182243846279309,0.0020281333611503823
C,dev_arm-4c7b408826,4,0.1182243846279309,0.0005830693790663035
C,dev_arm-4c7b408826,5,0.1182243846279309,0.0006078017716416731
C,dev_arm-4c7b408826,6,0.1182243846279309,0.002062489670885464
C,dev_arm-4c7b408826,7,0.1182243846279309,0.0006023988214504302
C,dev_arm-4c7b408826,8,0.1182243846279309,0.000533658727270779
C,dev_arm-551a9c392e,0,0.22594329204399047,0.0026974169818940828
C,dev_arm-551a9c392e,1,0.22594329204399047,0.0024109171507103655
C,dev_arm-551a9c392e,2,0.22594329204399047,0.002571150486234019
C,dev_arm-551a9c392e,3,0.22594329204399047,0.002584355195040109
C,dev_arm-551a9c392e,4,0.22594329204399047,0.0026473184950615066
C,dev_arm-551a9c392e,5,0.22594329204399047,0.0012834126332428592
C,dev_arm-551a9c392e,6,0.22594329204399047,0.0010892401850936912
C,dev_arm-551a9c392e,7,0.22594329204399047,0.0014150203129278103
C,dev_arm-551a9c392e,8,0.22594329204399047,0.0015022284157951787
C,dev_arm-551a9c392e,9,0.22594329204399047,0.0015610352621891828
C,dev_arm-551a9c392e,10,0.22594329204399047,0.0023844120071427983
C,dev_arm-551a9c392e,11,0.22594329204399047,0.001518912187569155
C,dev_arm-551a9c392e,12,0.22594329204399047,0.0010668624101137923
C,dev_arm-551a9c392e,13,0.22594329204399047,0.00038688655834396993
C,dev_arm-551a9c392e,14,0.22594329204399047,0.0004350178440474144
C,dev_arm-551a9c392e,15,0.22594329204399047,0.0004197236763016499
C,dev_arm-551a9c392e,16,0.22594329204399047,0.000483501569234027
C,dev_arm-551a9c392e,17,0.22594329204399047,0.0004921325450926869
C,dev_arm-551a9c392e,18,0.22594329204399047,0.0009831816795722952
C,dev_arm-551a9c392e,19,0.22594329204399047,0.001230001777310652
C,dev_arm-ab15a75247,0,0.04187241293179906,0.00032874283610234576
C,dev_arm-ab15a75247,1,0.04187241293179906,0.00032412374227224947
C,dev_arm-ab15a75247,2,0.04187241293179906,0.0002474376539151516
