effect,case_id,metric,right_minus_left
fusion_no_urdf,dev_arm-cb42051aad,voxel_iou,-0.001410662625705994
fusion_no_urdf,dev_arm-d55f01b988,graph_f1,0.0
fusion_no_urdf,dev_arm-d55f01b988,joint_type,0.0
fusion_no_urdf,dev_arm-d55f01b988,axis,0.0
fusion_no_urdf,dev_arm-d55f01b988,origin,0.0
fusion_no_urdf,dev_arm-d55f01b988,motion,0.023309661188079422
fusion_no_urdf,dev_arm-d55f01b988,chamfer,-0.00019538398917208575
fusion_no_urdf,dev_arm-d55f01b988,hd95,0.005447911975378944
fusion_no_urdf,dev_arm-d55f01b988,voxel_iou,0.01614273576890396
fusion_no_urdf,dev_arm-f7b0b901d3,graph_f1,0.0
fusion_no_urdf,dev_arm-f7b0b901d3,joint_type,0.0
fusion_no_urdf,dev_arm-f7b0b901d3,axis,0.0
fusion_no_urdf,dev_arm-f7b0b901d3,origin,0.0
fusion_no_urdf,dev_arm-f7b0b901d3,motion,-0.005711348335320943
fusion_no_urdf,dev_arm-f7b0b901d3,chamfer,9.725418560173945e-05
fusion_no_urdf,dev_arm-f7b0b901d3,hd95,0.0020231029877182116
fusion_no_urdf,dev_arm-f7b0b901d3,voxel_iou,-0.0038073845289905983
fusion_no_urdf,dev_arm-fdadfa8bdd,graph_f1,0.0
fusion_no_urdf,dev_arm-fdadfa8bdd,joint_type,0.0
fusion_no_urdf,dev_arm-fdadfa8bdd,axis,0.0
fusion_no_urdf,dev_arm-fdadfa8bdd,origin,0.0
fusion_no_urdf,dev_arm-fdadfa8bdd,motion,0.009693825894210306
fusion_no_urdf,dev_arm-fdadfa8bdd,chamfer,-0.0009580555580555126
fusion_no_urdf,dev_arm-fdadfa8bdd,hd95,-0.02146243058088422
fusion_no_urdf,dev_arm-fdadfa8bdd,voxel_iou,0.015083657258745997
fusion_with_urdf,dev_arm-0573e1e127,graph_f1,0.0
fusion_with_urdf,dev_arm-0573e1e127,joint_type,0.0
fusion_with_urdf,dev_arm-0573e1e127,axis,0.0
fusion_with_urdf,dev_arm-0573e1e127,origin,0.0
fusion_with_urdf,dev_arm-0573e1e127,motion,0.0077195511913472955
fusion_with_urdf,dev_arm-0573e1e127,chamfer,0.0004368614524846899
fusion_with_urdf,dev_arm-0573e1e127,hd95,0.018183148235175972
fusion_with_urdf,dev_arm-0573e1e127,voxel_iou,-0.11279190331017186
fusion_with_urdf,dev_arm-07307859e2,graph_f1,0.0
fusion_with_urdf,dev_arm-07307859e2,joint_type,0.0
fusion_with_urdf,dev_arm-07307859e2,axis,0.0
fusion_with_urdf,dev_arm-07307859e2,origin,0.0
fusion_with_urdf,dev_arm-07307859e2,motion,-0.0013514670902764689
fusion_with_urdf,dev_arm-07307859e2,chamfer,6.464534598117958e-05
fusion_with_urdf,dev_arm-07307859e2,hd95,0.00432858551624523
fusion_with_urdf,dev_arm-07307859e2,voxel_iou,-0.028791996533931996
fusion_with_urdf,dev_arm-10f5f05385,graph_f1,0.0
fusion_with_urdf,dev_arm-10f5f05385,joint_type,0.0
fusion_with_urdf,dev_arm-10f5f05385,axis,0.0
fusion_with_urdf,dev_arm-10f5f05385,origin,0.0
fusion_with_urdf,dev_arm-10f5f05385,motion,0.001111113953191467
fusion_with_urdf,dev_arm-10f5f05385,chamfer,-0.0006877977995807978
fusion_with_urdf,dev_arm-10f5f05385,hd95,-0.003235281681438662
fusion_with_urdf,dev_arm-10f5f05385,voxel_iou,-4.8983190601758174e-05
fusion_with_urdf,dev_arm-21b8992ec4,graph_f1,0.0
fusion_with_urdf,dev_arm-21b8992ec4,joint_type,0.0
fusion_with_urdf,dev_arm-21b8992ec4,axis,0.0
fusion_with_urdf,dev_arm-21b8992ec4,origin,0.0
fusion_with_urdf,dev_arm-21b8992ec4,motion,-0.010627835516644812
fusion_with_urdf,dev_arm-21b8992ec4,chamfer,-1.5032334623258736e-05
fusion_with_urdf,dev_arm-21b8992ec4,hd95,-0.001584145966765465
fusion_with_urdf,dev_arm-21b8992ec4,voxel_iou,0.03111111111111109
fusion_with_urdf,dev_arm-3ce41d3c31,graph_f1,0.0
fusion_with_urdf,dev_arm-3ce41d3c31,joint_type,0.0
fusion_with_urdf,dev_arm-3ce41d3c31,axis,0.0
fusion_with_urdf,dev_arm-3ce41d3c31,origin,0.0
fusion_with_urdf,dev_arm-3ce41d3c31,motion,-0.010772424611565502
fusion_with_urdf,dev_arm-3ce41d3c31,chamfer,0.0006792484926236425
fusion_with_urdf,dev_arm-3ce41d3c31,hd95,0.031152945444136326
fusion_with_urdf,dev_arm-3ce41d3c31,voxel_iou,-0.08144932284840539
fusion_with_urdf,dev_arm-42e898b1a2,graph_f1,0.0
fusion_with_urdf,dev_arm-42e898b1a2,joint_type,0.0
fusion_with_urdf,dev_arm-42e898b1a2,axis,0.0
fusion_with_urdf,dev_arm-42e898b1a2,origin,0.0
fusion_with_urdf,dev_arm-42e898b1a2,motion,0.02025777375660369
fusion_with_urdf,dev_arm-42e898b1a2,chamfer,8.223106401487857e-05
fusion_with_urdf,dev_arm-42e898b1a2,hd95,0.0016618229834950635
fusion_with_urdf,dev_arm-42e898b1a2,voxel_iou,-0.030899811979586356
fusion_with_urdf,dev_arm-43fa322555,graph_f1,0.0
fusion_with_urdf,dev_arm-43fa322555,joint_type,0.0
fusion_with_urdf,dev_arm-43fa322555,axis,0.0
fusion_with_urdf,dev_arm-43fa322555,origin,0.0
fusion_with_urdf,dev_arm-43fa322555,motion,0.035506583707923214
fusion_with_urdf,dev_arm-43fa322555,chamfer,0.0015986007712119783
fusion_with_urdf,dev_arm-43fa322555,hd95,0.06134665939218193
fusion_with_urdf,dev_arm-43fa322555,voxel_iou,-0.214023851590106
fusion_with_urdf,dev_arm-4c7b408826,graph_f1,0.0
fusion_with_urdf,dev_arm-4c7b408826,joint_type,0.0
fusion_with_urdf,dev_arm-4c7b408826,axis,0.0
fusion_with_urdf,dev_arm-4c7b408826,origin,0.0
fusion_with_urdf,dev_arm-4c7b408826,motion,-0.005586584410632207
fusion_with_urdf,dev_arm-4c7b408826,chamfer,0.00047013052058179883
fusion_with_urdf,dev_arm-4c7b408826,hd95,0.01427761390711671
fusion_with_urdf,dev_arm-4c7b408826,voxel_iou,-0.12698412698412698
fusion_with_urdf,dev_arm-551a9c392e,graph_f1,0.0
fusion_with_urdf,dev_arm-551a9c392e,joint_type,0.0
fusion_with_urdf,dev_arm-551a9c392e,axis,0.0
fusion_with_urdf,dev_arm-551a9c392e,origin,0.0
fusion_with_urdf,dev_arm-551a9c392e,motion,-0.0018455949407177319
fusion_with_urdf,dev_arm-551a9c392e,chamfer,-1.0790100794974469e-05
fusion_with_urdf,dev_arm-551a9c392e,hd95,0.0025163406660315413
fusion_with_urdf,dev_arm-551a9c392e,voxel_iou,0.000408428478603895
fusion_with_urdf,dev_arm-ab15a75247,graph_f1,0.0
fusion_with_urdf,dev_arm-ab15a75247,joint_type,0.0
fusion_with_urdf,dev_arm-ab15a75247,axis,0.0
fusion_with_urdf,dev_arm-ab15a75247,origin,0.0
fusion_with_urdf,dev_arm-ab15a75247,motion,0.005986774203519896
fusion_with_urdf,dev_arm-ab15a75247,chamfer,-0.0012780462599023459
fusion_with_urdf,dev_arm-ab15a75247,hd95,-0.002258219166110187
fusion_with_urdf,dev_arm-ab15a75247,voxel_iou,0.0571561812326032
fusion_with_urdf,dev_arm-cb42051aad,graph_f1,0.0
fusion_with_urdf,dev_arm-cb42051aad,joint_type,0.0
fusion_with_urdf,dev_arm-cb42051aad,axis,0.0
fusion_with_urdf,dev_arm-cb42051aad,origin,0.0
fusion_with_urdf,dev_arm-cb42051aad,motion,-0.00401661182299437
fusion_with_urdf,dev_arm-cb42051aad,chamfer,-0.0004128630693952381
fusion_with_urdf,dev_arm-cb42051aad,hd95,-0.003818572500851297
fusion_with_urdf,dev_arm-cb42051aad,voxel_iou,0.00751104565537555
fusion_with_urdf,dev_arm-d55f01b988,graph_f1,0.0
fusion_with_urdf,dev_arm-d55f01b988,joint_type,0.0
fusion_with_urdf,dev_arm-d55f01b988,axis,0.0
fusion_with_urdf,dev_arm-d55f01b988,origin,0.0
fusion_with_urdf,dev_arm-d55f01b988,motion,-0.0025622159053177544
