condition,case_id,gt_link,pred_link,chamfer_mm2
B,dev_arm-0573e1e127,link_3,link_3,0.0031971054280375867
B,dev_arm-0573e1e127,link_4,link_4,0.0017701646357777723
B,dev_arm-0573e1e127,link_5,link_5,0.007131764631293159
B,dev_arm-0573e1e127,link_6,link_6,0.018230917468278752
B,dev_arm-07307859e2,panda_link0,base_link,0.00047658083982549907
B,dev_arm-07307859e2,panda_link1,link_1,0.0013356350495913139
B,dev_arm-07307859e2,panda_link2,link_2,0.0008493263279085366
B,dev_arm-07307859e2,panda_link3,link_3,0.0032365906636378098
B,dev_arm-07307859e2,panda_link4,link_4,0.02281033117670192
B,dev_arm-07307859e2,panda_link5,link_5,0.011493304489317768
B,dev_arm-07307859e2,panda_link6,link_6,0.00804335164950076
B,dev_arm-10f5f05385,base_link,link_1,0.005956527959384031
B,dev_arm-10f5f05385,YAW,link_2,0.023771819727322584
B,dev_arm-10f5f05385,BICEP,link_3,0.08817142856488383
B,dev_arm-10f5f05385,FOREARM,link_4,0.1187045170018455
B,dev_arm-10f5f05385,END-EFFECTOR,tool_flange,0.12358716869138825
B,dev_arm-21b8992ec4,arm_podest_link,link_1,0.01999095435044363
B,dev_arm-21b8992ec4,arm_1_link,link_3,0.11140811603155745
B,dev_arm-21b8992ec4,arm_2_link,link_4,0.19656573910284192
B,dev_arm-21b8992ec4,arm_3_link,link_5,0.07586262270450264
B,dev_arm-21b8992ec4,arm_4_link,link_6,0.05807098276954507
B,dev_arm-3ce41d3c31,base_link,base_link,0.004125776894606805
B,dev_arm-3ce41d3c31,link_1,link_1,0.003940613011049148
B,dev_arm-3ce41d3c31,link_2,link_2,0.0017456588564464205
B,dev_arm-3ce41d3c31,link_3,link_3,0.016963898057508225
B,dev_arm-3ce41d3c31,link_4,link_4,0.025463153699642145
B,dev_arm-3ce41d3c31,link_5,link_5,0.041024968641774934
B,dev_arm-3ce41d3c31,link_6,tool_link,0.08561480339221955
B,dev_arm-42e898b1a2,meca_base_link,base_link,0.00016316394597019543
B,dev_arm-42e898b1a2,meca_axis_1_link,link_1,0.0001557300520103493
B,dev_arm-42e898b1a2,meca_axis_2_link,link_2,0.0003115365841706212
B,dev_arm-42e898b1a2,meca_axis_3_link,link_3,0.004089121017460835
B,dev_arm-42e898b1a2,meca_axis_4_link,link_4,0.035224856446631196
B,dev_arm-42e898b1a2,meca_axis_5_link,link_5,0.06906308221760438
B,dev_arm-43fa322555,fr3_link0,base_link,0.0004695720484663982
B,dev_arm-43fa322555,fr3_link1,link_2,0.00338922890624468
B,dev_arm-43fa322555,fr3_link2,link_4,0.10623987054414089
B,dev_arm-43fa322555,fr3_link3,link_6,0.1139233480759615
B,dev_arm-4c7b408826,base_link,base_link,0.004205781575613442
B,dev_arm-4c7b408826,link_1,link_1,0.014410530125762813
B,dev_arm-4c7b408826,link_2,link_2,0.016199907743190658
B,dev_arm-4c7b408826,link_3,link_3,0.11034890129074873
B,dev_arm-4c7b408826,link_4,link_4,0.14225452297783647
B,dev_arm-4c7b408826,link_5,link_5,0.1228358883533593
B,dev_arm-4c7b408826,link_6,link_6,0.16201155963356756
B,dev_arm-551a9c392e,pedestal,link_2,0.512209380161399
B,dev_arm-551a9c392e,right_arm_base_link,link_5,0.909756259205233
B,dev_arm-551a9c392e,right_l0,link_6,0.8762271895618621
B,dev_arm-cb42051aad,base_link,base_link,0.0019832558333725122
B,dev_arm-cb42051aad,link_1,link_1,0.008786596147953284
B,dev_arm-cb42051aad,link_2,link_2,0.018051646458950504
B,dev_arm-cb42051aad,link_3,link_3,0.02502442079155563
B,dev_arm-cb42051aad,link_4,link_4,0.07532997113093014
B,dev_arm-cb42051aad,link_5,link_5,0.24467330299078416
B,dev_arm-cb42051aad,link_6,link_6,0.38303584498680976
B,dev_arm-d55f01b988,link1,link_1,0.0004887128413019256
B,dev_arm-d55f01b988,link2,link_2,0.0018375256648251142
B,dev_arm-d55f01b988,link3,link_3,0.004178199248211131
B,dev_arm-d55f01b988,link4,link_4,0.01705150135567358
B,dev_arm-d55f01b988,link5,finger_left,0.06564325884278849
B,dev_arm-d55f01b988,gripper_link,finger_right,0.07015019285159504
B,dev_arm-f7b0b901d3,base_link,base_link,0.003779677365405904
B,dev_arm-f7b0b901d3,link_1,link_1,0.004380305912773738
B,dev_arm-f7b0b901d3,link_2,link_2,0.0016330916589352498
B,dev_arm-f7b0b901d3,link_3,link_3,0.0017235270346607544
B,dev_arm-f7b0b901d3,link_4,link_4,0.03853194469742323
B,dev_arm-f7b0b901d3,link_5,link_5,0.13779163889203627
B,dev_arm-f7b0b901d3,link_6,link_6,0.26248142291826276
B,dev_arm-fdadfa8bdd,base_link,base_link,0.001213175266091374
B,dev_arm-fdadfa8bdd,link_1,link_1,0.0014969912005713217
B,dev_arm-fdadfa8bdd,link_2,link_2,0.06946813197929678
B,dev_arm-fdadfa8bdd,link_3,link_3,0.24676584205618135
B,dev_arm-fdadfa8bdd,link_4,link_4,0.6163024241736017
B,dev_arm-fdadfa8bdd,link_5,link_5,0.7625912882688497
B,dev_arm-fdadfa8bdd,link_6,link_6,0.8934143047253168
C,dev_arm-0573e1e127,base_link,L0,0.004534471730766261
C,dev_arm-0573e1e127,link_1,L1,0.005943852297109204
C,dev_arm-0573e1e127,link_2,L2,0.01460625249880245
C,dev_arm-0573e1e127,link_3,L3,0.002608124738280833
C,dev_arm-0573e1e127,link_4,L4,0.0006511955170980955
C,dev_arm-0573e1e127,link_5,L5,0.00035963446301765574
C,dev_arm-0573e1e127,link_6,L6,0.0007097388878507926
C,dev_arm-07307859e2,panda_link0,L0,0.0005490573244339816
C,dev_arm-07307859e2,panda_link1,L1,0.011769055265904427
C,dev_arm-07307859e2,panda_link2,L2,0.0007291076672595227
C,dev_arm-07307859e2,panda_link3,L3,0.0014578659310968446
C,dev_arm-07307859e2,panda_link4,L4,0.0025321453550657337
C,dev_arm-07307859e2,panda_link5,L5,0.00883906565782642
C,dev_arm-07307859e2,panda_link6,L6,0.00038405237051327356
C,dev_arm-07307859e2,panda_link7,L7,0.0011213677254046572
C,dev_arm-07307859e2,panda_hand,L9,0.0004536447755044785
C,dev_arm-07307859e2,panda_leftfinger,L10,0.0008499830860291021
C,dev_arm-07307859e2,panda_rightfinger,L11,0.000860889957765256
C,dev_arm-10f5f05385,base_link,L1,0.006409972602747718
C,dev_arm-10f5f05385,YAW,L2,0.011010686028374387
C,dev_arm-10f5f05385,BICEP,L3,0.022575569316933178
C,dev_arm-10f5f05385,FOREARM,L4,0.013072461283384138
C,dev_arm-10f5f05385,END-EFFECTOR,L5,2.584857439134309e-05
C,dev_arm-21b8992ec4,arm_podest_link,L1,0.00018210566631517432
C,dev_arm-21b8992ec4,arm_1_link,L3,0.0009979312504025423
C,dev_arm-21b8992ec4,arm_2_link,L4,0.0007924141939456752
C,dev_arm-21b8992ec4,arm_3_link,L5,0.0016985222683814022
C,dev_arm-21b8992ec4,arm_4_link,L6,0.0006455370887982181
C,dev_arm-21b8992ec4,arm_5_link,L7,0.0008873552563037738
C,dev_arm-21b8992ec4,arm_6_link,L8,0.0005025780661078934
C,dev_arm-21b8992ec4,arm_7_link,L9,0.0003175441084178661
C,dev_arm-3ce41d3c31,base_link,L0,0.0025212750762765683
C,dev_arm-3ce41d3c31,link_1,L1,0.006179009017779759
C,dev_arm-3ce41d3c31,link_2,L2,0.001157126334303758
C,dev_arm-3ce41d3c31,link_3,L3,0.0035046358150826887
C,dev_arm-3ce41d3c31,link_4,L4,0.006284380007420124
C,dev_arm-3ce41d3c31,link_5,L5,0.00012215972636285682
C,dev_arm-3ce41d3c31,link_6,L6,0.0005406289887453983
C,dev_arm-42e898b1a2,meca_base_link,L0,7.751674518961533e-05
C,dev_arm-42e898b1a2,meca_axis_1_link,L1,0.0001961843298322497
C,dev_arm-42e898b1a2,meca_axis_2_link,L2,0.0002644201575731568
C,dev_arm-42e898b1a2,meca_axis_3_link,L3,0.00031485053425082715
C,dev_arm-42e898b1a2,meca_axis_4_link,L4,0.000719088120638696
