case_id,component_count,condition,errors,feature_count,fusion_operations,joint_count,native_save_success,occurrence_transforms,rebuild_success,status,step_export_success,stl_export_success
dev_arm-d55f01b988,7,B,[],18,18,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 3.6], 'actual_translation_cm': [0.0, 0.0, 3.6]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 9.8], 'actual_translation_cm': [0.0, 0.0, 9.8]}, 'link_3': {'expected_translation_cm': [0.0, 0.0, 22.0], 'actual_translation_cm': [0.0, 0.0, 22.0]}, 'link_4': {'expected_translation_cm': [0.0, 0.0, 31.6], 'actual_translation_cm': [0.0, 0.0, 31.6]}, 'finger_left': {'expected_translation_cm': [-0.8, 0.0, 36.300000000000004], 'actual_translation_cm': [-0.8, 0.0, 36.300000000000004]}, 'finger_right': {'expected_translation_cm': [0.8, 0.0, 36.300000000000004], 'actual_translation_cm': [0.8, 0.0, 36.300000000000004]}}",True,SUCCESS,True,True
dev_arm-f7b0b901d3,7,B,[],14,14,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 8.0], 'actual_translation_cm': [0.0, 0.0, 8.0]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 19.0], 'actual_translation_cm': [0.0, 0.0, 19.0]}, 'link_3': {'expected_translation_cm': [0.0, 0.0, 51.0], 'actual_translation_cm': [0.0, 0.0, 51.0]}, 'link_4': {'expected_translation_cm': [0.0, 0.0, 65.0], 'actual_translation_cm': [0.0, 0.0, 65.0]}, 'link_5': {'expected_translation_cm': [0.0, 0.0, 89.0], 'actual_translation_cm': [0.0, 0.0, 89.0]}, 'link_6': {'expected_translation_cm': [0.0, 0.0, 100.0], 'actual_translation_cm': [0.0, 0.0, 100.0]}}",True,SUCCESS,True,True
dev_arm-fdadfa8bdd,7,B,[],18,18,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 12.5], 'actual_translation_cm': [0.0, 0.0, 12.5]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 38.5], 'actual_translation_cm': [0.0, 0.0, 38.5]}, 'link_3': {'expected_translation_cm': [0.0, 40.0, 38.5], 'actual_translation_cm': [0.0, 40.0, 38.5]}, 'link_4': {'expected_translation_cm': [0.0, 76.0, 38.5], 'actual_translation_cm': [0.0, 76.0, 38.5]}, 'link_5': {'expected_translation_cm': [0.0, 76.0, 50.5], 'actual_translation_cm': [0.0, 76.0, 50.5]}, 'link_6': {'expected_translation_cm': [0.0, 76.0, 55.5], 'actual_translation_cm': [0.0, 76.0, 55.5]}}",True,SUCCESS,True,True
dev_arm-0573e1e127,10,D,[],20,20,9,True,"{'L0': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L1': {'expected_translation_cm': [0.0, 0.0, 37.5], 'actual_translation_cm': [0.0, 0.0, 37.5]}, 'L2': {'expected_translation_cm': [0.0, 0.0, 37.5], 'actual_translation_cm': [0.0, 0.0, 37.5]}, 'L3': {'expected_translation_cm': [0.0, 2.0, 66.5], 'actual_translation_cm': [0.0, 2.0, 66.5]}, 'L4': {'expected_translation_cm': [0.0, 2.0, 66.5], 'actual_translation_cm': [0.0, 2.0, 66.5]}, 'L5': {'expected_translation_cm': [0.0, 2.0, 97.5], 'actual_translation_cm': [0.0, 2.0, 97.5]}, 'L6': {'expected_translation_cm': [0.0, 2.0, 104.5], 'actual_translation_cm': [0.0, 2.0, 104.5]}, 'L7': {'expected_translation_cm': [0.0, 0.0, 37.5], 'actual_translation_cm': [0.0, 0.0, 37.5]}, 'L8': {'expected_translation_cm': [0.0, 2.0, 104.5], 'actual_translation_cm': [0.0, 2.0, 104.5]}, 'L9': {'expected_translation_cm': [0.0, 2.0, 104.5], 'actual_translation_cm': [0.0, 2.0, 104.5]}}",True,SUCCESS,True,True
dev_arm-07307859e2,12,D,[],28,28,11,True,"{'L0': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L1': {'expected_translation_cm': [0.0, 0.0, 33.3], 'actual_translation_cm': [0.0, 0.0, 33.3]}, 'L2': {'expected_translation_cm': [0.0, 0.0, 33.3], 'actual_translation_cm': [0.0, 0.0, 33.3]}, 'L3': {'expected_translation_cm': [0.0, -1.5473220798063723e-10, 64.9], 'actual_translation_cm': [0.0, -1.5473220798063723e-10, 64.9]}, 'L4': {'expected_translation_cm': [8.25, -1.5473220798063723e-10, 64.9], 'actual_translation_cm': [8.25, -1.5473220798063723e-10, 64.9]}, 'L5': {'expected_translation_cm': [0.0, 3.3296804248997876e-11, 103.30000000000001], 'actual_translation_cm': [0.0, 3.3296804248997876e-11, 103.30000000000001]}, 'L6': {'expected_translation_cm': [0.0, 3.3296804248997876e-11, 103.30000000000001], 'actual_translation_cm': [0.0, 3.3296804248997876e-11, 103.30000000000001]}, 'L7': {'expected_translation_cm': [8.8, 3.3296804248997876e-11, 103.30000000000001], 'actual_translation_cm': [8.8, 3.3296804248997876e-11, 103.30000000000001]}, 'L8': {'expected_translation_cm': [8.8, -7.149019735814251e-11, 92.60000000000001], 'actual_translation_cm': [8.8, -7.149019735814251e-11, 92.60000000000001]}, 'L9': {'expected_translation_cm': [8.8, -7.149019735814251e-11, 92.60000000000001], 'actual_translation_cm': [8.8, -7.149019735814251e-11, 92.60000000000001]}, 'L10': {'expected_translation_cm': [8.8, -1.286823552446565e-10, 86.76], 'actual_translation_cm': [8.8, -1.286823552446565e-10, 86.76]}, 'L11': {'expected_translation_cm': [8.8, -1.286823552446565e-10, 86.76], 'actual_translation_cm': [8.8, -1.286823552446565e-10, 86.76]}}",True,SUCCESS,True,True
dev_arm-10f5f05385,6,D,[],6,6,5,True,"{'L0': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L1': {'expected_translation_cm': [0.0, 0.0, 0.0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L2': {'expected_translation_cm': [0.0, 0.0, 0.0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L3': {'expected_translation_cm': [0.0, 0.0, 13.97714], 'actual_translation_cm': [0.0, 0.0, 13.97714]}, 'L4': {'expected_translation_cm': [5.00000000000004, 1.222018468595149e-13, 48.9771400000015], 'actual_translation_cm': [5.00000000000004, 1.222018468595149e-13, 48.9771400000015]}, 'L5': {'expected_translation_cm': [28.800000000000065, 1.2220285938910323e-13, 48.97743000000151], 'actual_translation_cm': [28.800000000000065, 1.2220285938910323e-13, 48.97743000000151]}}",True,SUCCESS,True,True
dev_arm-21b8992ec4,11,D,[],24,24,10,True,"{'L0': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L1': {'expected_translation_cm': [0.0, 0.0, 2.6], 'actual_translation_cm': [0.0, 0.0, 2.6]}, 'L2': {'expected_translation_cm': [0.0, 0.0, 16.6], 'actual_translation_cm': [0.0, 0.0, 16.6]}, 'L3': {'expected_translation_cm': [0.0, 0.0, 16.6], 'actual_translation_cm': [0.0, 0.0, 16.6]}, 'L4': {'expected_translation_cm': [0.0, 0.0, 40.6], 'actual_translation_cm': [0.0, 0.0, 40.6]}, 'L5': {'expected_translation_cm': [0.0, 0.0, 40.6], 'actual_translation_cm': [0.0, 0.0, 40.6]}, 'L6': {'expected_translation_cm': [-1.2298030217827232e-31, 2.008420750601659e-15, 73.4], 'actual_translation_cm': [-1.2298030217827232e-31, 2.008420750601659e-15, 73.4]}, 'L7': {'expected_translation_cm': [-1.2298030217827232e-31, 2.008420750601659e-15, 73.4], 'actual_translation_cm': [-1.2298030217827232e-31, 2.008420750601659e-15, 73.4]}, 'L8': {'expected_translation_cm': [-3.651915070781623e-31, 5.964029911847609e-15, 105.7], 'actual_translation_cm': [-3.651915070781623e-31, 5.964029911847609e-15, 105.7]}, 'L9': {'expected_translation_cm': [-3.651915070781623e-31, 5.964029911847609e-15, 105.7], 'actual_translation_cm': [-3.651915070781623e-31, 5.964029911847609e-15, 105.7]}, 'L10': {'expected_translation_cm': [-5.594425031938704e-31, 7.477693355593737e-15, 113.94], 'actual_translation_cm': [-5.594425031938704e-31, 7.477693355593737e-15, 113.94]}}",True,SUCCESS,True,True
dev_arm-3ce41d3c31,10,D,[],23,23,9,True,"{'L0': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L1': {'expected_translation_cm': [0.0, 0.0, 40.0], 'actual_translation_cm': [0.0, 0.0, 40.0]}, 'L2': {'expected_translation_cm': [2.5, 0.0, 40.0], 'actual_translation_cm': [2.5, 0.0, 40.0]}, 'L3': {'expected_translation_cm': [48.0, 0.0, 40.0], 'actual_translation_cm': [48.0, 0.0, 40.0]}, 'L4': {'expected_translation_cm': [48.0, 0.0, 42.5], 'actual_translation_cm': [48.0, 0.0, 42.5]}, 'L5': {'expected_translation_cm': [90.0, 0.0, 42.5], 'actual_translation_cm': [90.0, 0.0, 42.5]}, 'L6': {'expected_translation_cm': [99.0, 0.0, 42.5], 'actual_translation_cm': [99.0, 0.0, 42.5]}, 'L7': {'expected_translation_cm': [0.0, 0.0, 0.0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L8': {'expected_translation_cm': [99.0, 0.0, 42.5], 'actual_translation_cm': [99.0, 0.0, 42.5]}, 'L9': {'expected_translation_cm': [99.0, 0.0, 42.5], 'actual_translation_cm': [99.0, 0.0, 42.5]}}",True,SUCCESS,True,True
dev_arm-42e898b1a2,7,D,[],20,20,6,True,"{'L0': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L1': {'expected_translation_cm': [1.2498, 0.0, 9.1], 'actual_translation_cm': [1.2498, 0.0, 9.1]}, 'L2': {'expected_translation_cm': [1.2498, 0.0, 13.5], 'actual_translation_cm': [1.2498, 0.0, 13.5]}, 'L3': {'expected_translation_cm': [1.2498, 0.0, 27.0], 'actual_translation_cm': [1.2498, 0.0, 27.0]}, 'L4': {'expected_translation_cm': [1.2498, 0.0, 30.8], 'actual_translation_cm': [1.2498, 0.0, 30.8]}, 'L5': {'expected_translation_cm': [13.2498, 0.0, 30.8], 'actual_translation_cm': [13.2498, 0.0, 30.8]}, 'L6': {'expected_translation_cm': [20.2498, 0.0, 30.8], 'actual_translation_cm': [20.2498, 0.0, 30.8]}}",True,SUCCESS,True,True
dev_arm-43fa322555,17,D,[],24,24,16,True,"{'L0': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L1': {'expected_translation_cm': [0.0, 0.0, 0.0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'L2': {'expected_translation_cm': [0.0, 0.0, 33.3], 'actual_translation_cm': [0.0, 0.0, 33.3]}, 'L3': {'expected_translation_cm': [0.0, 0.0, 33.3], 'actual_translation_cm': [0.0, 0.0, 33.3]}, 'L4': {'expected_translation_cm': [0.0, 0.0, 33.3], 'actual_translation_cm': [0.0, 0.0, 33.3]}, 'L5': {'expected_translation_cm': [0.0, 0.0, 33.3], 'actual_translation_cm': [0.0, 0.0, 33.3]}, 'L6': {'expected_translation_cm': [0.0, -1.934941942652818e-15, 64.9], 'actual_translation_cm': [0.0, -1.934941942652818e-15, 64.9]}, 'L7': {'expected_translation_cm': [0.0, -1.934941942652818e-15, 64.9], 'actual_translation_cm': [0.0, -1.934941942652818e-15, 64.9]}, 'L8': {'expected_translation_cm': [8.25, -1.934941942652818e-15, 64.9], 'actual_translation_cm': [8.25, -1.934941942652818e-15, 64.9]}, 'L9': {'expected_translation_cm': [8.25, -1.934941942652818e-15, 64.9], 'actual_translation_cm': [8.25, -1.934941942652818e-15, 64.9]}, 'L10': {'expected_translation_cm': [0.0, 4.1637991171010006e-16, 103.30000000000001], 'actual_translation_cm': [0.0, 4.1637991171010006e-16, 103.30000000000001]}, 'L11': {'expected_translation_cm': [0.0, 4.1637991171010006e-16, 103.30000000000001], 'actual_translation_cm': [0.0, 4.1637991171010006e-16, 103.30000000000001]}, 'L12': {'expected_translation_cm': [0.0, 4.1637991171010006e-16, 103.30000000000001], 'actual_translation_cm': [0.0, 4.1637991171010006e-16, 103.30000000000001]}, 'L13': {'expected_translation_cm': [0.0, 4.1637991171010006e-16, 103.30000000000001], 'actual_translation_cm': [0.0, 4.1637991171010006e-16, 103.30000000000001]}, 'L14': {'expected_translation_cm': [8.8, 4.1637991171010006e-16, 103.30000000000001], 'actual_translation_cm': [8.8, 4.1637991171010006e-16, 103.30000000000001]}, 'L15': {'expected_translation_cm': [8.8, 4.1637991171010006e-16, 103.30000000000001], 'actual_translation_cm': [8.8, 4.1637991171010006e-16, 103.30000000000001]}, 'L16': {'expected_translation_cm': [8.8, -8.939921633775679e-16, 92.60000000000001], 'actual_translation_cm': [8.8, -8.939921633775679e-16, 92.60000000000001]}}",True,SUCCESS,True,True
