condition,denominator,success,median_graph_f1,mean_graph_f1,median_joint_type,mean_joint_type,median_axis,mean_axis,median_origin,mean_origin,median_motion,mean_motion,median_chamfer,mean_chamfer,median_hd95,mean_hd95,median_voxel_iou,mean_voxel_iou
A,15,13,0.8,0.6412290198489293,0.6,0.5289238539238539,0.0,34.61538461538461,0.183339914320643,0.1834656815877058,0.2591240727418254,0.2705547975969674,0.002910490393040422,0.0031948072120399833,0.12205491994195751,0.11248866997420354,0.34108527131782945,0.37695420676305713
B,15,13,0.8,0.6412290198489293,0.6,0.5289238539238539,0.0,34.61538461538461,0.183339914320643,0.1834656815877058,0.2661122818106991,0.27171717946988033,0.0024940932946180823,0.0029778108242595244,0.10059248936107329,0.10843046982328759,0.32558139534883723,0.39068346453344444
C,15,15,0.6666666666666666,0.7003787878787878,0.6666666666666666,0.7003787878787878,0.0,0.0,0.0,6.378024902650332e-16,0.02640743868532976,0.03706151043551693,0.0008763114266717633,0.0033299533968339933,0.063062662206529,0.09149442855822584,0.5054945054945055,0.44354824889232186
D,15,15,0.6666666666666666,0.7003787878787878,0.6666666666666666,0.7003787878787878,0.0,0.0,0.0,6.378024902650332e-16,0.02501966420506816,0.03839213192492173,0.0014688084957214858,0.0034100483495993358,0.0860488718831284,0.10133019675833048,0.4036697247706422,0.4062342552865663
