axis_error_degrees_median,case_id,chamfer,error,failure_patterns,graph_f1,hd95,joint_type_accuracy,link_rotation_error_degrees_median,link_translation_error_normalized_median,mutation,origin_error_normalized_median,part_f1,simultaneous_success,status,voxel_iou
90.0,case_02_arm-4c7b408826,0.0,,wrong_joint_axis;wrong_motion,1.0,0.0,1.0,83.63514921992197,0.37558371326866125,axis_90,0.0,1.0,False,OK,1.0
,case_02_arm-4c7b408826,,ValueError: forward kinematics did not reach every link,,,,,,,remove_terminal_link,,,,INVALID,
,case_02_arm-4c7b408826,,ValueError: kinematic graph is not a rooted tree,,,,,,,remove_terminal_joint,,,,INVALID,
0.0,case_02_arm-4c7b408826,2.698028871708753e-06,,poor_curved_geometry;wrong_joint_type;wrong_topology,0.8888888888888888,0.0015356414261989296,0.8888888888888888,0.0,0.001756240298130755,reparent_terminal_link,0.0,1.0,False,OK,0.9856801909307876
,case_02_arm-4c7b408826,0.0,,wrong_joint_axis;wrong_joint_type;wrong_motion,1.0,0.0,0.3333333333333333,106.78121729861613,0.38540734245828756,revolute_fixed,0.0,1.0,False,OK,1.0
0.0,case_02_arm-4c7b408826,6.021375392977855e-05,,,1.0,0.014860828357685096,1.0,0.0,3.940111495866994e-06,link_scale_pct_20,0.0,1.0,True,OK,0.9975845410628019
0.0,case_03_arm-43fa322555,0.0,,,1.0,0.0,1.0,0.0,0.0,identity,0.0,1.0,True,OK,1.0
0.0,case_03_arm-43fa322555,0.0,,,1.0,0.0,1.0,0.0,0.0,axis_0,0.0,1.0,True,OK,1.0
5.000000000092464,case_03_arm-43fa322555,0.0,,,1.0,0.0,1.0,5.290617808116015,0.02286842507106572,axis_5,0.0,1.0,True,OK,1.0
10.000000001987418,case_03_arm-43fa322555,0.0,,wrong_joint_axis;wrong_motion,1.0,0.0,1.0,10.573976797478071,0.04569992967927286,axis_10,0.0,1.0,False,OK,1.0
0.0,case_03_arm-43fa322555,0.0,,,1.0,0.0,1.0,0.0,0.0,origin_mm_0,0.0,1.0,True,OK,1.0
0.0,case_03_arm-43fa322555,9.494583202643836e-06,,,1.0,0.004878594894319775,1.0,0.0,0.00887364324600488,origin_mm_5,0.0,1.0,True,OK,0.9833333333333333
0.0,case_03_arm-43fa322555,2.798912260559107e-05,,,1.0,0.008761440585379325,1.0,0.0,0.01799537240969422,origin_mm_10,0.0,1.0,True,OK,0.975
0.0,case_03_arm-43fa322555,4.150867599924022e-05,,,1.0,0.011625233151431968,1.0,0.0,9.240656670967488e-05,link_scale_pct_1,0.0,1.0,True,OK,1.0
0.0,case_03_arm-43fa322555,4.8183220542354516e-05,,,1.0,0.01229056099550387,1.0,0.0,0.0004638321300796121,link_scale_pct_5,0.0,1.0,True,OK,1.0
0.0,case_03_arm-43fa322555,3.374402826510294e-08,,,1.0,0.00015867422322228392,1.0,0.0,0.00011367716429722748,visual_translation_mm_1,0.0,1.0,True,OK,1.0
0.0,case_03_arm-43fa322555,7.658524803034054e-07,,,1.0,0.0007129830518169661,1.0,0.0,0.0005711051996976812,visual_translation_mm_5,0.0,1.0,True,OK,0.9958333333333333
45.0,case_03_arm-43fa322555,0.0,,wrong_joint_axis;wrong_motion,1.0,0.0,1.0,46.734973012375896,0.1929712061070898,axis_45,0.0,1.0,False,OK,1.0
90.0,case_03_arm-43fa322555,0.0,,wrong_joint_axis;wrong_motion,1.0,0.0,1.0,87.89670613964417,0.40223748624338773,axis_90,0.0,1.0,False,OK,1.0
,case_03_arm-43fa322555,,ValueError: forward kinematics did not reach every link,,,,,,,remove_terminal_link,,,,INVALID,
,case_03_arm-43fa322555,,ValueError: kinematic graph is not a rooted tree,,,,,,,remove_terminal_joint,,,,INVALID,
0.0,case_03_arm-43fa322555,0.00014224717126309387,,poor_curved_geometry,0.9375,0.02225468392257788,0.9375,0.0,0.017607774364913748,reparent_terminal_link,0.0,1.0,False,OK,0.84251968503937
,case_03_arm-43fa322555,0.0,,wrong_joint_axis;wrong_joint_type;wrong_motion,1.0,0.0,0.5625,93.90017504722987,0.28565108463930683,revolute_fixed,0.0,1.0,False,OK,1.0
0.0,case_03_arm-43fa322555,6.086233049971868e-05,,,1.0,0.013700095876839982,1.0,0.0,0.0018819926231913237,link_scale_pct_20,0.0,1.0,True,OK,0.9713114754098361
0.0,case_04_arm-dcc2b0ce1e,0.0,,,1.0,0.0,1.0,0.0,0.0,identity,0.0,1.0,True,OK,1.0
0.0,case_04_arm-dcc2b0ce1e,0.0,,,1.0,0.0,1.0,0.0,0.0,axis_0,0.0,1.0,True,OK,1.0
5.000000000092464,case_04_arm-dcc2b0ce1e,0.0,,,1.0,0.0,1.0,6.368790330604211,0.03070608167382849,axis_5,0.0,1.0,True,OK,1.0
10.000000001987418,case_04_arm-dcc2b0ce1e,0.0,,wrong_joint_axis;wrong_motion,1.0,0.0,1.0,14.330242747688589,0.06135371258700025,axis_10,0.0,1.0,False,OK,1.0
0.0,case_04_arm-dcc2b0ce1e,0.0,,,1.0,0.0,1.0,0.0,0.0,origin_mm_0,0.0,1.0,True,OK,1.0
0.0,case_04_arm-dcc2b0ce1e,5.913847600975196e-06,,,1.0,0.004090568407107378,1.0,0.0,0.007078235869162531,origin_mm_5,0.0032880859204243683,1.0,True,OK,0.9910313901345291
0.0,case_04_arm-dcc2b0ce1e,2.020461311248603e-05,,,1.0,0.007814195375421728,1.0,0.0,0.013924348286555402,origin_mm_10,0.006576171840848737,1.0,True,OK,0.968609865470852
0.0,case_04_arm-dcc2b0ce1e,1.717502613053437e-05,,,1.0,0.00872274562221844,1.0,0.0,7.33246959872684e-07,link_scale_pct_1,0.0,1.0,True,OK,1.0
0.0,case_04_arm-dcc2b0ce1e,3.6373702900231555e-05,,,1.0,0.011243836314821301,1.0,0.0,3.6662146885345884e-06,link_scale_pct_5,0.0,1.0,True,OK,1.0
0.0,case_04_arm-dcc2b0ce1e,2.6349834309904197e-08,,,1.0,0.0003092395626178648,1.0,0.0,0.0002950671070741882,visual_translation_mm_1,0.0,1.0,True,OK,1.0
0.0,case_04_arm-dcc2b0ce1e,6.509605726613304e-07,,,1.0,0.0015373798492976257,1.0,0.0,0.0014720848219597195,visual_translation_mm_5,0.0,1.0,True,OK,0.9955156950672646
45.0,case_04_arm-dcc2b0ce1e,0.0,,wrong_joint_axis;wrong_motion,1.0,0.0,1.0,57.76199448311565,0.2693918791382327,axis_45,0.0,1.0,False,OK,1.0
90.0,case_04_arm-dcc2b0ce1e,0.0,,wrong_joint_axis;wrong_motion,1.0,0.0,1.0,93.16919468487026,0.5016233593423747,axis_90,0.0,1.0,False,OK,1.0
,case_04_arm-dcc2b0ce1e,,ValueError: forward kinematics did not reach every link,,,,,,,remove_terminal_link,,,,INVALID,
,case_04_arm-dcc2b0ce1e,,ValueError: kinematic graph is not a rooted tree,,,,,,,remove_terminal_joint,,,,INVALID,
0.0,case_04_arm-dcc2b0ce1e,8.155502741338112e-07,,poor_curved_geometry;wrong_joint_type;wrong_topology,0.8888888888888888,0.0014506352863799567,0.8888888888888888,0.0,0.0016395255248953366,reparent_terminal_link,0.0,1.0,False,OK,0.9910714285714286
,case_04_arm-dcc2b0ce1e,0.0,,wrong_joint_axis;wrong_joint_type;wrong_motion,1.0,0.0,0.3333333333333333,75.91513037747956,0.5735151743475664,revolute_fixed,0.0,1.0,False,OK,1.0
