subset,R_min,R_max,width,category,status
FULL,0.0989829137846478,0.09898292760194331,1.3817295516083128e-08,MODERATE_RELIEF,ROBUST
L03,0.009794105007801817,0.009794105007802095,2.7755575615628914e-16,SMALL_RELIEF,ROBUST
L05,0.03498598820482212,0.03498598820482364,1.519617764955683e-15,SMALL_RELIEF,ROBUST
L06,0.05534118182267342,0.05534118182267563,2.213507155346406e-15,MODERATE_RELIEF,ROBUST
L07,-2.842844443748333e-08,-2.8428444160918192e-08,2.7656513788958543e-16,,NOT_MEASURABLE_UNDER_FROZEN_NEGATIVE_RULE
L03_L05,0.04478009333292521,0.044780093332927144,1.9359513991901167e-15,SMALL_RELIEF,ROBUST
L03_L06,0.06513528912213698,0.06513528912213891,1.9290125052862095e-15,MODERATE_RELIEF,ROBUST
L05_L06,0.08918882997525861,0.08918884350760133,1.3532342718614032e-08,MODERATE_RELIEF,ROBUST
L03_L05_L06,0.0989829137846478,0.09898292760194331,1.3817295516083128e-08,MODERATE_RELIEF,ROBUST
