backbone,method,terminal_cases,generation_success_cases,generation_failure_cases,simultaneous_success_cases,api_calls_total,repair_iterations_total,input_tokens_total,output_tokens_total,total_tokens_total,latency_seconds_median,geometry_chamfer_median_successful,assembly_part_f1_median_successful,assembly_graph_f1_median_successful,kinematic_joint_type_accuracy_median_successful,kinematic_axis_error_degrees_median_successful,kinematic_origin_error_median_successful,motion_link_translation_error_median_successful,motion_link_rotation_error_median_successful
qwen3.7-plus,direct_frontier_mllm,10,6,4,0,10,0,14440,67266,81706,61.2061509999985,0.006059818432521296,0.7666666666666666,0.6666666666666666,0.6666666666666666,67.5,0.1871507913063825,0.29944903970701076,85.50457979122712
qwen3.7-plus,cadir_simplecad,10,6,4,0,16,6,24136,75199,99335,100.86211219999677,0.005350708476509174,0.7666666666666666,0.7333333333333334,0.7333333333333334,0.0,0.18741428502679786,0.24581228853238046,79.4652645460896
qwen3.7-max-2026-06-08,direct_frontier_mllm,10,7,3,0,10,0,12994,41150,54144,69.85405110000283,0.0033849391399938876,0.7272727272727273,0.6666666666666666,0.6666666666666666,45.0,0.15025561980775326,0.24308297892287614,87.92731371492158
qwen3.7-max-2026-06-08,cadir_simplecad,10,8,2,0,14,4,20885,73262,94147,98.69520740000735,0.00620471147646125,0.7136363636363636,0.6666666666666666,0.6666666666666666,45.0,0.21115993826146928,0.29612993439412527,92.0117709407145
