GT_accessed,KFDE_component_brep_sha256,addition_geometry_state,alignment_category,allowed_region_pair_common_mm3,ambiguity_reason,component_id,coordinate_volume_delta_mm3,exact_adjacent,exact_allowed_contact_or_cluster_exception,exact_full_pair_common_mm3,exact_mutable_pair_common_mm3,exact_taxonomy,exact_unintended_collision,geometry_fcstd_sha256,geometry_id,joint_id,kfde_mutable_added_intersection_mm3,kfde_status,kfde_violation,mutable_geometry_state,neighbor_id,pose_q_rad,scope_ambiguity
False,fd8ce0eb51467ef088fe5d37b8c2d1bb7dd83c5bad3481b6157573b0980b180f,VALID_SINGLE_SOLID,ALIGNED_SAFE,4837.738527487741,,L03_J03_00,0.0,True,False,0.0,0.0,EXPECTED_INTERFACE_CONTACT,False,52b881b825feea636f096fc7fb03cbaf60393d4d7adeedebb1fc5bebc8566411,G1_C1_FINAL,J03,0.0,VOLUMETRIC_MUTABLE_GEOMETRY,False,VALID_SINGLE_SOLID,L03,-2.1467549799530254,False
False,034a2b439bf4ad1f82707eb9ad11cf74de9a0319c0abcd0d0417a25bec2b0d34,VALID_SINGLE_SOLID,ALIGNED_SAFE,4837.738527194036,,L03_J03_01,0.0,True,False,0.0,0.0,EXPECTED_INTERFACE_CONTACT,False,52b881b825feea636f096fc7fb03cbaf60393d4d7adeedebb1fc5bebc8566411,G1_C1_FINAL,J03,0.0,VOLUMETRIC_MUTABLE_GEOMETRY,False,VALID_SINGLE_SOLID,L03,-1.498074274628466,False
False,0986766f8032b976541f11ad435df69f74755547040fbd752040c69e40182b4a,VALID_SINGLE_SOLID,ALIGNED_SAFE,4837.738526959649,,L03_J03_02,0.0,True,False,0.0,0.0,EXPECTED_INTERFACE_CONTACT,False,52b881b825feea636f096fc7fb03cbaf60393d4d7adeedebb1fc5bebc8566411,G1_C1_FINAL,J03,0.0,VOLUMETRIC_MUTABLE_GEOMETRY,False,VALID_SINGLE_SOLID,L03,-0.849393569303907,False
False,6474691582403cbd7b3d1a8423559d4e097e5ad5d5d6af127f696b18e6278031,VALID_SINGLE_SOLID,ALIGNED_SAFE,4870.624000715184,,L03_J03_03,0.0,True,False,0.0,0.0,EXPECTED_INTERFACE_CONTACT,False,52b881b825feea636f096fc7fb03cbaf60393d4d7adeedebb1fc5bebc8566411,G1_C1_FINAL,J03,0.0,VOLUMETRIC_MUTABLE_GEOMETRY,False,VALID_SINGLE_SOLID,L03,-0.20071286397934784,False
False,f41fabae5c03866bbd6c6a91349fe4c7f111faaa4107e3b24449c655b4d0d316,VALID_SINGLE_SOLID,ALIGNED_SAFE,4837.738527145849,,L03_J03_04,0.0,True,False,0.0,0.0,EXPECTED_INTERFACE_CONTACT,False,52b881b825feea636f096fc7fb03cbaf60393d4d7adeedebb1fc5bebc8566411,G1_C1_FINAL,J03,0.0,VOLUMETRIC_MUTABLE_GEOMETRY,False,VALID_SINGLE_SOLID,L03,0.4479678413452115,False
False,8338ce721966f9458f6c8f9efeabaa34199f386584dfe8df09845a7648de8b90,VALID_SINGLE_SOLID,KFDE_FALSE_POSITIVE_SUSPECT,4842.697183378209,,L03_J03_05,1.0658141036401503e-13,True,True,67.19148567452868,62.232384106127505,EXPECTED_INTERFACE_CONTACT,False,52b881b825feea636f096fc7fb03cbaf60393d4d7adeedebb1fc5bebc8566411,G1_C1_FINAL,J03,62.23238410612761,VOLUMETRIC_MUTABLE_GEOMETRY,True,VALID_SINGLE_SOLID,L03,1.0966485466697709,False
False,87e9cd68a565eb0e97a059f21425dd4577a75d22a22d0410ad4a0b64c76cd3b5,VALID_SINGLE_SOLID,ALIGNED_UNSAFE,5040.936246112476,,L03_J03_06,2.0130934785811405e-07,True,False,175.92918860102847,66.60385613508305,ADJACENT_UNINTENDED_COLLISION,True,52b881b825feea636f096fc7fb03cbaf60393d4d7adeedebb1fc5bebc8566411,G1_C1_FINAL,J03,66.6038559337737,VOLUMETRIC_MUTABLE_GEOMETRY,True,VALID_SINGLE_SOLID,L03,1.7453292519943295,False
False,e263427958d2f8fe74a54dc6ccfaf7fe6bca4e0086a0f9c7a086287a17d5886e,VALID_SINGLE_SOLID,KFDE_FALSE_POSITIVE_SUSPECT,210.70750377417568,,L05_FIXED_J04_00,5.115907697472721e-13,True,True,670.9227867219204,460.2152847899274,EXPECTED_INTERFACE_CONTACT,False,52b881b825feea636f096fc7fb03cbaf60393d4d7adeedebb1fc5bebc8566411,G1_C1_FINAL,FIXED_J04,460.2152847899279,VOLUMETRIC_MUTABLE_GEOMETRY,True,VALID_SINGLE_SOLID,L05,0.0,False
False,0c3a82d97b831f1f769f9072b784e4327839c2315ad3900f0fafdbf2eaeeac37,VALID_SINGLE_SOLID,KFDE_FALSE_POSITIVE_SUSPECT,631.0203004000464,,L06_J05_00,4.092726157978177e-12,True,True,1358.9910683217174,727.9707674832613,EXPECTED_INTERFACE_CONTACT,False,52b881b825feea636f096fc7fb03cbaf60393d4d7adeedebb1fc5bebc8566411,G1_C1_FINAL,J05,727.9707674832572,VOLUMETRIC_MUTABLE_GEOMETRY,True,VALID_SINGLE_SOLID,L06,0.0,False
False,b2038d9ffad14e43924eb9a601e2b1c80bea32dbfb0b52318ae5af5a9bd4fcdd,VALID_SINGLE_SOLID,KFDE_FALSE_POSITIVE_SUSPECT,631.0203004000464,,L06_J05_01,5.229594535194337e-12,True,True,1358.9910901581818,727.9707898709426,EXPECTED_INTERFACE_CONTACT,False,52b881b825feea636f096fc7fb03cbaf60393d4d7adeedebb1fc5bebc8566411,G1_C1_FINAL,J05,727.9707898709373,VOLUMETRIC_MUTABLE_GEOMETRY,True,VALID_SINGLE_SOLID,L06,1.5707963267948966,False
