mesh_path,mesh_faces,mesh_vertices,mesh_area,mesh_bbox_diagonal,mesh_watertight,mesh_body_count,normal_entropy,dihedral_q90_deg,sharp_edge_rate_15deg,sharp_edge_rate_30deg,error
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb120_support\meshes\irb120_3_58\visual\link_3.stl,4930.0,2499.0,0.19083946532832652,0.3290269698587533,False,16.0,0.8008596087605153,70.84678063597396,0.2596752368064953,0.1358592692828146,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb120_support\meshes\irb120_3_58\visual\link_4.stl,6300.0,3190.0,0.17961585565144406,0.2544042057041487,True,38.0,0.6779163346899268,90.0,0.3558730158730159,0.2722751322751323,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb120_support\meshes\irb120_3_58\visual\link_5.stl,5550.0,2785.0,0.06627665230077262,0.17028673885233003,True,7.0,0.7374849654967703,89.81327428682532,0.33981981981981985,0.2611411411411411,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb120_support\meshes\irb120_3_58\visual\link_6.stl,898.0,451.0,0.005103366991095385,0.057948998515234496,True,1.0,0.6688873098442079,58.24975763768415,0.37564959168522644,0.3266518188567186,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\meshes\irb1200_5_90\visual\base_link.dae,14286.0,7133.0,0.31332824336238035,0.4572554806484577,True,4.0,0.7724341838151803,46.60449021089193,0.29632740678519764,0.12273087871575902,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\meshes\irb1200_5_90\visual\link_1.dae,18160.0,9103.0,0.2888369223349944,0.452550768007018,False,11.0,0.7698461158174706,46.69110316318067,0.24583302738820764,0.12970849548424995,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\meshes\irb1200_5_90\visual\link_2.dae,20097.0,10073.0,0.36687886266560765,0.6605862150849732,False,11.0,0.7645715240736757,43.99259609155234,0.2566859114738868,0.11586701174596854,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\meshes\irb1200_5_90\visual\link_3.dae,10354.0,5226.0,0.2664983670013171,0.4351174495504577,False,24.0,0.74297508105284,61.12476168049918,0.2556865777434113,0.13409369160384046,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\meshes\irb1200_5_90\visual\link_4.dae,17724.0,11948.0,0.12755292812549224,0.2808786632415866,False,414.0,0.7389883259527154,19.176846277107906,0.19313935424276776,0.004408615694671873,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\meshes\irb1200_5_90\visual\link_5.dae,11262.0,5633.0,0.045361037532236456,0.17688428710782353,True,1.0,0.7269839375803917,42.80172077103002,0.2849109098443142,0.12206239270703842,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\meshes\irb1200_5_90\visual\link_6.dae,960.0,470.0,0.0029518660523415686,0.05677319601545061,True,1.0,0.6367028373599936,90.0,0.3611111111111111,0.26875,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\meshes\irb1200_7_70\visual\link_2.dae,10617.0,5312.0,0.36818697679427326,0.574958697269115,False,1.0,0.7664824459370145,82.94258196877436,0.2503454339907047,0.14715488004019595,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\meshes\irb1200_7_70\visual\link_3.dae,5909.0,2960.0,0.20365630851682492,0.3930702044708692,False,2.0,0.81156507375344,89.99690080033575,0.29751693002257334,0.20045146726862303,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\meshes\irb140\visual\base_link.stl,1568.0,786.0,6.403795344084024,2.559565220117272,True,1.0,0.6703063233357945,90.0,0.4379251700680272,0.3754251700680272,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\meshes\irb140\visual\link_1.stl,2166.0,1085.0,9.51113090382633,2.3800242526219018,True,1.0,0.7703630134288612,90.0,0.4752231455832564,0.36903662665435516,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\meshes\irb140\visual\link_2.stl,1100.0,552.0,5.111347290920866,2.405181027167652,True,1.0,0.695686805233669,90.0,0.4612121212121212,0.2690909090909091,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\meshes\irb140\visual\link_3.stl,2612.0,1308.0,4.242931551498654,1.8403102775471243,True,1.0,0.7086502807830989,90.0,0.43542623787646756,0.3785094435936702,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\meshes\irb140\visual\link_4.stl,8420.0,4208.0,2.3223200587244355,1.099079591956452,True,2.0,0.8604712818664486,84.2837464382175,0.2649247822644497,0.211243072050673,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\meshes\irb140\visual\link_5.stl,2244.0,1125.0,0.36025151269982536,0.4870259317224674,False,1.0,0.7169667962599718,75.17581324352884,0.2969678953626635,0.20392390011890607,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\meshes\irb140\visual\link_6.stl,1542.0,763.0,0.13361387316647375,0.3247925190189192,True,1.0,0.7965032410741606,76.89901596307077,0.43233895373973197,0.26848249027237353,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb1600_support\meshes\irb1600\visual\base_link.stl,1472.0,736.0,0.8484270270794747,0.835903972138574,False,1.0,0.595396325787114,90.0,0.39954545454545454,0.35863636363636364,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb1600_support\meshes\irb1600\visual\link_1.stl,6345.0,3340.0,1.016421901211671,0.8598935630365937,False,1.0,0.7929068749623989,90.0,0.3458938268868447,0.31996010196165353,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb1600_support\meshes\irb1600\visual\link_3.stl,,,,,,,,,,,ModuleNotFoundError: No module named 'networkx'
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb1600_support\meshes\irb1600\visual\link_4.stl,2916.0,1622.0,0.15311999368145515,0.3800876423680601,False,1.0,0.7987187466543558,60.00028351039208,0.2655163533350502,0.14808138037599794,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb1600_support\meshes\irb1600\visual\link_5.stl,1096.0,624.0,0.02789666490378103,0.1276724498355808,False,1.0,0.6988195917150255,95.28624689615671,0.33379310344827584,0.33379310344827584,
D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb1600_support\meshes\irb1600\visual\link_6.stl,1260.0,726.0,0.00878870562879998,0.09603675123795335,False,1.0,0.7067515945297712,90.23123043079451,0.33160285528877353,0.3303049967553537,
