joint_id,condition,sample_index,q_rad,q_deg,exact_common_volume_mm3,minimum_clearance_mm,collision_free,collision_class
J03,M0,5,0.28579766501407144,16.375,3537.557816659806,0.0,False,MOTION_INDUCED_COLLISION
J03,M0,6,0.7723081940074912,44.25000000000002,3537.557816659806,0.0,False,MOTION_INDUCED_COLLISION
J03,M0,7,1.2588187230009105,72.12500000000001,3537.557816659807,0.0,False,MOTION_INDUCED_COLLISION
J03,M0,8,1.7453292519943298,100.00000000000001,3537.557816659807,0.0,False,MOTION_INDUCED_COLLISION
J03,M1,0,-2.1467549799530254,-123.00000000000001,4082.880705924231,0.0,False,MOTION_INDUCED_COLLISION
J03,M1,1,-1.6602444509596062,-95.12500000000001,0.0,0.9999999999999991,True,NONE
J03,M1,2,-1.1737339219661866,-67.25,0.0,1.0,True,NONE
J03,M1,3,-0.6872233929727671,-39.37499999999999,0.0,1.0,True,NONE
J03,M1,4,-0.20071286397934784,-11.499999999999996,0.0,1.0,True,NONE
J03,M1,5,0.28579766501407144,16.375,0.0,1.0,True,NONE
J03,M1,6,0.7723081940074912,44.25000000000002,0.0,1.0,True,NONE
J03,M1,7,1.2588187230009105,72.12500000000001,0.0,1.0,True,NONE
J03,M1,8,1.7453292519943298,100.00000000000001,0.0,0.30764889420391084,True,NONE
J03,M2,0,-2.1467549799530254,-123.00000000000001,0.0,0.9999999999999991,True,NONE
J03,M2,1,-1.6602444509596062,-95.12500000000001,0.0,0.9999999999999991,True,NONE
J03,M2,2,-1.1737339219661866,-67.25,0.0,1.0,True,NONE
J03,M2,3,-0.6872233929727671,-39.37499999999999,0.0,1.0,True,NONE
J03,M2,4,-0.20071286397934784,-11.499999999999996,0.0,1.0,True,NONE
J03,M2,5,0.28579766501407144,16.375,0.0,1.0,True,NONE
J03,M2,6,0.7723081940074912,44.25000000000002,0.0,1.0,True,NONE
J03,M2,7,1.2588187230009105,72.12500000000001,0.0,1.0,True,NONE
J03,M2,8,1.7453292519943298,100.00000000000001,0.0,1.0,True,NONE
