candidate_id,visual_loss_c1,feasible,maximum_forbidden_intersection_mm3,mutable_added_volume_mm3,violating_component_count,runtime_seconds,kfde_raw_path
candidate_000,0.059748590016398394,False,281.97125917524625,7578.619146983862,8,0.9812985999742523,experiments/try6/artifacts/try6_0_c2/replay/candidate_000_check.json
candidate_001,0.0309425517799014,False,748.7467901607162,13430.628735568456,7,0.9595164000056684,experiments/try6/artifacts/try6_0_c2/replay/candidate_001_check.json
candidate_002,0.10275652992371453,False,199.6295031509543,6693.629358819903,10,0.8925760999554768,experiments/try6/artifacts/try6_0_c2/replay/candidate_002_check.json
candidate_003,0.07425199910274494,False,421.46667352775,9316.09581860828,8,1.0522239000420086,experiments/try6/artifacts/try6_0_c2/replay/candidate_003_check.json
candidate_004,0.07339083906283986,False,747.2485545940639,16270.389145808873,8,1.0605316999717616,experiments/try6/artifacts/try6_0_c2/replay/candidate_004_check.json
candidate_005,0.06892268727120587,False,756.6014297702396,17055.143416319304,8,0.9958448000252247,experiments/try6/artifacts/try6_0_c2/replay/candidate_005_check.json
candidate_006,0.0839555901018696,False,201.25832530945425,10836.346189285487,10,1.0864767999737523,experiments/try6/artifacts/try6_0_c2/replay/candidate_006_check.json
candidate_007,0.07528303101622894,False,142.21303162491824,2854.186437814057,7,0.8484655999927782,experiments/try6/artifacts/try6_0_c2/replay/candidate_007_check.json
candidate_008,0.06973726421619111,False,568.8540596599088,23237.90680191594,10,1.1668781000189483,experiments/try6/artifacts/try6_0_c2/replay/candidate_008_check.json
candidate_009,0.06765481282108479,False,353.53055008332717,12296.457456138756,8,1.1113175000064075,experiments/try6/artifacts/try6_0_c2/replay/candidate_009_check.json
candidate_010,0.07814451475610765,False,506.3096210438293,10551.441173384786,9,0.9548887999844737,experiments/try6/artifacts/try6_0_c2/replay/candidate_010_check.json
candidate_011,0.04809574177347316,False,402.31551605265975,7732.458236040079,7,1.023338099999819,experiments/try6/artifacts/try6_0_c2/replay/candidate_011_check.json
candidate_012,0.08662597621592782,False,603.6765131998416,19700.22460223884,10,1.1082848999649286,experiments/try6/artifacts/try6_0_c2/replay/candidate_012_check.json
candidate_013,0.045670482410051096,False,440.5062744391287,7294.372713128337,7,1.015635600022506,experiments/try6/artifacts/try6_0_c2/replay/candidate_013_check.json
candidate_014,0.08978274967029243,False,517.0761740479501,15094.33514336062,10,1.1484450999996625,experiments/try6/artifacts/try6_0_c2/replay/candidate_014_check.json
candidate_015,0.07521329629451284,False,276.0039306389015,4987.9378739667845,8,0.8278845999739133,experiments/try6/artifacts/try6_0_c2/replay/candidate_015_check.json
candidate_016,0.08967847374193924,False,366.65838792557963,13422.691288955411,10,1.1336417000275105,experiments/try6/artifacts/try6_0_c2/replay/candidate_016_check.json
candidate_017,0.02819544870010777,False,750.1952019673544,14189.139124856989,7,0.9653366999700665,experiments/try6/artifacts/try6_0_c2/replay/candidate_017_check.json
candidate_018,0.03597306564663058,False,750.1949908299954,15752.371956264862,7,1.0024349000304937,experiments/try6/artifacts/try6_0_c2/replay/candidate_018_check.json
candidate_019,0.027685559138657626,False,750.6996186595264,14068.727956617367,7,0.9649569999892265,experiments/try6/artifacts/try6_0_c2/replay/candidate_019_check.json
candidate_020,0.02765765129385482,False,750.9230735345271,14039.793102368883,7,0.948009500047192,experiments/try6/artifacts/try6_0_c2/replay/candidate_020_check.json
candidate_021,0.028817299876985218,False,773.0830015598573,14345.017349921714,7,0.9271153000299819,experiments/try6/artifacts/try6_0_c2/replay/candidate_021_check.json
candidate_022,0.028025356053595935,False,750.9230788873523,14120.331377446539,7,0.9674024999840185,experiments/try6/artifacts/try6_0_c2/replay/candidate_022_check.json
candidate_023,0.028712385547292003,False,750.3894235557934,13774.313706447916,7,0.9609344000346027,experiments/try6/artifacts/try6_0_c2/replay/candidate_023_check.json
candidate_024,0.025890112866746688,False,750.9230818889858,13656.621611759234,7,0.9627744000172243,experiments/try6/artifacts/try6_0_c2/replay/candidate_024_check.json
candidate_025,0.026729501769699338,False,750.2026128756138,13841.300301784504,7,0.9699229999678209,experiments/try6/artifacts/try6_0_c2/replay/candidate_025_check.json
candidate_026,0.02639938870766456,False,750.3317612718454,13737.913876532522,7,0.9554953000042588,experiments/try6/artifacts/try6_0_c2/replay/candidate_026_check.json
candidate_027,0.02570089939031997,False,732.2507372013652,13444.52273879886,7,0.9521511999773793,experiments/try6/artifacts/try6_0_c2/replay/candidate_027_check.json
candidate_028,0.023601125324516973,False,726.8975163453279,12958.532838843894,7,0.9888402000069618,experiments/try6/artifacts/try6_0_c2/replay/candidate_028_check.json
candidate_029,0.023157994629839793,False,727.5839874167202,13203.263053197701,7,1.0034363999729976,experiments/try6/artifacts/try6_0_c2/replay/candidate_029_check.json
candidate_030,0.030356876644049905,False,727.9182045836164,14829.552558242192,7,1.0009623999940231,experiments/try6/artifacts/try6_0_c2/replay/candidate_030_check.json
candidate_031,0.02304838670527038,False,727.9707898709378,13154.148181032444,7,1.0083282999694347,experiments/try6/artifacts/try6_0_c2/replay/candidate_031_check.json
