condition,link_id,status,returncode,elapsed_seconds,operations,fallbacks,error
C1,L00,SUCCESS,0,5.57,4,0,
C1,L01,SUCCESS,0,5.015,5,0,
C1,L02,SUCCESS,0,4.989,6,0,
C1,L03,SUCCESS,0,4.925,5,0,
C1,L04,SUCCESS,0,4.922,5,0,
C1,L05,SUCCESS,0,4.934,8,0,
C1,L06,SUCCESS,0,4.842,2,0,
C1,L07,SUCCESS,0,4.963,5,0,
C1,L08,SUCCESS,0,5.086,12,0,
C1,L09,SUCCESS,0,4.907,2,0,
C1,L10,SUCCESS,0,4.922,2,0,
C1,L11,SUCCESS,0,4.988,2,0,
