level,condition,link_id,voxel_iou,normalized_chamfer,normalized_hd95,silhouette_iou_mean,bbox_error_mm
link,C0,L00,0.4657846715328467,0.053963072415133526,0.26886917076552425,0.6237109901182493,65.87256149204761
link,C1,L00,0.4250814332247557,0.05737702917706375,0.35423565142153246,0.5263675542578458,104.30265185165891
link,C2,L00,0.4250814332247557,0.059161890434056494,0.3551535399913823,0.5263675542578458,104.30265185165891
link,C0,L01,0.16172919288459575,0.13007883716529994,0.48251479966347877,0.3287555444587369,56.47483924246167
link,C1,L01,0.3256517205422315,0.07056140916840352,0.24908021534270688,0.5743634278598312,26.02070219785793
link,C2,L01,0.32747377374539266,0.07299243725428849,0.2756777852466817,0.5664070492281567,27.880513582659972
link,C0,L02,0.12855659397715472,0.07655189826953394,0.22543883938590153,0.4667638019360037,25.46285593578658
link,C1,L02,0.11448781765784648,0.0745383902962802,0.22936171038001768,0.5314153679916938,17.260345663010977
link,C2,L02,0.12260046071154339,0.07394779279162235,0.23166087123462517,0.5355755828604595,17.673625332868802
link,C0,L03,0.4106090373280943,0.05080121314628257,0.1370428102626955,0.5921506171258194,25.529135566652684
link,C1,L03,0.36649514008004574,0.05748837444470259,0.13632795388589278,0.5565860511643644,30.31269280436972
link,C2,L03,0.36649514008004574,0.056580282997517155,0.1333039866758333,0.5565860511643644,30.31269280436972
link,C0,L04,0.33856345885634587,0.09539662738114171,0.23026449782341885,0.5471654725182515,21.812157370696994
link,C1,L04,0.19885108263367213,0.09273760059586175,0.24208648368776065,0.3553852972548966,31.998434259438877
link,C2,L04,0.19885108263367213,0.09327432986865151,0.24208754525195156,0.3553852972548966,31.998434259438877
link,C0,L06,0.19399818126705062,0.08332266714096477,0.23743788054722095,0.34821882150147915,25.95941186253212
link,C1,L06,0.1947819871336669,0.07627510304142342,0.26462503024586737,0.26393569972297537,26.86845751602885
link,C2,L06,0.1947819871336669,0.07651756187392317,0.26336607630089914,0.26393569972297537,26.86845751602885
link,C0,L07,0.13789107763615296,0.10292278538390473,0.32797739050537017,0.25906153810004934,88.41357097693657
link,C1,L07,0.11545293072824156,0.0908487146763123,0.3328888120136782,0.26593365713570316,84.66970847294681
link,C2,L07,0.13113869400971398,0.08880499514731109,0.3314751937534713,0.26352697928474716,83.4083900629535
link,C0,L09,0.16283783783783784,0.06887824258324032,0.187919608662895,0.38367200321740064,17.954739917144362
link,C1,L09,0.09192417553882108,0.07410500404976099,0.17636898489437805,0.3141961397929015,18.82584311049465
link,C2,L09,0.09668508287292818,0.07286772692881122,0.17385002961173548,0.3228604853528119,18.51896666392711
link,C0,L10,0.16283783783783784,0.06879880105399264,0.19492201981079768,0.38367200321740064,17.95473991714436
link,C1,L10,0.09192417553882108,0.07433281594043539,0.1769939197765886,0.3141961397929015,18.825843110494645
link,C2,L10,0.09668508287292818,0.07450523712314695,0.18648896577310226,0.3228604853528119,18.518966663927106
whole_robot,C0,ALL,0.5075187969924813,0.021179747529661834,0.10464077209246056,0.695538940931668,55.922291857402854
whole_robot,C1,ALL,0.4173387096774194,0.02097274621104904,0.13697962097740485,0.576762788196545,83.40755588528955
whole_robot,C2,ALL,0.417910447761194,0.02081671688176447,0.13082635913252202,0.5771045738900794,82.20231371612103
