version,case_id,link_id,role,status,errors
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,SUCCESS,
R1,dev_arm-dcc2b0ce1e,L4,forearm,SUCCESS,
R1,dev_arm-ab15a75247,L0,base_or_shoulder,SUCCESS,
R1,dev_arm-ab15a75247,L2,main_link,IR_INCOMPLETE,source executable_cad_ir_v1_2.json missing
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,SUCCESS,
R2,dev_arm-dcc2b0ce1e,L4,forearm,IR_INCOMPLETE,source executable_cad_ir_v1_2.json missing
R2,dev_arm-ab15a75247,L0,base_or_shoulder,IR_INCOMPLETE,source executable_cad_ir_v1_2.json missing
R2,dev_arm-ab15a75247,L2,main_link,SUCCESS,
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,
