version,links_total,success_links,ir_incomplete_links,failure_links,operation_count,native_success_count,fallback_count,fcstd_success,step_success,stl_success
R1,6,5,1,0,50,50,0,5,5,5
R2,6,4,2,0,44,44,0,4,4,4
