part_id,accepted_round,final_state,voxel_iou_t1,voxel_iou_t2,voxel_iou_delta,normalized_chamfer_t1,normalized_chamfer_t2,normalized_chamfer_delta,normalized_hd95_t1,normalized_hd95_t2,normalized_hd95_delta,silhouette_iou_mean_t1,silhouette_iou_mean_t2,silhouette_iou_mean_delta
R01_P00,2,UNRESOLVED,0.2975834429955736,0.3382752376641014,0.04069179466852779,0.066020213829465,0.04008958535184792,-0.025930628477617082,0.3328261669023392,0.12521095593518272,-0.20761521096715646,0.5238320626458615,0.6613318030693405,0.137499740423479
R01_P01,3,UNRESOLVED,0.3261749691955641,0.52209644906187,0.19592147986630593,0.1042832064687966,0.047433125261511694,-0.05685008120728491,0.2679322448178062,0.18975708739541622,-0.07817515742238998,0.4743413837104526,0.617486862887478,0.14314547917702541
R01_P02,3,UNRESOLVED,0.1796791850387714,0.3387250937431071,0.15904590870433571,0.0615160053008761,0.038204651970712246,-0.023311353330163855,0.1745644916557429,0.10624395650011526,-0.06832053515562764,0.3605990773748628,0.42788636886072157,0.06728729148585877
R01_P03,3,UNRESOLVED,0.141110039157823,0.27672713238131996,0.13561709322349697,0.0650595027882903,0.047965098942923064,-0.017094403845367236,0.2000242185068042,0.17988321762677625,-0.02014100088002796,0.3902778169523485,0.5889825257608065,0.19870470880845797
R01_P04,0,UNRESOLVED,0.2524008350730689,0.2524008350730689,0.0,0.0591419144698961,0.0591419144698961,0.0,0.1996386733153699,0.1996386733153699,0.0,0.3888333287978054,0.3888333287978054,0.0
R02_P00,3,UNRESOLVED,0.3010744130521289,0.3211741016109046,0.020099688558775697,0.0440478346482099,0.038643355717321026,-0.005404478930888877,0.1824750893837554,0.1434138294848737,-0.039061259898881706,0.5479191258169109,0.5959334838335905,0.048014358016679526
R02_P01,1,FROZEN,0.3195205614477782,0.357168578630588,0.0376480171828098,0.0564654770297799,0.03424124732924568,-0.02222422970053422,0.1886293367981268,0.08761145921832707,-0.10101787757979973,0.6164543679955329,0.5966863286124164,-0.019768039383116442
R02_P02,1,FROZEN,0.3113936674146098,0.4137014616861066,0.10230779427149683,0.030437186298285,0.02337896740743718,-0.007058218890847817,0.1061373425576687,0.06994207139826109,-0.03619527115940761,0.5539148422609216,0.653675876150694,0.09976103388977242
R02_P03,0,UNRESOLVED,0.1348549265309166,0.1348549265309166,0.0,0.0870890682456865,0.0870890682456865,0.0,0.2394021880578197,0.2394021880578197,0.0,0.3385843937855879,0.3385843937855879,0.0
R02_P04,1,FROZEN,0.1929441563140755,0.5257428077346329,0.3327986514205574,0.1242590551760438,0.03186544083627711,-0.09239361433976669,0.5118696150062572,0.09246111953115947,-0.4194084954750977,0.3071543203724047,0.7279287203731294,0.4207744000007247
R02_P05,3,UNRESOLVED,0.0923632318049201,0.3356858778362721,0.24332264603135195,0.1922535939627179,0.068570561802733,-0.12368303215998491,0.5873722280035485,0.20474605264325335,-0.38262617536029514,0.1894655905747877,0.4785674745155133,0.28910188394072556
R02_P06,3,UNRESOLVED,0.1358403048123913,0.20341924288193328,0.06757893806954199,0.0654695279684679,0.05196465921102015,-0.013504868757447754,0.1944003763901025,0.168930209583372,-0.025470166806730504,0.4156256615140983,0.4607066345260762,0.04508097301197789
