part_id,robot_id,condition,alignment,gt_bbox_diagonal_mm,voxel_pitch_mm,voxel_iou,chamfer_mm,normalized_chamfer,hd95_mm,normalized_hd95,bbox_error_x_mm,bbox_error_y_mm,bbox_error_z_mm,centroid_error_mm,silhouette_iou_front,silhouette_iou_side,silhouette_iou_top,silhouette_iou_mean,mfr_trace,mechanical_feature_precision_trace,critical_feature_recall_trace,feature_requirements,features_realized_trace,cad_valid,editability_pass,gate_status,failed_criteria
R02_P02,R02,A0,rigid_shape_only_no_scale,352.5552374481626,5.50867558512754,0.31139366741460983,10.730789442645843,0.03043718629828504,37.419276007535885,0.10613734255766877,15.205084793899474,2.5063310595246975,24.837382865478048,8.828785566070255,0.679068493150685,0.5970950928044749,0.3855809408276048,0.5539148422609216,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,iou
R02_P02,R02,A1,rigid_shape_only_no_scale,352.5552374481626,5.50867558512754,0.39958530805687204,9.049245238792977,0.025667595535645727,33.66173867694018,0.09547933231849827,9.547845451628405,4.488370823308543,13.335227681578317,11.099482808862597,0.5721236933505596,0.5315321022457319,0.6865237660402749,0.5967265205455221,1.0,1.0,1.0,3,3,True,True,PASS,
R02_P02,R02,A2,rigid_shape_only_no_scale,352.5552374481626,5.50867558512754,0.4037071944706252,8.815597620255387,0.025004869262654408,47.570745957450136,0.1349313267951228,6.656841481675102,43.92699014881623,11.291251661164097,20.769510741602428,0.49198061031947427,0.6296098343132015,0.6496132699655205,0.5904012381993988,1.0,1.0,1.0,3,3,True,True,PASS,
R02_P04,R02,A0,rigid_shape_only_no_scale,146.40451581307534,2.287570559579302,0.1929441563140755,18.192086808438916,0.12425905517604387,74.94002314441636,0.5118696150062572,80.64474878294317,154.03776822403916,42.46767670629879,4.315795420920561,0.3426643842513342,0.2800482918976927,0.2987502849681872,0.3071543203724047,1.0,1.0,1.0,4,4,True,True,LOCAL_REPAIR,iou;normalized_chamfer;normalized_hd95
R02_P04,R02,A1,rigid_shape_only_no_scale,146.40451581307534,2.287570559579302,0.3587579084644802,10.129575421693595,0.069188954763026,29.540995675158957,0.20177653340198856,48.49965333061971,59.14233083674594,31.480130922303204,5.372887892587867,0.4112497973739666,0.3921281481079713,0.520740009617088,0.44137265169967527,1.0,1.0,1.0,4,4,True,True,LOCAL_REPAIR,normalized_hd95
R02_P04,R02,A2,rigid_shape_only_no_scale,146.40451581307534,2.287570559579302,0.23377300527042644,11.720793484435003,0.08005759535040397,31.03926769751813,0.21201031624699396,53.016571720470424,70.71124419289791,54.35601734012147,6.759858479488516,0.4646498715720105,0.3059334845049131,0.3023804459226887,0.35765460066653737,1.0,1.0,1.0,4,4,True,True,LOCAL_REPAIR,iou;normalized_chamfer;normalized_hd95
R02_P05,R02,A0,rigid_shape_only_no_scale,108.37005458009209,1.6932821028139389,0.09236323180492013,20.834532470958603,0.1922535939627179,63.653560407574844,0.5873722280035485,88.39675988202708,132.23995481688166,63.22756508285471,9.81975330229954,0.15292859768117878,0.183830629586713,0.2316375444564713,0.1894655905747877,1.0,1.0,1.0,3,3,True,True,REPLAN,iou;normalized_chamfer;normalized_hd95
R02_P05,R02,A1,rigid_shape_only_no_scale,108.37005458009209,1.6932821028139389,0.1791669149633514,14.059897591300977,0.1297396928125551,39.64154242550992,0.36579793725408155,59.42642117536616,89.97808024249855,39.41355201473857,9.05284336218205,0.2184537535229311,0.27506487379098843,0.3488504414894738,0.2807896896011311,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,iou;normalized_chamfer;normalized_hd95
R02_P05,R02,A2,rigid_shape_only_no_scale,108.37005458009209,1.6932821028139389,0.28382797933795884,5.568085475692827,0.05138029594307966,19.174160922882376,0.17693228075945555,0.5249613737699477,11.530729251929245,6.601274093558459,2.23462828201713,0.3740097758301028,0.6569380680221119,0.7988276228510703,0.6099251555677617,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,iou
R02_P06,R02,A0,rigid_shape_only_no_scale,214.77659002565298,3.355884219150828,0.1358403048123913,14.061321967656667,0.06546952796846797,41.75264994076968,0.19440037639010252,28.59040607523282,88.76970617676511,36.133628368255756,13.003913966270012,0.27701292246520876,0.4836407578832167,0.48622330419386967,0.41562566151409835,1.0,1.0,1.0,3,3,True,True,REPLAN,iou;normalized_hd95
R02_P06,R02,A1,rigid_shape_only_no_scale,214.77659002565298,3.355884219150828,0.173252482174985,11.643922121545781,0.05421411206945332,38.964844987392205,0.18142035397218212,79.32073940715517,0.41760600734556874,25.411232830956465,12.759505874005482,0.2997796704922885,0.3766123674021124,0.42382024475602414,0.36673742755014166,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,iou;normalized_hd95
R02_P06,R02,A2,rigid_shape_only_no_scale,214.77659002565298,3.355884219150828,0.151967050134924,13.126184813174786,0.06111552852015665,51.11901879142814,0.2380101983429501,58.1287862349613,12.361839214164775,20.67907223657147,15.830930090345475,0.32653804149981797,0.43823686744409973,0.4211429871553561,0.3953059653664246,1.0,1.0,1.0,3,3,True,True,LOCAL_REPAIR,iou;normalized_hd95
