case_id,version,joint_id,gt_joint_name,sampled_gt,sampled_pred,local_chamfer,local_hd95,parent_surface_distance,child_surface_distance,interface_gap,disconnected
dev_arm-ab15a75247,V0,J0,j1,549,549,0.0006074708225071112,0.05063499567075635,0.052908104819106044,0.053704276571474904,0.10661238139058095,0
dev_arm-ab15a75247,V0,J1,j2,565,552,0.000583763416697393,0.04995504017510415,0.05161318221302324,0.013821999119941924,0.06543518133296516,0
dev_arm-ab15a75247,V0,J2,j3,392,401,0.0017445693008583155,0.08726436404334578,0.3339073019674271,0.027719821633956455,0.36162712360138355,1
dev_arm-ab15a75247,V0,J3,j4,455,43,0.006800550671217709,0.13639176852324147,0.41240194426488214,0.06558379907005112,0.47798574333493327,1
dev_arm-ab15a75247,V1,J0,j1,549,506,0.0008468537136698553,0.06268684172146774,0.010780526601987436,0.021157682440546496,0.03193820904253393,0
dev_arm-ab15a75247,V1,J1,j2,565,547,0.0007790056787575234,0.05959676418884655,0.01628546230232291,0.010893254910786222,0.027178717213109133,0
dev_arm-ab15a75247,V1,J2,j3,392,414,0.0008079736763276181,0.055460624372095556,0.015285523566211113,0.042463543391655666,0.05774906695786678,0
dev_arm-ab15a75247,V1,J3,j4,455,295,0.00021970096980192206,0.0271291130698624,0.026743245770211126,0.115450524465941,0.14219377023615212,1
dev_arm-ab15a75247,V2,J0,j1,549,584,0.0005778096452303712,0.050853730226353255,0.015631694646933696,0.008698450559351773,0.02433014520628547,0
dev_arm-ab15a75247,V2,J1,j2,565,654,0.0005305564600835001,0.045062146667484794,0.006549005103186589,0.005907650890810589,0.012456655993997177,0
dev_arm-ab15a75247,V2,J2,j3,392,364,0.0008031605562995531,0.055487570093276546,0.012969277798112364,0.029011606944580028,0.04198088474269239,0
dev_arm-ab15a75247,V2,J3,j4,455,268,0.00022455029085663534,0.03391808618663148,0.020559372238054912,0.08956821189957272,0.11012758413762763,1
dev_arm-4c7b408826,V0,J0,joint_1,109,264,0.0028932645744512934,0.09278420208613447,0.11912919722906645,0.03661010540211617,0.15573930263118263,1
dev_arm-4c7b408826,V0,J1,joint_2,224,407,0.0013845070526463795,0.06656495292903525,0.14053782113744895,0.0073779320589416365,0.14791575319639058,1
dev_arm-4c7b408826,V0,J2,joint_3,184,204,0.003494742694013712,0.11558758483692443,0.1331768508784363,0.10276740057135099,0.2359442514497873,1
dev_arm-4c7b408826,V0,J3,joint_4,219,153,0.004504346232759716,0.1299558493276126,0.1589165464393762,0.05069862874630552,0.2096151751856817,1
dev_arm-4c7b408826,V0,J4,joint_5,388,60,0.005113948543712758,0.13080684509399138,0.41631851308947826,0.11293177757102903,0.5292502906605073,1
dev_arm-4c7b408826,V0,J5,joint_6,221,0,,,0.17674038409633533,0.12682810134696193,0.3035684854432973,1
dev_arm-4c7b408826,V0,J6,base_link-base,109,264,0.0028932645744512934,0.09278420208613447,0.11868362158374963,0.09644169013978705,0.2151253117235367,1
dev_arm-4c7b408826,V0,J7,joint_6-flange,221,0,,,0.12691490793320256,0.1269493977334184,0.253864305666621,1
dev_arm-4c7b408826,V0,J8,link_6-tool0,221,0,,,0.12707464032486587,0.1301721575508598,0.2572467978757257,1
dev_arm-4c7b408826,V1,J0,joint_1,109,453,0.0010801348159651823,0.06539041832532601,0.04042523086593912,0.014907949660625332,0.055333180526564454,0
dev_arm-4c7b408826,V1,J1,joint_2,224,94,0.004717583599965357,0.11809241389797086,0.07260518761447095,0.05726337028516353,0.12986855789963447,0
dev_arm-4c7b408826,V1,J2,joint_3,184,221,0.00388107591250093,0.09690358834913791,0.06092858428925838,0.07063034950160148,0.13155893379085987,0
dev_arm-4c7b408826,V1,J3,joint_4,219,387,0.0015521188983223682,0.07579385746401325,0.06391685795200236,0.014092648563437043,0.0780095065154394,0
dev_arm-4c7b408826,V1,J4,joint_5,388,452,0.0013230014190070403,0.0699920240271097,0.05139983625987293,0.01876578823089473,0.07016562449076766,0
dev_arm-4c7b408826,V1,J5,joint_6,221,234,0.0010881200716495116,0.06807564714956227,0.05855895054150063,0.05511677977882945,0.11367573032033007,0
dev_arm-4c7b408826,V1,J6,base_link-base,109,453,0.0010801348159651823,0.06539041832532601,0.03949670317970486,0.07030815553816425,0.1098048587178691,0
dev_arm-4c7b408826,V1,J7,joint_6-flange,221,234,0.0010881200716495116,0.06807564714956227,0.055703376652031074,0.05126176629622269,0.10696514294825377,0
dev_arm-4c7b408826,V1,J8,link_6-tool0,221,234,0.0010881200716495116,0.06807564714956227,0.05169028836092961,0.02598012954881313,0.07767041790974274,0
dev_arm-4c7b408826,V2,J0,joint_1,109,431,0.0009552082203006968,0.06382671615704871,0.031705512277135764,0.0222594437121642,0.05396495598929996,0
dev_arm-4c7b408826,V2,J1,joint_2,224,122,0.004132017289416182,0.11107801057640673,0.06545235874309134,0.0494383103662739,0.11489066910936524,0
dev_arm-4c7b408826,V2,J2,joint_3,184,196,0.0038390941877682752,0.0975107426461022,0.05480955753614169,0.06004839145498881,0.1148579489911305,0
dev_arm-4c7b408826,V2,J3,joint_4,219,356,0.001476307131037169,0.07631623326979317,0.054114773264541144,0.01069821928560952,0.06481299255015066,0
dev_arm-4c7b408826,V2,J4,joint_5,388,540,0.001033328860065769,0.06108476002614682,0.04882310162003274,0.013213041591446876,0.062036143211479614,0
dev_arm-4c7b408826,V2,J5,joint_6,221,227,0.0008634384359921387,0.05971417742849132,0.059211101840203735,0.055849072041046575,0.11506017388125031,0
dev_arm-4c7b408826,V2,J6,base_link-base,109,431,0.0009552082203006968,0.06382671615704871,0.03471506474957984,0.05823460288360296,0.0929496676331828,0
dev_arm-4c7b408826,V2,J7,joint_6-flange,221,227,0.0008634384359921387,0.05971417742849132,0.05606193171183407,0.05082846897681488,0.10689040068864895,0
dev_arm-4c7b408826,V2,J8,link_6-tool0,221,227,0.0008634384359921387,0.05971417742849132,0.05035844255101213,0.024862311801042494,0.07522075435205462,0
dev_arm-dcc2b0ce1e,V0,J0,joint_a1,739,237,0.001334365099988884,0.09643310651161723,0.1271859082478717,0.11604758590870996,0.2432334941565817,1
dev_arm-dcc2b0ce1e,V0,J1,joint_a2,780,252,0.0013885314113996645,0.09743386204316946,0.11716943316246584,0.02828706977836112,0.14545650294082696,1
dev_arm-dcc2b0ce1e,V0,J2,joint_a3,628,402,0.0008778637801091457,0.060727619228506724,0.340144115413562,0.09312867048369439,0.4332727858972564,1
dev_arm-dcc2b0ce1e,V0,J3,joint_a4,620,380,0.0008935269379679828,0.06172016187748932,0.11543236332017154,0.017343381942635707,0.13277574526280725,1
dev_arm-dcc2b0ce1e,V0,J4,joint_a5,237,99,0.003837017632843113,0.0986861862346283,0.3212422041478833,0.0685045264576782,0.3897467306055615,1
dev_arm-dcc2b0ce1e,V0,J5,joint_a6,178,30,0.004523667120391736,0.1025327609260871,0.09919641714702979,0.08229256017038981,0.1814889773174196,1
dev_arm-dcc2b0ce1e,V0,J6,joint_a6-flange,178,30,0.004523667120391736,0.1025327609260871,0.08279818117026813,0.08259712644895671,0.16539530761922483,1
dev_arm-dcc2b0ce1e,V0,J7,base_link-base,240,281,0.0013664800290870973,0.0641927633473856,0.007920649482981077,0.10215376855152428,0.11007441803450535,1
dev_arm-dcc2b0ce1e,V0,J8,flange-tool0,178,30,0.004523667120391736,0.1025327609260871,0.08253403637714546,0.11653679324556455,0.19907082962271,1
dev_arm-dcc2b0ce1e,V1,J0,joint_a1,739,678,0.0004507167132843774,0.04500855790915179,0.017239513348384552,0.003466977518966237,0.02070649086735079,0
dev_arm-dcc2b0ce1e,V1,J1,joint_a2,780,609,0.00038441720396516807,0.0435610149249017,0.011134803491520615,0.017876979993329812,0.029011783484850426,0
dev_arm-dcc2b0ce1e,V1,J2,joint_a3,628,482,0.0004267352962872712,0.04521802111406994,0.009011203346134313,0.008733062425108747,0.017744265771243058,0
dev_arm-dcc2b0ce1e,V1,J3,joint_a4,620,487,0.0004262067165511259,0.0452247947299658,0.012887494199697959,0.030723283298250387,0.043610777497948346,0
dev_arm-dcc2b0ce1e,V1,J4,joint_a5,237,544,0.000135624615665434,0.02498034192108288,0.008160459726249894,0.01265694178557329,0.020817401511823184,0
