group,version,cases,successes,mean_chamfer,mean_hd95,mean_voxel_iou,mean_interface_gap,mean_disconnected_joint_rate,mean_nonadjacent_bbox_overlaps,primitive_proxy_rate
development,V0,2,2,0.004660038588485842,0.13501291107698887,0.22025449674703407,0.2078043649067009,0.75,1.0,1.0
development,V1,2,2,0.0011596011700516769,0.07188050032218218,0.49576811594202896,0.03277506443377558,0.125,4.5,0.0
development,V2,2,2,0.001012337272124317,0.06489103044736182,0.471166919489859,0.02948644348302326,0.125,4.5,0.0
holdout,V0,3,3,0.004384372606605318,0.138036139844218,0.23186070917347754,0.30794667860239394,0.7875,10.0,1.0
holdout,V1,3,3,0.003119758811586621,0.10891143277089486,0.35484415073940556,0.22275523615695045,0.2333333333333333,17.0,0.0
holdout,V2,3,3,0.0028956433323102677,0.10490978109945093,0.3733254531126872,0.20983035701174443,0.2333333333333333,19.0,0.0
all,V0,5,5,0.004494638999357528,0.13682684833732636,0.2272182242029001,0.2678897531241167,0.7725,6.4,1.0
all,V1,5,5,0.002335695754972643,0.09409905979140978,0.4112137368204549,0.1467631674676805,0.19,12.0,0.0
all,V2,5,5,0.0021423209082358876,0.08890228083861529,0.41246203966355593,0.13769279160025596,0.19,13.2,0.0
