case_id,link_id,view,crop_kind,crop_path,bbox_px,localization_method,gt_geometry_used
dev_arm-ab15a75247,L3,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L3\front_distal_joint_crop.png,"[189, 82, 352, 308]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L3,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L3\isometric_link_crop.png,"[129, 59, 301, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L3,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L3\isometric_proximal_joint_crop.png,"[131, 59, 260, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L3,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L3\isometric_distal_joint_crop.png,"[171, 59, 300, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L4,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L4\front_link_crop.png,"[143, 81, 360, 307]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L4,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L4\front_proximal_joint_crop.png,"[189, 82, 352, 308]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L4,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L4\front_distal_joint_crop.png,"[197, 81, 360, 307]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L4,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L4\isometric_link_crop.png,"[169, 59, 341, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L4,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L4\isometric_proximal_joint_crop.png,"[171, 59, 300, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L4,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L4\isometric_distal_joint_crop.png,"[207, 59, 336, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L0,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L0\front_link_crop.png,"[0, 80, 112, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L0,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L0\front_proximal_joint_crop.png,"[0, 80, 100, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L0,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L0\front_distal_joint_crop.png,"[9, 80, 109, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L0,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L0\isometric_link_crop.png,"[42, 0, 142, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L0,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L0\isometric_proximal_joint_crop.png,"[37, 0, 137, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L0,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L0\isometric_distal_joint_crop.png,"[51, 0, 151, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L1,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L1\front_link_crop.png,"[18, 80, 130, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L1,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L1\front_proximal_joint_crop.png,"[9, 80, 109, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L1,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L1\front_distal_joint_crop.png,"[39, 80, 139, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L1,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L1\isometric_link_crop.png,"[60, 0, 160, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L1,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L1\isometric_proximal_joint_crop.png,"[51, 0, 151, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L1,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L1\isometric_distal_joint_crop.png,"[69, 0, 169, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L2,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L2\front_link_crop.png,"[48, 80, 160, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L2,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L2\front_proximal_joint_crop.png,"[39, 80, 139, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L2,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L2\front_distal_joint_crop.png,"[69, 80, 169, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L2,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L2\isometric_link_crop.png,"[78, 0, 178, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L2,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L2\isometric_proximal_joint_crop.png,"[69, 0, 169, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L2,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L2\isometric_distal_joint_crop.png,"[87, 0, 187, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L3,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L3\front_link_crop.png,"[78, 80, 190, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L3,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L3\front_proximal_joint_crop.png,"[69, 80, 169, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L3,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L3\front_distal_joint_crop.png,"[99, 81, 199, 312]",silhouette_bbox_plus_urdf_link_order,False
