link_id,condition,voxel_iou,normalized_chamfer,normalized_hd95,silhouette_iou_mean,bbox_error_mm,major_dimension_error_mm
L03,F0,0.16636557727048776,0.06546905859516979,0.21242854030196084,0.5099283415656338,15.851957977697126,11.790931463241577
L03,F1,0.2587825560266505,0.055390490367188405,0.2151163838394332,0.6125223906279531,16.409633291785045,11.790931463241577
L03,F2,0.2587825560266505,0.05496937242333074,0.21505653351749882,0.6125223906279531,16.409633291785045,11.790931463241577
L04,F0,0.06131658113608211,0.14467094732443983,0.3347224022634398,0.25984376150594973,36.587377922787134,10.047220468521118
L04,F1,0.10580982942070596,0.12263583123481304,0.2650911344478459,0.331536883934141,34.318313997351524,10.047220468521118
L04,F2,0.09487005265839986,0.12575415619711466,0.2646512083670834,0.32006296932503525,34.318313997351524,10.047220468521118
L07,F0,0.07542372881355933,0.09549389992954603,0.35424340108417784,0.21300990652715077,96.18979208003717,76.4881820678711
L07,F1,0.10238179879132599,0.06094815657079933,0.22576847344920165,0.2683546787526973,66.591870589373,56.488182067871094
L07,F2,0.10238179879132599,0.05952716498204539,0.22153053835817868,0.2683546787526973,65.74572886854368,55.488182067871094
