assembly_assembly_graph_f1,assembly_assembly_graph_precision,assembly_assembly_graph_recall,assembly_gt_edge_count,assembly_gt_link_count,assembly_matched_edges,assembly_matched_parts,assembly_part_f1,assembly_part_precision,assembly_part_recall,assembly_pred_edge_count,assembly_pred_link_count,case_id,condition,error,failure_patterns,geometry_chamfer,geometry_hausdorff_max,geometry_hd95,geometry_note,geometry_per_link_count,geometry_sample_count_per_robot,geometry_voxel_iou,geometry_voxel_pitch_normalized,kinematic_axis_error_degrees_mean,kinematic_axis_error_degrees_median,kinematic_joint_origin_error_normalized_mean,kinematic_joint_origin_error_normalized_median,kinematic_joint_type_accuracy,kinematic_matched_joints,motion_end_effector_gt_link,motion_end_effector_rotation_error_degrees_median,motion_end_effector_translation_error_normalized_median,motion_link_rotation_error_degrees_mean,motion_link_rotation_error_degrees_median,motion_link_translation_error_normalized_mean,motion_link_translation_error_normalized_median,motion_mapped_links,status,total_tokens
0.0,0.0,0.0,6,7,0,1,0.25,1.0,0.14285714285714285,0,1,dev_arm-42e898b1a2,M_monolithic_mesh,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.024342556765584538,0.3344261041170608,0.253158010395207,hd95 is robust Hausdorff; hausdorff_max is also reported,1,3000,0.1320582877959927,0.05,,,,,0.0,0,meca_base_link,0.0,0.0,,,,,1,SUCCESS,14473
,,,,,,,,,,,,dev_arm-43fa322555,M_monolithic_mesh,BlueprintError: invalid unique link/joint cardinality,invalid_cad,,,,,,,,,,,,,,,,,,,,,,,FAILURE,12085
0.0,0.0,0.0,20,21,0,1,0.0909090909090909,1.0,0.047619047619047616,0,1,dev_arm-551a9c392e,M_monolithic_mesh,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_topology,0.02247631145167178,0.32732262005338275,0.24816530053447775,hd95 is robust Hausdorff; hausdorff_max is also reported,1,3000,0.13156649313771887,0.05,,,,,0.0,0,right_arm_base_link,0.0,0.0,0.0,,0.0,,1,SUCCESS,12985
,,,,,,,,,,,,dev_arm-d55f01b988,M_monolithic_mesh,APITimeoutError: Request timed out.,invalid_cad,,,,,,,,,,,,,,,,,,,,,,,FAILURE,0
,,,,,,,,,,,,dev_arm-0573e1e127,L_per_link_mesh_oracle,APITimeoutError: Request timed out.,invalid_cad,,,,,,,,,,,,,,,,,,,,,,,FAILURE,0
0.8000000000000002,0.8,0.8,5,6,4,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,6,dev_arm-10f5f05385,L_per_link_mesh_oracle,,poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0048343934812523255,0.2397845133963957,0.13849280881683346,hd95 is robust Hausdorff; hausdorff_max is also reported,5,3000,0.2787193973634652,0.05,45.0,45.0,0.2603354678086015,0.25096937257054097,0.8,4,END-EFFECTOR,135.89143715119332,0.6101131047664401,73.16366426148754,92.66472678426761,0.2867332739046341,0.19795013112951546,5,SUCCESS,18565
0.6,0.6,0.6,10,11,6,8,0.7272727272727273,0.7272727272727273,0.7272727272727273,10,11,dev_arm-21b8992ec4,L_per_link_mesh_oracle,,poor_curved_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0003345577413891125,0.07085303629941155,0.036205922721831416,hd95 is robust Hausdorff; hausdorff_max is also reported,8,3000,0.7104247104247104,0.05,45.0,45.0,0.12099993942116166,0.10483749263927364,0.6,6,arm_7_link,3.9404853515051204,0.14771299836693494,45.85610451452952,1.7905505852836514,0.0948905354089997,0.10381719697061545,8,SUCCESS,25983
,,,,,,,,,,,,dev_arm-42e898b1a2,L_per_link_mesh_oracle,APITimeoutError: Request timed out.,invalid_cad,,,,,,,,,,,,,,,,,,,,,,,FAILURE,0
0.375,0.375,0.375,16,17,6,8,0.47058823529411764,0.47058823529411764,0.47058823529411764,16,17,dev_arm-43fa322555,L_per_link_mesh_oracle,,poor_curved_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0010093041260866458,0.1116517773636099,0.06860431857145882,hd95 is robust Hausdorff; hausdorff_max is also reported,8,3000,0.5793103448275863,0.05,30.0,0.0,0.21994052731624017,0.24385190406088159,0.1875,6,fr3_link7,176.4271376486562,0.4582936705978022,101.87992398625401,93.65868825638185,0.31902170512854483,0.31267463956352926,8,SUCCESS,27279
0.20000000000000004,0.2,0.2,20,21,4,8,0.38095238095238093,0.38095238095238093,0.38095238095238093,20,21,dev_arm-551a9c392e,L_per_link_mesh_oracle,,poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0026412718924249106,0.18616958704320333,0.10794386426157884,hd95 is robust Hausdorff; hausdorff_max is also reported,8,3000,0.3694581280788177,0.05,,,0.08777123021687552,0.08356211917966569,0.0,4,right_l6,140.0307954112446,0.36481424374898397,93.44452660695586,112.5271013642404,0.1976494703975801,0.1936854244898613,8,SUCCESS,32279
0.625,0.625,0.625,8,9,5,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,8,9,dev_arm-d55f01b988,L_per_link_mesh_oracle,,poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.012691864367320827,0.2749589154103846,0.20047703459627253,hd95 is robust Hausdorff; hausdorff_max is also reported,7,3000,0.10499139414802065,0.05,18.0,0.0,0.1947490249164109,0.19608970030442327,0.5,5,gripper_link,130.12205382388902,0.6624656645041687,64.08668678842315,57.93657660237975,0.32023313126791353,0.1834008095292574,7,SUCCESS,22214
