entity_id,manufacturer,name,source,is_audit30,ratio,feature_ok,failures,n_meshes,n_failed,faces,normal_spectral_entropy,curvature_entropy,dihedral_q90_deg,sharp_rate_30deg,complexity_score
arm-fdadfa8bdd,ABB,CRB 15000,ros-industrial,False,1.0,True,[],7,0,52539,0.9339019035653124,0.2913403571851718,34.135401142682944,0.09654661691374967,-0.1758884068354047
arm-fdadfa8bdd,ABB,CRB 15000,ros-industrial,False,0.5,True,[],7,0,26266,0.9520987402047588,0.4334417693229573,55.52243360952078,0.1445843150923154,0.2977626976362101
arm-fdadfa8bdd,ABB,CRB 15000,ros-industrial,False,0.25,True,[],7,0,13130,0.9544263123681775,0.5573539337694116,70.66526257363131,0.21760368645523626,0.6579683300742911
arm-f7b0b901d3,ABB,IRB 120,matlab,False,1.0,True,[],7,0,39982,0.863978997935319,0.4996214738180753,86.39278437622696,0.2200306442057868,0.08708294943386229
arm-f7b0b901d3,ABB,IRB 120,matlab,False,0.5,True,[],7,0,19988,0.8640968013949288,0.6171293587575163,89.44735159416805,0.3168705720307358,0.4036960973341056
arm-f7b0b901d3,ABB,IRB 120,matlab,False,0.25,True,[],7,0,9991,0.8632202749778743,0.734646049232877,93.27695329146333,0.4114003536853479,0.7138146503930854
arm-7d8304122a,ABB,IRB 120-3/0.6,ros-industrial,False,1.0,True,[],7,0,39982,0.863978997935319,0.4996214738180753,86.39278437622696,0.2200306442057868,0.08708294943386229
arm-7d8304122a,ABB,IRB 120-3/0.6,ros-industrial,False,0.5,True,[],7,0,19988,0.8640968013949288,0.6171293587575163,89.44735159416805,0.3168705720307358,0.4036960973341056
arm-7d8304122a,ABB,IRB 120-3/0.6,ros-industrial,False,0.25,True,[],7,0,9991,0.8632202749778743,0.734646049232877,93.27695329146333,0.4114003536853479,0.7138146503930854
arm-d23914e41d,ABB,IRB 1200-5/0.9,ros-industrial,False,1.0,True,[],7,0,92843,0.9548827870918154,0.43227708462612635,46.17479226164665,0.11411091428256423,0.21176287803132832
arm-d23914e41d,ABB,IRB 1200-5/0.9,ros-industrial,False,0.5,True,[],7,0,46416,0.9528282764388247,0.5769231902877863,75.59709691445948,0.22633364760576014,0.7104322936660914
arm-d23914e41d,ABB,IRB 1200-5/0.9,ros-industrial,False,0.25,True,[],7,0,23205,0.9517628629249453,0.645156486685051,81.75126230641979,0.302274545537936,0.944652354889634
