candidate_id,status,total_visual_objective,contour_term,landmark_term,profile_term,runtime_seconds,cad_build_success,render_success,rejection_reason,housing_width_mm,housing_height_mm,proximal_section_length_mm,transition_length_mm,distal_width_mm,distal_height_mm
candidate_000,PASS,0.059748590016398394,0.04126875693091488,,0.07822842310188191,0.7976577999652363,True,True,,17.0,16.0,24.0,10.0,14.0,12.0
candidate_001,PASS,0.0309425517799014,0.0318288630233546,,0.030056240536448196,0.7802828999701887,True,True,,22.137505743652582,12.47018277272582,30.483523407950997,15.680077575147152,18.06776517443359,23.740909203886986
candidate_002,PASS,0.10275652992371453,0.05958895367024049,,0.1459241061771886,0.7705699999933131,True,True,,10.663689881563187,23.758593916893005,21.007073985412717,9.969824869185686,11.281582156196237,11.498492941260338
candidate_003,PASS,0.07425199910274494,0.04901850640980987,,0.09948549179567999,0.7971286000101827,True,True,,15.137483760714531,17.693704379722476,26.9128649905324,12.259899877011776,13.561125943437219,15.77649611234665
candidate_004,PASS,0.07339083906283986,0.0531952623783295,,0.09358641574735022,0.7802025999990292,True,True,,17.663724798709154,19.97772099263966,24.139477968215942,6.543318588286638,20.340849367901683,19.019431173801422
candidate_005,PASS,0.06892268727120587,0.05353555716964825,,0.08430981737276351,0.7749114999896847,True,True,,19.50126114487648,15.738992843776941,19.639149587601423,4.486622508615255,19.72441916540265,20.17204289138317
candidate_006,PASS,0.0839555901018696,0.05485688645509115,,0.11305429374864806,0.8285395000129938,True,True,,16.805059764534235,22.45056875795126,29.334135491400957,10.566599488258362,12.510548777878284,8.930572673678398
candidate_007,PASS,0.07528303101622894,0.044819947882709696,,0.10574611414974817,0.778598900011275,True,True,,12.501296062022448,12.238271286711097,22.991592114791274,7.1631974540650845,8.645014084875584,12.34154188632965
candidate_008,PASS,0.06973726421619111,0.05501329423071972,,0.0844612342016625,0.7535583999706432,True,True,,23.805037781596184,27.954241732135415,25.546869901940227,13.236708521842957,15.8652372546494,16.5834698677063
candidate_009,PASS,0.06765481282108479,0.04972358071154321,,0.08558604493062637,0.7902982999803498,True,True,,23.0885020904243,18.871563225984573,22.012483136728406,10.9359534047544,9.785382308065891,18.470882788300514
candidate_010,PASS,0.07814451475610765,0.05003922264592561,,0.10624980686628968,0.6852704000193626,True,True,,13.419373832643032,21.15340020880103,26.525832066312432,5.0078966319561005,17.009026784449816,14.729412332177162
candidate_011,PASS,0.04809574177347316,0.03519985782462624,,0.06099162572232008,0.7724156000185758,True,True,,16.088480211794376,13.403055118396878,18.868228524923325,14.262203719466925,21.83880167081952,10.015373975038528
candidate_012,PASS,0.08662597621592782,0.06261414766686076,,0.11063780476499491,0.7578077000216581,True,True,,20.41940864548087,24.689286632463336,30.105149962008,8.340818852186203,14.621516652405262,22.757302194833755
candidate_013,PASS,0.045670482410051096,0.03627931653976475,,0.05506164828033744,0.77716340002371,True,True,,18.700548611581326,10.884056560695171,27.673544455319643,8.534213654696941,12.313191840425134,17.91084285080433
candidate_014,PASS,0.08978274967029243,0.058551006586961656,,0.12101449275362319,0.7811568000470288,True,True,,14.309034626930952,26.602241102606058,23.378731798380613,14.818811107426882,19.08949395827949,13.168426349759102
candidate_015,PASS,0.07521329629451284,0.0444487179868811,,0.10597787460214457,0.76477959996555,True,True,,11.700583424419165,14.700094351544976,31.47287398390472,5.95117699354887,16.064353166148067,9.571421951055527
candidate_016,PASS,0.08967847374193924,0.06144804479236708,,0.11790890269151139,0.8226830000057817,True,True,,21.30901274830103,21.413884362205863,20.017843520268798,12.242675233632326,9.281584778800607,21.31435725092888
