config_id,link_a,link_b,exact_classification,fast_classification,exact_collision,fast_collision,agreement,fast_source
sobol_000,L00,L01,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L3_SELECTIVE_EXACT
sobol_000,L00,L02,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L00,L03,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L00,L04,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L00,L05,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L00,L06,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L00,L07,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L00,L08,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L00,L09,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L00,L10,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L01,L02,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L3_SELECTIVE_EXACT
sobol_000,L01,L03,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L01,L04,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L01,L05,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L01,L06,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L01,L07,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L01,L08,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L01,L09,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L01,L10,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L02,L03,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L3_SELECTIVE_EXACT
sobol_000,L02,L04,AABB_CLEAR,MESH_CLEAR,0,0,1,L2_MESH_BVH
sobol_000,L02,L05,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L02,L06,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L02,L07,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L02,L08,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L02,L09,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L02,L10,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L03,L04,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L3_SELECTIVE_EXACT
sobol_000,L03,L05,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L03,L06,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L03,L07,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L03,L08,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L03,L09,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L03,L10,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L04,L05,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L0_FIXED_SAFE
sobol_000,L04,L06,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L3_SELECTIVE_EXACT
sobol_000,L04,L07,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L3_SELECTIVE_EXACT
sobol_000,L04,L08,AABB_CLEAR,MESH_CLEAR,0,0,1,L2_MESH_BVH
sobol_000,L04,L09,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L04,L10,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L05,L06,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L3_SELECTIVE_EXACT
sobol_000,L05,L07,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L0_FIXED_SAFE
sobol_000,L05,L08,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L3_SELECTIVE_EXACT
sobol_000,L05,L09,AABB_CLEAR,MESH_CLEAR,0,0,1,L2_MESH_BVH
sobol_000,L05,L10,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L06,L07,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L3_SELECTIVE_EXACT
sobol_000,L06,L08,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L3_SELECTIVE_EXACT
sobol_000,L06,L09,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L06,L10,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
sobol_000,L07,L08,EXPECTED_INTERFACE_CONTACT,EXPECTED_INTERFACE_CONTACT,0,0,1,L0_FIXED_SAFE
sobol_000,L07,L09,AABB_CLEAR,AABB_CLEAR,0,0,1,L1_AABB
