api_calls,assembly_assembly_graph_f1,assembly_assembly_graph_precision,assembly_assembly_graph_recall,assembly_gt_edge_count,assembly_gt_link_count,assembly_matched_edges,assembly_matched_parts,assembly_part_f1,assembly_part_precision,assembly_part_recall,assembly_pred_edge_count,assembly_pred_link_count,case_id,error,failure_patterns,geometry_chamfer,geometry_hausdorff_max,geometry_hd95,geometry_note,geometry_per_link_count,geometry_sample_count_per_robot,geometry_voxel_iou,geometry_voxel_pitch_normalized,input_images,input_tokens,kinematic_axis_error_degrees_mean,kinematic_axis_error_degrees_median,kinematic_joint_origin_error_normalized_mean,kinematic_joint_origin_error_normalized_median,kinematic_joint_type_accuracy,kinematic_matched_joints,latency_seconds,motion_end_effector_gt_link,motion_end_effector_rotation_error_degrees_median,motion_end_effector_translation_error_normalized_median,motion_link_rotation_error_degrees_mean,motion_link_rotation_error_degrees_median,motion_link_translation_error_normalized_mean,motion_link_translation_error_normalized_median,motion_mapped_links,output_tokens,status,total_tokens,variant
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,dev_arm-cb42051aad,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0063626881960850475,0.1868447291212837,0.14374481299330996,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.24615384615384617,0.05,3,734,60.0,90.0,0.22016978392503506,0.2803414569184263,0.3333333333333333,3,68.13310209999963,link_3,51.661884207114106,0.2760374479202493,49.780872869484504,46.60186992490035,0.16316482370355495,0.13728873516815493,4,3952,SUCCESS,4686,single_view
1,0.3333333333333333,0.5,0.25,8,9,2,4,0.5714285714285714,0.8,0.4444444444444444,4,5,dev_arm-d55f01b988,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.008312318320423867,0.29191849013551596,0.19480132165289,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.16554054054054054,0.05,3,734,0.0,0.0,0.14580133211875773,0.14580133211875773,0.125,2,30.641324999999597,link5,116.65237986393095,71.97610442510263,66.50794002685413,62.074473980864525,72.08878759280954,72.04210510017495,4,1748,SUCCESS,2482,single_view
1,0.1818181818181818,0.5,0.1111111111111111,9,10,1,3,0.4615384615384615,1.0,0.3,2,3,dev_arm-dcc2b0ce1e,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0022709444088379917,0.17008563556017695,0.10261499688795224,hd95 is robust Hausdorff; hausdorff_max is also reported,3,3000,0.3877551020408163,0.05,3,734,90.0,90.0,0.25844355334535546,0.25844355334535546,0.1111111111111111,1,21.418552300000556,link_3,79.96456199744972,0.9878852682360703,91.24403428897276,79.59251468312854,0.572143988097476,0.4232027421671874,3,1207,SUCCESS,1941,single_view
1,0.5454545454545454,1.0,0.375,8,9,3,4,0.6153846153846153,1.0,0.4444444444444444,3,4,dev_arm-f7b0b901d3,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_type;wrong_motion;wrong_topology,0.006135857648410932,0.30248927041032814,0.1704944297872522,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.31724137931034485,0.05,3,734,60.0,90.0,0.051524026084090936,0.031980429983228885,0.375,3,44.65941799999928,link_3,87.5767781622936,0.6329429454163127,81.96515790259318,71.6959270206292,0.3317087926791949,0.2195905108905852,4,2551,SUCCESS,3285,single_view
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,dev_arm-fdadfa8bdd,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.012370720176433687,0.37666531126381575,0.30357459908461615,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.2791666666666667,0.05,3,734,0.0,0.0,0.20127560510401765,0.17710434859689697,0.3333333333333333,3,43.940734700000576,link_3,105.75470865528753,0.5519350894257117,87.17167634760922,78.97617303985379,0.2729813258827157,0.23794342955405595,4,2529,SUCCESS,3263,single_view
1,0.3636363636363636,1.0,0.2222222222222222,9,10,2,3,0.4615384615384615,1.0,0.3,2,3,dev_arm-0573e1e127,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.002188422132513994,0.14610379027919246,0.10533110879362988,hd95 is robust Hausdorff; hausdorff_max is also reported,3,3000,0.37777777777777777,0.05,4,862,0.0,0.0,0.20811506597922003,0.20811506597922003,0.2222222222222222,2,183.9871605999997,link_2,89.95437383553924,0.49229577963929233,44.99772438660441,30.931813805365238,0.2841571784062923,0.2841571784062922,3,10732,SUCCESS,11594,multiview_static
1,,,,,,,,,,,,,dev_arm-07307859e2,APITimeoutError: Request timed out.,invalid_cad;transport_api_timeout,,,,,,,,,4,0,,,,,,,300.0181451999997,,,,,,,,,0,FAILURE,0,multiview_static
1,0.6,0.6,0.6,5,6,3,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,6,dev_arm-10f5f05385,,poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.004731029265751017,0.3273481818029866,0.17013289698166562,hd95 is robust Hausdorff; hausdorff_max is also reported,5,3000,0.327710843373494,0.05,4,862,90.0,90.0,0.26653528795834597,0.3036776822653664,0.4,3,152.01048719999926,END-EFFECTOR,155.35992841464375,0.3953126135508551,81.31903481029629,95.22570876611609,0.2335962201884554,0.18971766522527006,5,8879,SUCCESS,9741,multiview_static
1,0.14285714285714288,0.25,0.1,10,11,1,4,0.5000000000000001,0.8,0.36363636363636365,4,5,dev_arm-21b8992ec4,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.007173243773364684,0.24621526978100983,0.184306867718332,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.2727272727272727,0.05,4,862,90.0,90.0,0.11357395035921312,0.11357395035921312,0.1,1,128.1857445000005,arm_3_link,123.96654406627962,0.5965893826657634,65.33650835223075,44.48009043156891,0.24034340605812124,0.13737488465191,4,7496,SUCCESS,8358,multiview_static
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,dev_arm-3ce41d3c31,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0025649714374787183,0.20014557163449295,0.10529525447747519,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.33288770053475936,0.05,4,862,30.0,0.0,0.21538232143946137,0.2803541157643826,0.3333333333333333,3,111.42949589999989,link_3,144.45437383553923,0.34309259618957927,135.51266299713075,144.45437383553923,0.1880202670708632,0.1641111803439558,4,6487,SUCCESS,7349,multiview_static
1,0.6666666666666666,1.0,0.5,6,7,3,4,0.7272727272727273,1.0,0.5714285714285714,3,4,dev_arm-42e898b1a2,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.004340062743343881,0.3320620335481019,0.15283045466582457,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.5168067226890757,0.05,4,862,0.0,0.0,0.115575987251705,0.1186011845419369,0.5,3,37.99872529999993,meca_axis_3_link,22.499766135889868,0.16285434852852512,11.799305007431007,10.000105126328743,0.12233019385575081,0.16285434852852512,4,2188,SUCCESS,3050,multiview_static
1,0.5454545454545454,1.0,0.375,16,17,6,7,0.5833333333333334,1.0,0.4117647058823529,6,7,dev_arm-43fa322555,,missing_parts;poor_curved_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0006628783112633494,0.09956075931812877,0.05839698949166336,hd95 is robust Hausdorff; hausdorff_max is also reported,7,3000,0.5763358778625954,0.05,4,862,45.0,45.0,0.1912962802581251,0.16628177251048046,0.375,6,231.63704490000055,fr3_link6,132.48670261076273,0.5387416290607095,87.59270921322748,81.23532139006196,0.27493831017170695,0.1848394250002462,7,13570,SUCCESS,14432,multiview_static
1,0.3636363636363636,1.0,0.2222222222222222,9,10,2,3,0.4615384615384615,1.0,0.3,2,3,dev_arm-4c7b408826,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.006444214292312143,0.2676310334841382,0.16443948794030916,hd95 is robust Hausdorff; hausdorff_max is also reported,3,3000,0.2840909090909091,0.05,4,862,0.0,0.0,0.20203323528216732,0.20203323528216732,0.2222222222222222,2,67.28667029999997,link_2,65.41691067265795,0.19658203556351148,50.17169486522385,56.017367432696666,0.1687141806397663,0.1687141806397663,3,3900,SUCCESS,4762,multiview_static
1,0.08695652173913045,0.3333333333333333,0.05,20,21,1,4,0.32,1.0,0.19047619047619047,3,4,dev_arm-551a9c392e,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.007956803967391821,0.2875629798846632,0.18254069599037023,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.139186295503212,0.05,4,862,90.0,90.0,0.16436816793022635,0.16436816793022635,0.05,1,66.74308800000017,head,153.70635964747441,0.5991793817263794,62.432396515821765,54.54838630014025,0.20594745134508458,0.14565297786708037,4,3845,SUCCESS,4707,multiview_static
1,0.8571428571428571,1.0,0.75,4,5,3,4,0.888888888888889,1.0,0.8,3,4,dev_arm-ab15a75247,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.006766563084517082,0.2684010555081991,0.16233461021323686,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.21951219512195122,0.05,4,862,60.0,90.0,0.09821104267459864,0.10407807181062678,0.75,3,188.74867240000003,link3,90.00000130696944,0.5831092268477434,136.16934458956072,137.9878190317488,0.25484954867868764,0.12083299799498104,4,11013,SUCCESS,11875,multiview_static
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,dev_arm-cb42051aad,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.002315582223272925,0.22457011418747486,0.08076951642930769,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.4681159420289855,0.05,4,862,0.0,0.0,0.2068223105518168,0.24591355870037399,0.3333333333333333,3,152.74919450000016,link_3,106.75402798560582,0.3086457420668632,66.56957407022077,60.03595016829546,0.18519059238861946,0.13057739745542735,4,8921,SUCCESS,9783,multiview_static
1,0.4615384615384615,0.6,0.375,8,9,3,5,0.6666666666666667,0.8333333333333334,0.5555555555555556,5,6,dev_arm-d55f01b988,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.007645084987043888,0.27687136009602203,0.1717053105132624,hd95 is robust Hausdorff; hausdorff_max is also reported,5,3000,0.2392638036809816,0.05,4,862,60.0,90.0,0.23797581178507476,0.19874960971290326,0.375,3,43.357892099999845,link5,52.48891934933506,0.45973686467845837,48.0899813254934,38.226114893863596,0.29189163739731205,0.3393853346883164,5,2498,SUCCESS,3360,multiview_static
1,0.1818181818181818,0.5,0.1111111111111111,9,10,1,3,0.4615384615384615,1.0,0.3,2,3,dev_arm-dcc2b0ce1e,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0016912732682646332,0.12577894085555297,0.0915083948820777,hd95 is robust Hausdorff; hausdorff_max is also reported,3,3000,0.4414715719063545,0.05,4,862,90.0,90.0,0.23674218627055466,0.23674218627055466,0.1111111111111111,1,32.174899800000276,link_3,100.89768250573742,0.31952106620220283,91.85872626805893,86.09095981170444,0.2930166421788126,0.16597550601069155,3,1846,SUCCESS,2708,multiview_static
1,0.5454545454545454,1.0,0.375,8,9,3,4,0.6153846153846153,1.0,0.4444444444444444,3,4,dev_arm-f7b0b901d3,,missing_parts;poor_curved_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0007796397879465797,0.09220347453327044,0.05474476595106927,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.5920502092050209,0.05,4,862,0.0,0.0,0.21248060270728086,0.20254272322711606,0.375,3,95.13345429999936,link_3,34.22396523885257,0.6024212861950631,18.129161975850863,11.18170109032436,0.23953537838703803,0.07960297521679913,4,5549,SUCCESS,6411,multiview_static
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,dev_arm-fdadfa8bdd,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0070306439078992936,0.24904843413780775,0.19024172505296136,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.20303030303030303,0.05,4,862,0.0,0.0,0.15898204315907496,0.16804319587798594,0.3333333333333333,3,53.66121230000044,link_3,70.00000000000001,0.3723815580639758,42.18721147154291,33.76712664597353,0.2343772201019753,0.16277288182091082,4,3096,SUCCESS,3958,multiview_static
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,dev_arm-0573e1e127,,missing_parts;poor_curved_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0009048972294569751,0.09526475255484983,0.06368972925771244,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.5446009389671361,0.05,12,1911,0.0,0.0,0.1566113125111014,0.1499939413968188,0.3333333333333333,3,121.5304270000006,link_3,33.7842364486063,0.36446745536034164,19.159242321365852,14.079651186483968,0.238916194995658,0.322013432597914,4,7008,SUCCESS,8919,multipose_concat
1,0.7058823529411764,1.0,0.5454545454545454,11,12,6,7,0.7368421052631579,1.0,0.5833333333333334,6,7,dev_arm-07307859e2,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.002764444648576806,0.15834938701739346,0.10898923494215128,hd95 is robust Hausdorff; hausdorff_max is also reported,7,3000,0.32459016393442625,0.05,12,1911,75.0,90.0,0.22475588835812632,0.19106753762346362,0.5454545454545454,6,179.50403410000035,panda_link6,104.82432179427187,1.0066678488443905,91.64342856306111,95.19786582883742,0.5245021025137618,0.4812078064655544,7,10445,SUCCESS,12356,multipose_concat
