variant,cases,executed,failed,input_images_per_case,api_calls_total,tokens_total,median_geometry_chamfer,median_geometry_hd95,median_geometry_voxel_iou,median_assembly_assembly_graph_f1,median_assembly_part_f1,median_kinematic_joint_type_accuracy,median_kinematic_axis_error_degrees_median,median_kinematic_joint_origin_error_normalized_median,median_motion_link_translation_error_normalized_median,median_motion_link_rotation_error_degrees_median
single_view,15,15,0,[3],15,55660,0.004893616033422668,0.14374481299330996,0.31724137931034485,0.5,0.5714285714285715,0.3333333333333333,45.0,0.17710434859689697,0.22005146184856425,71.6959270206292
multiview_static,15,14,1,[4],15,102088,0.004535546004547449,0.15758253243953071,0.33029927195412667,0.5,0.5714285714285715,0.3333333333333333,22.5,0.20039142249753528,0.16348276443624046,55.28287686641846
multipose_concat,15,15,0,[12],15,119482,0.00424869685545895,0.14989409200827164,0.32459016393442625,0.5,0.6153846153846153,0.3333333333333333,22.5,0.15124078636323982,0.263740818928748,45.38678504936207
motion_aware,15,11,4,[12],15,138871,0.003969945668192169,0.13862609669591922,0.32706766917293234,0.3636363636363636,0.4615384615384615,0.2222222222222222,0.0,0.20265833284912127,0.2630468736339496,75.01582649241611
