entity_id,manufacturer,name,v3_split,face_budget,approximation_ok,original_faces,target_faces,achieved_faces,mesh_count,failure_count,failures,normalized_chamfer,normalized_hausdorff,normal_error,p_normalized_chamfer,p_normalized_hausdorff,p_normal_error,budget_difficulty
arm-4e79777e86,ABB,IRB 1600,development,5000,True,19219,5000,5368,7,0,[],0.0231295063846677,0.0735083327696708,0.202619276859082,0.5,0.6625,0.875,0.6791666666666667
arm-4e79777e86,ABB,IRB 1600,development,10000,True,19219,10000,9993,7,0,[],0.0230220996413396,0.0701296956083831,0.2207039524189522,0.5375,0.575,0.9375,0.6833333333333332
arm-c92ba5c644,ABB,IRB 1600-6/1.2,development,1000,True,19219,1000,3463,7,0,[],0.0269345287421722,0.0819486598851707,0.2277377527196816,0.575,0.5,0.85,0.6416666666666666
arm-c92ba5c644,ABB,IRB 1600-6/1.2,development,5000,True,19219,5000,5368,7,0,[],0.0230678638982464,0.066002920645141,0.2010063333994128,0.475,0.3875,0.8625,0.5750000000000001
arm-c92ba5c644,ABB,IRB 1600-6/1.2,development,10000,True,19219,10000,9993,7,0,[],0.0232498347771151,0.068497118665779,0.1882822039757597,0.5625,0.475,0.8375,0.625
arm-674fb8e440,ABB,IRB 1600-8/1.45,development,1000,True,23498,1000,4335,7,0,[],0.0278987590650373,0.1026181147835602,0.2386183271309248,0.625,0.6375,0.8875,0.7166666666666667
arm-674fb8e440,ABB,IRB 1600-8/1.45,development,5000,True,23498,5000,5478,7,0,[],0.0227294653447434,0.0666015739214569,0.1908744801915946,0.4375,0.4375,0.8375,0.5708333333333333
arm-674fb8e440,ABB,IRB 1600-8/1.45,development,10000,True,23498,10000,9994,7,0,[],0.0228052926266109,0.0754054377751518,0.2170735148426785,0.525,0.8,0.925,0.75
arm-081210e630,ABB,IRB 2400,validation,1000,True,88185,1000,26995,7,0,[],0.0239400201677584,0.0754991093355516,0.2262514785200537,0.2625,0.375,0.825,0.4875
arm-081210e630,ABB,IRB 2400,validation,5000,True,88185,5000,26995,7,0,[],0.024000484572627,0.0848363773371437,0.2192840380858086,0.6125,0.8,0.875,0.7625000000000001
arm-081210e630,ABB,IRB 2400,validation,10000,True,88185,10000,26995,7,0,[],0.0239275320946423,0.0755677531443777,0.2413087061012224,0.7125,0.8,0.9875,0.8333333333333334
arm-f3a89fcc9e,ABB,IRB 2600,validation,1000,True,272043,1000,27170,7,0,[],0.0279856422295844,0.0933859374363001,0.3035340690604611,0.6375,0.5875,0.9875,0.7375000000000002
arm-f3a89fcc9e,ABB,IRB 2600,validation,5000,True,272043,5000,27170,7,0,[],0.0277616869473766,0.0863807969025104,0.2989398915229166,0.9375,0.8375,0.975,0.9166666666666666
arm-f3a89fcc9e,ABB,IRB 2600,validation,10000,True,272043,10000,27170,7,0,[],0.0281107301375715,0.0903572590853498,0.2900365377173473,0.9875,0.9375,0.9875,0.9708333333333333
arm-f817901d6a,ABB,IRB 4400L/30,validation,1000,True,11696,1000,1636,7,0,[],0.0353965231020506,0.1570670318706935,0.2831631035710131,0.875,0.925,0.975,0.9249999999999999
arm-f817901d6a,ABB,IRB 4400L/30,validation,5000,True,11696,5000,4994,7,0,[],0.0225355932657753,0.0616772894368929,0.2258341491075357,0.4125,0.225,0.925,0.5208333333333334
arm-f817901d6a,ABB,IRB 4400L/30,validation,10000,True,11696,10000,9994,7,0,[],0.0225233828223869,0.063461962452133,0.2308859496126248,0.4625,0.3375,0.9875,0.5958333333333333
arm-8fcf241b6f,ABB,IRB 52-7/1.2,development,1000,True,26059,1000,2504,7,0,[],0.0292684178132203,0.1110241816627595,0.2279393160883477,0.675,0.6625,0.8625,0.7333333333333334
arm-8fcf241b6f,ABB,IRB 52-7/1.2,development,5000,True,26059,5000,5600,7,0,[],0.0262021266802957,0.1021842389402556,0.220384773757508,0.9125,0.9125,0.9,0.9083333333333333
arm-8fcf241b6f,ABB,IRB 52-7/1.2,development,10000,True,26059,10000,10124,7,0,[],0.0242408867109649,0.0711570999713554,0.2002001907063382,0.8,0.6625,0.8875,0.7833333333333332
arm-91f018718c,ABB,IRB 52-7/1.45,development,1000,True,26848,1000,2678,7,0,[],0.0328833294286137,0.1146182678239432,0.2620616429770001,0.775,0.7125,0.9125,0.7999999999999999
arm-91f018718c,ABB,IRB 52-7/1.45,development,5000,True,26848,5000,5624,7,0,[],0.0250764238205234,0.0934884831828484,0.2248822517867016,0.8,0.9,0.925,0.875
