entity_id,v3_split,manufacturer,name,orientation_module,local_curvature_module,persistence_module,geometry_score_v3,score_without_orientation,score_without_local_curvature,score_without_persistence,single_scale_score_1,faces_1,single_scale_score_0.5,faces_0.5,single_scale_score_0.25,faces_0.25,approximation_difficulty,difficulty_1000,difficulty_5000,difficulty_10000
arm-01df249d91,development,Trossen Robotics,WidowX-200,0.27083333333333337,0.6291666666666667,0.6041666666666666,0.5013888888888889,0.6166666666666667,0.4375,0.45,0.5375000000000001,7722.0,0.584375,3912.0,0.596875,2370.0,0.2736111111111111,0.22916666666666666,0.3666666666666667,0.225
arm-022ef09303,validation,ABB,IRB 7600-150/3.50,0.5833333333333334,0.8166666666666668,0.775,0.7250000000000001,0.7958333333333334,0.6791666666666667,0.7000000000000001,0.753125,29816.0,0.728125,14902.0,0.7718750000000001,7448.0,0.575,0.7916666666666666,0.4375,0.49583333333333335
arm-0417f43b13,development,Staubli,RX 160,0.08749999999999998,0.7958333333333334,0.7625000000000001,0.5486111111111112,0.7791666666666668,0.42500000000000004,0.4416666666666667,0.61875,39982.0,0.596875,19988.0,0.68125,9991.0,0.8180555555555555,0.85,0.7791666666666667,0.8250000000000001
arm-0573e1e127,development,Staubli,TX-60,0.85,0.6833333333333332,0.5833333333333334,0.7055555555555556,0.6333333333333333,0.7166666666666667,0.7666666666666666,0.725,37580.0,0.653125,18786.0,0.65625,9388.0,0.5986111111111111,0.6458333333333334,0.5333333333333333,0.6166666666666667
arm-065970a45f,development,ABB,IRB 5400,0.2416666666666667,0.375,0.3583333333333334,0.325,0.3666666666666667,0.30000000000000004,0.30833333333333335,0.35624999999999996,66555.0,0.640625,33276.0,0.6156250000000001,24270.0,0.7125,0.5208333333333334,0.7708333333333334,0.8458333333333333
arm-07307859e2,development,Franka Emika,Panda,0.9666666666666667,0.27083333333333337,0.27083333333333337,0.5027777777777778,0.27083333333333337,0.61875,0.61875,0.44375,134288.0,0.45625000000000004,67140.0,0.453125,33565.0,0.8611111111111112,0.9208333333333334,0.8208333333333333,0.8416666666666668
arm-081210e630,validation,ABB,IRB 2400,0.25416666666666665,0.3625,0.34583333333333327,0.3208333333333333,0.35416666666666663,0.29999999999999993,0.30833333333333335,0.35,65127.0,0.646875,32562.0,0.621875,23914.0,0.6944444444444445,0.4875,0.7625000000000001,0.8333333333333334
arm-0cf081ce97,development,Fanuc,M-710iC/50,0.4208333333333334,0.5541666666666666,0.3625,0.4458333333333333,0.45833333333333326,0.3916666666666667,0.4875,0.5125,1454.0,0.43125,1074.0,0.390625,996.0,0.18472222222222223,0.1791666666666667,0.15,0.225
arm-0d0d196c9d,development,Kinova Robotics,Jaco J2N6S200,0.1375,0.19999999999999998,0.16666666666666666,0.16805555555555554,0.18333333333333332,0.15208333333333335,0.16875,0.18437499999999998,100186.0,0.1625,50088.0,0.171875,25036.0,0.3819444444444444,0.5333333333333333,0.3,0.3125
arm-10582c0edf,validation,Yaskawa Motoman,Motoman SIA20D,0.6958333333333333,0.30000000000000004,0.25833333333333336,0.41805555555555557,0.2791666666666667,0.4770833333333333,0.4979166666666667,0.396875,9887.0,0.36875,4938.0,0.378125,2508.0,0.28888888888888886,0.18333333333333335,0.4583333333333333,0.225
arm-10f5f05385,development,Quanser,QArm,0.012500000000000002,0.7958333333333334,0.7916666666666666,0.5333333333333333,0.79375,0.4020833333333333,0.4041666666666667,0.6,280920.0,0.69375,140458.0,0.6968749999999999,70224.0,0.798611111111111,0.775,0.7999999999999999,0.8208333333333333
arm-1293f54184,development,Trossen Robotics,WidowX-250,0.29583333333333334,0.6458333333333334,0.6375000000000001,0.5263888888888889,0.6416666666666667,0.4666666666666667,0.4708333333333333,0.55625,7842.0,0.6218750000000001,3972.0,0.578125,2614.0,0.24583333333333332,0.17916666666666667,0.3333333333333333,0.225
arm-144f1962ce,validation,Staubli,TX2-90,0.8666666666666667,0.6541666666666667,0.5625,0.6944444444444445,0.6083333333333334,0.7145833333333333,0.7604166666666667,0.703125,54963.0,0.65625,27473.0,0.64375,13734.0,0.5888888888888889,0.6208333333333333,0.5291666666666667,0.6166666666666667
arm-17a4199cfb,validation,Universal Robots,UR5,0.7541666666666665,0.20000000000000004,0.05416666666666667,0.3361111111111111,0.12708333333333335,0.4041666666666666,0.4770833333333333,0.36250000000000004,95670.0,0.38749999999999996,47830.0,0.203125,23913.0,0.8083333333333332,0.6999999999999998,0.8416666666666668,0.8833333333333334
arm-1998f45a5c,development,Kinova Robotics,Jaco J2S6S200,0.19583333333333333,0.12916666666666665,0.1125,0.14583333333333331,0.12083333333333332,0.15416666666666667,0.16249999999999998,0.14375000000000002,111992.0,0.14375,55990.0,0.16249999999999998,27988.0,0.3888888888888889,0.525,0.2833333333333334,0.35833333333333334
arm-19acb3833f,development,Fanuc,CR-35iA,0.7166666666666667,0.05416666666666667,0.012500000000000002,0.2611111111111111,0.03333333333333333,0.3645833333333333,0.3854166666666667,0.21875000000000003,54884.0,0.18749999999999997,27438.0,0.19062499999999996,14046.0,0.4138888888888889,0.25416666666666665,0.5041666666666668,0.48333333333333334
arm-1d928e951e,validation,KUKA,KR 3 R540,0.9708333333333333,0.46249999999999997,0.4583333333333333,0.6305555555555555,0.46041666666666664,0.7145833333333333,0.7166666666666667,0.5875,74572.0,0.60625,37280.0,0.628125,18637.0,0.7111111111111112,0.7791666666666668,0.5833333333333334,0.7708333333333334
arm-1e30cc03ac,development,Trossen Robotics,ViperX-300,0.24583333333333335,0.6375,0.5791666666666667,0.4875,0.6083333333333334,0.41250000000000003,0.44166666666666665,0.5375,25884.0,0.5687500000000001,13937.0,0.5843750000000001,11769.0,0.3819444444444444,0.2708333333333333,0.4166666666666667,0.4583333333333333
arm-21b8992ec4,validation,Schunk,LWA 4D,0.9875000000000002,0.7791666666666667,0.6833333333333332,0.8166666666666668,0.73125,0.8354166666666667,0.8833333333333334,0.83125,12698.0,0.7593749999999999,6344.0,0.809375,3208.0,0.6958333333333333,0.5708333333333333,0.7125,0.8041666666666667
arm-24f259efca,development,Staubli,RX 160L,0.15,0.725,0.6875,0.5208333333333334,0.70625,0.41875,0.4375,0.58125,33682.0,0.5562499999999999,16838.0,0.6312500000000001,8417.0,0.7444444444444445,0.85,0.7416666666666667,0.6416666666666667
arm-25d4f5567f,validation,Schunk,LWA 4P,0.7166666666666667,0.3499999999999999,0.32083333333333336,0.46249999999999997,0.33541666666666664,0.51875,0.5333333333333333,0.44062500000000004,29093.0,0.41875,14543.0,0.45312499999999994,7268.0,0.31666666666666665,0.2125,0.3541666666666667,0.3833333333333333
arm-296b557ef0,development,Kinova Robotics,Jaco J2S7S300,0.6208333333333333,0.10000000000000002,0.07916666666666668,0.26666666666666666,0.08958333333333335,0.35000000000000003,0.36041666666666666,0.22812500000000002,94072.0,0.221875,47030.0,0.25625,23506.0,0.4444444444444444,0.575,0.37916666666666665,0.37916666666666665
arm-2a2b0eb0bf,validation,Staubli,TX2-90L,0.8083333333333332,0.6375000000000001,0.55,0.6652777777777777,0.59375,0.6791666666666667,0.7229166666666667,0.678125,55814.0,0.6375,27900.0,0.6156250000000001,13947.0,0.5208333333333334,0.5875,0.4708333333333334,0.5041666666666667
arm-30008f0a9e,development,ABB,IRB 120T-3/0.6,0.08749999999999998,0.7958333333333334,0.7625000000000001,0.5486111111111112,0.7791666666666668,0.42500000000000004,0.4416666666666667,0.61875,39982.0,0.596875,19988.0,0.68125,9991.0,0.813888888888889,0.8166666666666668,0.8083333333333332,0.8166666666666668
arm-30ac22fcc7,development,Kinova Robotics,Mico M1N4S200,0.3041666666666667,0.2416666666666667,0.20833333333333334,0.25138888888888894,0.22500000000000003,0.25625000000000003,0.2729166666666667,0.25,97526.0,0.2375,48760.0,0.24687499999999998,24374.0,0.5138888888888888,0.6875,0.45,0.4041666666666666
arm-3179bae95f,validation,Fanuc,R-2000iC/125L,0.09166666666666667,0.4083333333333334,0.3416666666666666,0.2805555555555555,0.375,0.21666666666666665,0.25,0.328125,2788.0,0.28125,1390.0,0.315625,818.0,0.1416666666666667,0.05000000000000001,0.15,0.225
