entity_id,manufacturer,name,v3_split,face_budget,approximation_ok,original_faces,target_faces,achieved_faces,mesh_count,failure_count,failures,normalized_chamfer,normalized_hausdorff,normal_error
arm-081210e630,ABB,IRB 2400,validation,5000,True,88185,5000,26995,7,0,[],0.024000484572627066,0.08483637733714379,0.21928403808580862
arm-081210e630,ABB,IRB 2400,validation,10000,True,88185,10000,26995,7,0,[],0.02392753209464234,0.07556775314437772,0.2413087061012224
arm-f3a89fcc9e,ABB,IRB 2600,validation,1000,True,272043,1000,27170,7,0,[],0.027985642229584436,0.0933859374363001,0.3035340690604611
arm-f3a89fcc9e,ABB,IRB 2600,validation,5000,True,272043,5000,27170,7,0,[],0.02776168694737664,0.08638079690251048,0.2989398915229166
arm-f3a89fcc9e,ABB,IRB 2600,validation,10000,True,272043,10000,27170,7,0,[],0.028110730137571528,0.09035725908534986,0.29003653771734733
arm-f817901d6a,ABB,IRB 4400L/30,validation,1000,True,11696,1000,1636,7,0,[],0.03539652310205064,0.1570670318706935,0.2831631035710131
arm-f817901d6a,ABB,IRB 4400L/30,validation,5000,True,11696,5000,4994,7,0,[],0.022535593265775318,0.06167728943689299,0.22583414910753571
arm-f817901d6a,ABB,IRB 4400L/30,validation,10000,True,11696,10000,9994,7,0,[],0.02252338282238695,0.06346196245213306,0.23088594961262482
arm-8fcf241b6f,ABB,IRB 52-7/1.2,development,1000,True,26059,1000,2504,7,0,[],0.029268417813220392,0.11102418166275953,0.2279393160883477
arm-8fcf241b6f,ABB,IRB 52-7/1.2,development,5000,True,26059,5000,5600,7,0,[],0.026202126680295715,0.10218423894025563,0.22038477375750803
arm-8fcf241b6f,ABB,IRB 52-7/1.2,development,10000,True,26059,10000,10124,7,0,[],0.02424088671096497,0.07115709997135541,0.2002001907063382
arm-91f018718c,ABB,IRB 52-7/1.45,development,1000,True,26848,1000,2678,7,0,[],0.0328833294286137,0.1146182678239432,0.26206164297700013
arm-91f018718c,ABB,IRB 52-7/1.45,development,5000,True,26848,5000,5624,7,0,[],0.025076423820523414,0.09348848318284844,0.22488225178670168
arm-91f018718c,ABB,IRB 52-7/1.45,development,10000,True,26848,10000,10128,7,0,[],0.02438608755796166,0.0739134707729492,0.20035635545509536
arm-065970a45f,ABB,IRB 5400,development,1000,True,89613,1000,27015,8,0,[],0.02369468619271554,0.08019848195088544,0.22020294691735665
arm-065970a45f,ABB,IRB 5400,development,5000,True,89613,5000,27073,8,0,[],0.0241357252127339,0.07966977375142155,0.21943923078123725
arm-065970a45f,ABB,IRB 5400,development,10000,True,89613,10000,27153,8,0,[],0.023909984900102654,0.07837504997909217,0.22850058482445298
