dataset_name,manufacturer,step_path,step_ok,n_faces,n_edges,n_solids,total_surface_area,nonplanar_area_fraction,freeform_area_fraction,edge_face_ratio,surface_type_counts,surface_type_areas,curve_type_counts,stepmesh_faces,stepmesh_area,stepmesh_normal_spectral_entropy,stepmesh_curvature_entropy,stepmesh_dihedral_q90_deg,stepmesh_sharp_rate_30deg,brep_complexity_score,same_geometry_mesh_score,entity_id,name,mesh_complexity_score
PincherX-100,Trossen Robotics,D:\CADtest\papertest\go_nogo1\sources\step_calibration\trossen\px100\PXA-100.step,True,478,2582,9,141281.12065711647,0.09668089624897358,0.0,5.401673640167364,"{""Cylinder"": 141, ""Plane"": 337}","{""Cylinder"": 13659.1853681895, ""Plane"": 127621.93528892707}","{""BSplineCurve"": 16, ""Circle"": 532, ""Ellipse"": 66, ""Line"": 1968}",9140,141258.04777892807,0.9777192990109642,0.3018359208547864,90.0,0.3212228622064688,-0.1961067356248402,0.8143660861859776,arm-b7ba94bbd4,PincherX-100,0.3182502801634403
PincherX-150,Trossen Robotics,D:\CADtest\papertest\go_nogo1\sources\step_calibration\trossen\px150\2_PXA-150-M\2 - PXA-150-M.step,True,693,3532,16,332265.8353095542,0.15505590151472515,0.00012866384320232805,5.096681096681096,"{""BSplineSurface"": 9, ""Cone"": 27, ""Cylinder"": 136, ""Plane"": 511, ""Sphere"": 6, ""Torus"": 4}","{""BSplineSurface"": 42.750599335759034, ""Cone"": 5433.744636549817, ""Cylinder"": 38002.89602803765, ""Plane"": 280746.05667308805, ""Sphere"": 0.5522207695576193, ""Torus"": 8039.8351517731635}","{""BSplineCurve"": 98, ""Circle"": 684, ""Ellipse"": 16, ""Line"": 2734}",11322,332102.29864724353,0.9220344283207192,0.3413799708953475,90.0,0.3073073073073073,-0.015716534922934212,0.4672472166599648,arm-355efc5b8b,PincherX-150,-0.1617550008106402
ReactorX-150,Trossen Robotics,D:\CADtest\papertest\go_nogo1\sources\step_calibration\trossen\rx150\3_RXA-150-M\3 - RXA-150-M.step,True,636,3246,17,312954.2628034471,0.15297903583762917,0.00013019551115140977,5.10377358490566,"{""BSplineSurface"": 8, ""Cone"": 41, ""Cylinder"": 140, ""Plane"": 446, ""Torus"": 1}","{""BSplineSurface"": 40.74524021270742, ""Cone"": 4806.05684689449, ""Cylinder"": 34993.55681550845, ""Plane"": 265078.82141849975, ""Torus"": 8035.082482331786}","{""BSplineCurve"": 164, ""Circle"": 698, ""Ellipse"": 16, ""Line"": 2368}",12470,312796.74834259384,0.9092884930850511,0.3341775659748204,90.0,0.31232290831328524,-0.10676218069127272,0.38432750439011965,arm-ab859c237c,ReactorX-150,-0.3317599151307638
ReactorX-200,Trossen Robotics,D:\CADtest\papertest\go_nogo1\sources\step_calibration\trossen\rx200\4_RXA-200-M\4 - RXA-200-M.step,True,605,3084,16,327092.2599676547,0.15152988511533005,6.228401769081496e-05,5.0975206611570245,"{""BSplineSurface"": 4, ""Cone"": 29, ""Cylinder"": 124, ""Plane"": 447, ""Torus"": 1}","{""BSplineSurface"": 20.372620106354052, ""Cone"": 5132.176924201786, ""Cylinder"": 36376.620548372375, ""Plane"": 277528.0073926423, ""Torus"": 8035.082482331786}","{""BSplineCurve"": 108, ""Circle"": 622, ""Ellipse"": 8, ""Line"": 2346}",11358,326930.86682892847,0.9215356501097078,0.3302873884842232,90.0,0.31455068380583434,-0.17840638705306675,0.46449825486352686,arm-c4fb1c3613,ReactorX-200,-0.1962525506639187
ViperX-250,Trossen Robotics,D:\CADtest\papertest\go_nogo1\sources\step_calibration\trossen\vx250\7 - VXA-250-M\7 - VXA-250-M.step,True,684,3558,8,317899.0145671109,0.058690696493781114,0.009945933220187168,5.201754385964913,"{""BSplineSurface"": 64, ""Cone"": 20, ""Cylinder"": 122, ""Plane"": 478}","{""BSplineSurface"": 3161.802369647793, ""Cone"": 202.91757099304226, ""Cylinder"": 15292.994638989872, ""Plane"": 299241.2999874805}","{""BSplineCurve"": 298, ""Circle"": 616, ""Ellipse"": 72, ""Line"": 2572}",13212,317816.51775430335,0.9514551506806003,0.3275882918342366,90.0,0.29145221515793723,0.04663103219888845,0.6176401655627933,,,
ViperX-300,Trossen Robotics,D:\CADtest\papertest\go_nogo1\sources\step_calibration\trossen\vx300\8 - VXA-300-M\8 - VXA-300-M.step,True,1363,7158,8,402311.37601742434,0.0557625894363557,0.009023988267648846,5.251650770359501,"{""BSplineSurface"": 72, ""Cone"": 62, ""Cylinder"": 271, ""Plane"": 958}","{""BSplineSurface"": 3630.4531371229004, ""Cone"": 416.2552525704662, ""Cylinder"": 18387.21569674227, ""Plane"": 379877.4519309894}","{""BSplineCurve"": 446, ""Circle"": 1284, ""Ellipse"": 178, ""Line"": 5250}",27296,402199.52071958326,0.9676348123467279,0.37569266847342087,90.0,0.30694621338297245,0.834002965101338,0.8042385687066929,arm-1e30cc03ac,ViperX-300,0.0913044864905711
ViperX-300s,Trossen Robotics,D:\CADtest\papertest\go_nogo1\sources\step_calibration\trossen\vx300s\VXA-300-6DOF.step,True,1544,7826,24,453615.05610140663,0.05552234920990329,0.006967988054528667,5.068652849740933,"{""BSplineSurface"": 60, ""Cone"": 52, ""Cylinder"": 321, ""Plane"": 1111}","{""BSplineSurface"": 3160.7842922689524, ""Cone"": 327.86445527043776, ""Cylinder"": 21697.12480419306, ""Plane"": 428429.28254967445}","{""BSplineCurve"": 246, ""Circle"": 1470, ""Ellipse"": 186, ""Line"": 5924}",31481,445346.5909925029,0.9732809478010589,0.35745299690446763,90.0,0.3127892346079205,0.5006348730329712,0.831566603563783,arm-3cd0743b5b,ViperX-300s,0.13860952521963
WidowX-200,Trossen Robotics,D:\CADtest\papertest\go_nogo1\sources\step_calibration\trossen\wx200\WXA-200.step,True,575,2862,8,228731.3484055047,0.0999070707859161,0.014062093615755661,4.977391304347826,"{""BSplineSurface"": 20, ""Cone"": 18, ""Cylinder"": 123, ""Plane"": 414}","{""BSplineSurface"": 3216.441634136231, ""Cone"": 27.26683159375589, ""Cylinder"": 19608.17055037677, ""Plane"": 205879.46938939788}","{""BSplineCurve"": 116, ""Circle"": 540, ""Ellipse"": 58, ""Line"": 2148}",10814,228648.5997475352,0.9696725097498478,0.35625233960781294,90.0,0.3155785709882251,-0.192164208218281,0.8114232306514463,arm-01df249d91,WidowX-200,0.1165620095736741
WidowX-250,Trossen Robotics,D:\CADtest\papertest\go_nogo1\sources\step_calibration\trossen\wx250\6 - WXA-250-M.step,True,731,3606,8,248769.12709417185,0.10009269724229997,0.01301936781791232,4.93296853625171,"{""BSplineSurface"": 25, ""Cone"": 22, ""Cylinder"": 135, ""Plane"": 540, ""Sphere"": 6, ""Torus"": 3}","{""BSplineSurface"": 3238.816767380001, ""Cone"": 718.1754856383442, ""Cylinder"": 20937.675705623336, ""Plane"": 223869.15417270368, ""Sphere"": 0.5522933852370122, ""Torus"": 4.752669441319859}","{""BSplineCurve"": 104, ""Circle"": 612, ""Ellipse"": 66, ""Line"": 2824}",11368,248684.451717792,0.975179009908078,0.39365001163685553,90.0,0.31151771053248883,-0.028252822649428105,0.881655193844465,arm-1293f54184,WidowX-250,0.1623845170809281
WidowX-250s,Trossen Robotics,D:\CADtest\papertest\go_nogo1\sources\step_calibration\trossen\wx250s\WXA-250-6DOF.step,True,836,4068,8,265053.15252331045,0.12106313611425568,0.012219032666887418,4.866028708133971,"{""BSplineSurface"": 25, ""Cone"": 20, ""Cylinder"": 202, ""Plane"": 580, ""Sphere"": 6, ""Torus"": 3}","{""BSplineSurface"": 3238.6931291438236, ""Cone"": 372.963481344178, ""Cylinder"": 28471.204308127744, ""Plane"": 232964.98664186834, ""Sphere"": 0.5522933852370122, ""Torus"": 4.752669441319859}","{""BSplineCurve"": 104, ""Circle"": 880, ""Ellipse"": 66, ""Line"": 3018}",20092,264939.92045578,0.9806299997704992,0.3285345537511624,90.0,0.3205574912891986,0.0758020131009175,0.8617243714988532,arm-787fc29345,WidowX-250s,0.238955188146748
