candidate_id,status,g_sum_mm3,g_max_mm3,strict_feasible,connected_solid_count,violating_component_count,dominant_component,dominant_neighbor,runtime_seconds,housing_width_mm,housing_height_mm,proximal_section_length_mm,transition_length_mm,distal_width_mm,distal_height_mm
P0_ALL_LOWER,EVALUATED,356.1700143884876,76.50485338020876,False,1,7,L06_J05_02,L06,1.2637387000140734,10.0,10.0,18.0,4.0,8.0,8.0
P1_ALL_UPPER,EVALUATED,5639.127365036814,1398.4366984233438,False,1,10,L05_FIXED_J04_00,L05,1.2843263000249863,24.0,28.0,32.0,16.0,22.0,24.0
P2_MIDPOINT,EVALUATED,2330.034542955515,492.7093547234853,False,1,8,L06_J05_00,L06,1.2420342999976128,17.0,19.0,25.0,10.0,15.0,16.0
P3_C1_INITIAL,EVALUATED,1402.2623670200715,281.97125917524625,False,1,8,L06_J05_00,L06,1.2485898000304587,17.0,16.0,24.0,10.0,14.0,12.0
P4_C1_VISUAL_WINNER,EVALUATED,3500.9346417733577,727.9707898709378,False,1,7,L06_J05_03,L06,1.280612199974712,24.0,12.03800277272582,32.0,16.0,17.38176517443359,22.140909203886984
